Image Path,Similarity (%)
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20/all/new/09-df17_not_completed.png,50.6
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20/all/new/22-f14a_not_completed.png,48.06
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20/all/new/07-cf34_not_completed.png,66.34
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20/all/new/14-379c_completed.png,78.7
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20/all/new/02-6922_completed.png,76.68
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20/all/new/11-df2f_not_completed.png,74.6
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20/all/new/13-1cff_not_completed.png,73.27
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20/all/new/05-cf23_completed.png,74.32
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20/all/new/16-7ec7_not_completed.png,40.59
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20/all/new/21-88d8_not_completed.png,45.43
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20/all/new/19-c208_not_completed.png,49.41
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20/all/new/10-c001_not_completed.png,75.6
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20/all/new/18-2fd8_not_completed.png,48.17
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20/all/new/12-dda7_not_completed.png,55.8
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20/all/new/08-4238_not_completed.png,66.88
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20/all/new/03-484a_not_completed.png,69.36
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20/all/new/06-9bb7_completed.png,71.52
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20/all/new/17-33c6_not_completed.png,67.14
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20/all/new/01-8851_not_completed.png,58.86
,62.7015789473684
