Image Path,Similarity (%),
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-94f8_completed.png,75.69,90.828
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-ad35_completed.png,68.05,81.66
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-b8a_not_completed.png,67.43,80.916
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-60e2_completed.png,65.88,79.056
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-678a_completed.png,77.21,92.652
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-4596_completed.png,77.88,93.456
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-ae1f_completed.png,75.45,90.54
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-76d_not_completed.png,62.36,74.832
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-55c_not_completed.png,67.42,80.904
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-e3d3_completed.png,74.42,89.304
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-a7c_not_completed.png,70.06,84.072
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-0a91_completed.png,80.4,96.48
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-2534_completed.png,68.68,82.416
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-0e1d_completed.png,71.05,85.26
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-f0b_not_completed.png,52.51,63.012
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-a5fa_completed.png,74.41,89.292
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-bbc_not_completed.png,55.96,67.152
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-0539_completed.png,65.27,78.324
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-30e8_completed.png,65.42,78.504
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-2a05_completed.png,71.99,86.388
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/dueling_ddqn/20/all/new/100-e43_not_completed.png,62.49,74.988
,69.0490476190476,82.8588571428571
