Image Path,Similarity (%)
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/07-2c78_not_completed.png,51.53
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/02-50a1_not_completed.png,76.09
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/11-f6b5_completed.png,71.93
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/18-9dd6_completed.png,76.97
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/14-b5e9_completed.png,77.98
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/15-fe19_not_completed.png,57.37
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/13-799f_not_completed.png,76.07
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/05-4b7f_not_completed.png,54.27
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/06-4435_not_completed.png,62.08
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/21-37df_completed.png,82.73
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/10-d903_completed.png,78.13
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/09-6470_not_completed.png,61.74
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/16-2518_not_completed.png,64.59
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/03-b808_completed.png,69.7
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/17-52ef_completed.png,79.52
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/08-97d4_completed.png,78.97
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/03-d1a9_not_completed.png,71.6
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/04-64b1_completed.png,76.17
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/20-5160_not_completed.png,76.42
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_bookstore/train_data/20_new/all/new/19-932d_not_completed.png,65.21
,70.4535
