Image Path,Similarity (%),
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20/all/new/16-b1a5_not_completed.png,36.79,47.827
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20/all/new/15-d4b1_completed.png,65.17,84.721
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20/all/new/11-20d7_completed.png,62.44,81.172
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20/all/new/06-15ef_completed.png,60.56,78.728
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20/all/new/01-22bc_completed.png,53.55,69.615
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20/all/new/22-1226_completed.png,67.06,87.178
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20/all/new/19-98f1_not_completed.png,37.91,49.283
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20/all/new/12-2f43_completed.png,73.13,95.069
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20/all/new/09-256d_completed.png,58.66,76.258
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20/all/new/18-f259_not_completed.png,35.8,46.54
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20/all/new/07-b2f5_completed.png,65.2,84.76
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20/all/new/08-8ee3_completed.png,60.05,78.065
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20/all/new/05-5be0_completed.png,71.27,92.651
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20/all/new/02-fbec_not_completed.png,58.87,76.531
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20/all/new/10-e4cb_completed.png,58.34,75.842
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20/all/new/13-43cc_completed.png,51.72,67.236
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20/all/new/04-33b6_not_completed.png,43.23,56.199
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20/all/new/14-3f9a_completed.png,59.97,77.961
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20/all/new/03-a90e_completed.png,64.44,83.772
,57.061052631579,74.1793684210527
