Image Path,Similarity (%)
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/14-e68c_completed.png,74.16
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/17-ae6a_completed.png,74.67
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/07-0fcc_completed.png,81.31
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/05-61e0_completed.png,74.53
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/11-be1a_completed.png,69.71
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/02-6775_completed.png,73.94
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/06-93d7_completed.png,71.62
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/12-d150_completed.png,76.17
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/09-d50e_completed.png,70.17
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/03-6c46_completed.png,81.07
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/15-269e_not_completed.png,55.5
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/18-3e20_completed.png,78.85
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/19-8733_not_completed.png,69.67
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/01-1488_completed.png,73.5
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/16-37f5_completed.png,75.09
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/04-65b4_completed.png,78.36
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/10-ed78_completed.png,77.65
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/13-5a10_completed.png,68.52
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/08-e5c5_completed.png,76.46
/home/lx23/Downloads/explORB-SLAM-RL/src/decision_maker/src/python/RL/rviz_results/aws_house/train_data/20_old/not_completed/20-9e57_completed.png,53.31
,72.713
