[0.81155549,-0.1004832];[5.50998422e-04,5.00824112e-06,-7.22431983e-02,9.97386901e-01];[[4.58452657, -0.57226715], [0.48056104, -0.50665024], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18.861875091831426], [75714.2116444623], [0], [0], [0], [0], [0], [0], [0], [0]];[0.48056104,-0.50665024]
[0.57333586,-0.40846677];[8.00704573e-04,-5.30913704e-04,-8.53084021e-01,5.21772684e-01];[[0.40882258, -0.77799714], [4.36239234, -1.30261828], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2891.584508144466], [6.554104836393944], [0], [0], [0], [0], [0], [0], [0], [0]];[0.40882258,-0.77799714]
[0.44353696,-0.52584798];[-1.68035717e-03,8.39635404e-04,9.09476972e-01,-4.15750057e-01];[[4.69094116, -1.16870828], [0.34446875, -2.45546038], [5.85890766, -0.20906645], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.5175285026419045], [544.739579859913], [6.5175285026419], [0], [0], [0], [0], [0], [0], [0]];[0.34446875,-2.45546038]
[0.28170851,-2.66733078];[-0.00493148,0.00325079,-0.66087398,0.75047365];[[5.10647912, -0.929324], [-1.29999997, -0.2999995], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [64.94278222025407], [0], [0], [0], [0], [0], [0], [0], [0]];[-1.29999997,-0.2999995]
[-0.00661263,-1.04060975];[0.0025163,0.00592342,0.94804343,0.31807583];[[5.80000014, -0.59999951], [4.10000011, -1.29999952], [3.7000001, -3.39999955], [1.50000007, -3.29999955], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0]];[5.80000014,-0.59999951]
[5.30266022,-0.66093688];[-0.0058254,0.01273845,-0.03951702,0.99912072];[[-0.56474418, 1.86898715], [5.60000013, 1.90000053], [4.10000011, -3.09999954], [1.50000007, -3.29999955], [0.52282131, -5.80637789], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0]];[-0.56474418,1.86898715]
[-0.69878502,1.88468757];[3.77543160e-04,2.97703572e-03,9.53384216e-01,3.01744148e-01];[[-0.54812731, 1.54261787], [6.89999999, -4.89999957], [4.03011179, 1.51922405], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0], [0]];[-0.54812731,1.54261787]
[-0.41097968,1.31317009];[-3.05135567e-04,6.01001693e-04,-6.30052294e-01,7.76552416e-01];[[4.61249254, -4.70315456], [-0.09348197, 1.4011998], [6.90000019, -4.89999957], [-5.19999979, 1.70000053], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0]];[4.61249254,-4.70315456]
[4.46392623,-4.50597022];[0.00311547,0.00496393,-0.4703758,0.88244674];[[5.68023592, 1.57132909], [-2.30874517, 1.9173183], [4.20000035, -5.49999958], [-0.38093206, 2.90768838], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0]];[5.68023592,1.57132909]
[5.61515281,1.327227];[0.00291789,0.00726391,0.60539412,0.79588736];[[2.50000032, 2.05000053], [4.20000035, -5.59999958], [-2.79999975, 2.10000053], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0], [0]];[2.50000032,2.05000053]
