[1.47437767,-0.34640975];[9.12234907e-04,2.31555534e-04,-1.47515392e-01,9.89059308e-01];[[4.30000006, -1.34999999], [5.80893421, -0.83109725], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[24.24559509616067], [24.165601847127938], [0], [0], [0], [0], [0], [0], [0], [0]];[4.30000006,-1.34999999]
[3.50046965,-0.66652686];[0.00125881,0.001398,-0.2324194,0.97261384];[[5.17634117, -1.80130361], [5.40000008, 1.90000011], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[50.849532316455786], [45.74052604139696], [0], [0], [0], [0], [0], [0], [0], [0]];[5.17634117,-1.80130361]
[5.29504765,-1.8398451];[0.00143303,0.00338949,-0.39997785,0.91651742];[[6.36743151, -4.22453806], [3.70000006, -3.59999983], [5.40000008, 1.70000026], [1.91534328, -1.60061109], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [51.47592990828687], [47.12318738720561], [1704.9561795187988], [0], [0], [0], [0], [0], [0]];[1.91534328,-1.60061109]
[1.95263533,-1.94488751];[3.03082488e-03,-5.79959206e-04,9.57080770e-01,2.89804870e-01];[[0.64689105, -2.78009673], [6.4000001, -5.00000015], [5.40000008, 1.69999995], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.294422702297085], [12.303363671554918], [12.303363671554918], [0], [0], [0], [0], [0], [0], [0]];[0.64689105,-2.78009673]
[0.79024909,-2.7378321];[4.44892928e-05,7.96465966e-04,9.84731065e-01,-1.74080710e-01];[[6.82159735, -4.85601123], [5.4000001, 1.69999995], [0.70000003, -3.40000013], [-0.39999999, -0.80000009], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.200522764989898], [11.200522764989914], [12.943571463633733], [12.943571463633715], [0], [0], [0], [0], [0], [0]];[0.70000003,-3.40000013]
[-0.32595083,-0.85472791];[-0.01575128,-0.0039963,0.92399047,0.38207007];[[0.27298171, 0.72187889], [5.40000013, 1.70000004], [-0.79999996, 2.10000005], [-0.79999996, -0.89999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.920337776518881], [8.32967662826423], [8.686977589053985], [60.71111260568316], [0], [0], [0], [0], [0], [0]];[-0.79999996,-0.89999999]
[-0.61839609,-0.91160198];[-1.49297780e-02,-7.33984685e-04,9.97032665e-01,7.55144324e-02];[[5.40000013, 1.70000004], [-0.79999996, 2.10000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[61.62270017133595], [8.686977589053985], [0], [0], [0], [0], [0], [0], [0], [0]];[5.40000013,1.70000004]
[5.29830935,1.62151083];[0.00121197,-0.00153922,0.32071635,0.94717326];[[-0.71238787, -1.35740565], [4.70000008, 2.25000025], [-0.8, 2.00000024], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[226.88893329536202], [47.39597303381598], [119.96183292475135], [0], [0], [0], [0], [0], [0], [0]];[-0.71238787,-1.35740565]
[-0.63323492,-1.28143675];[-0.00947887,-0.01091132,0.93901691,-0.34356706];[[-0.29339285, 2.02886302], [-1.99999977, -2.59999954], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.365082149622608], [5.5271446285552015], [0], [0], [0], [0], [0], [0], [0], [0]];[-1.99999977,-2.59999954]
[-1.99878068,-2.54991511];[0.00178825,-0.0058247,0.88583455,-0.46396122];[[-0.8999997, 2.20000054], [-1.99999972, -4.19999956], [-5.19999977, -2.19999953], [-6.29999978, -1.09999951], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.412167548478138], [4.535527462849748], [4.400724095639775], [4.399354134318268], [0], [0], [0], [0], [0], [0]];[-1.99999972,-4.19999956]
[-1.99332315,-3.95212187];[-6.03986781e-04,3.24964774e-03,-7.32090916e-01,6.81198927e-01];[[-0.29422385, 2.02630836], [-3.59999955, -3.99999956], [-5.49999958, -0.69999951], [-7.49999961, -4.19999956], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.304353044182093], [4.410915770969849], [4.292671082274783], [4.3029245915771845], [0], [0], [0], [0], [0], [0]];[-0.29422385,2.02630836]
[-0.31279609,2.10960829];[0.01893402,0.00267591,0.54989931,0.83501204];[[-1.7567332, 2.50549177], [1.60000053, 5.30000058], [-3.59999955, -3.99999956], [-7.39999961, -4.09999956], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.4975427601599245], [3.4304154183548947], [3.362419531954182], [3.3063716444135283], [0], [0], [0], [0], [0], [0]];[-1.7567332,2.50549177]
