[0.19062829,-0.35949369];[7.42691062e-04,-4.94148762e-04,-6.03388595e-01,7.97446812e-01];[[0.80483977, -0.60243477], [3.86853218, 0.07843692], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[271796.9859741662], [615.8972564175629], [0], [0], [0], [0], [0], [0], [0], [0]];[0.80483977,-0.60243477]
[0.61357897,-0.48327734];[0.00131107,0.00109897,-0.26276822,0.96485747];[[4.30000006, -1.39999999], [0.40000001, -0.89999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.893720411520153], [96522.29874437084], [0], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,-0.89999999]
[4.42100719,-1.36712184];[0.00433994,-0.00150672,-0.14658462,0.98918747];[[0.12851463, -3.84969594], [5.2000001, 1.90000008], [0.20000002, -1.79999997], [6.60000012, -5.39999987], [5.3000001, -4.40000017], [2.90000006, -3.79999985], [2.60000006, -5.29999987], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[127.4394169554086], [23.527367832465952], [947.9595634590852], [23.8300973553104], [0.0], [0.0], [23.53540458800105], [0], [0], [0]];[0.20000002,-1.79999997]
[-0.01176573,-1.86360608];[-8.62219321e-05,-5.27254832e-03,9.99876328e-01,1.48163983e-02];[[5.2000001, 1.90000034], [0.60000003, -3.89999975], [-0.29999999, -0.6999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[21.340770611054232], [93.40896199580075], [172.29645879025125], [0], [0], [0], [0], [0], [0], [0]];[-0.29999999,-0.6999997]
[-0.20787606,-0.92004808];[-2.86378551e-04,-2.87795592e-03,7.95841182e-01,6.05498510e-01];[[0.72552732, -3.90092725], [5.2000001, 1.90000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[84.25755569488658], [21.340770611054257], [0], [0], [0], [0], [0], [0], [0], [0]];[0.72552732,-3.90092725]
[0.69121577,-3.69773944];[0.01651038,-0.0013134,-0.67351073,0.73899185];[[-0.1230328, 1.30364096], [5.40000037, 2.00000034], [-0.69999972, -1.59999971], [-2.99999976, -3.29999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[261.6590081906961], [18.182275181519387], [182.79401682529502], [61.943903214075625], [0], [0], [0], [0], [0], [0]];[-0.1230328,1.30364096]
[0.77935518,-2.27418348];[0.01471984,-0.00605387,-0.10553433,0.99428828];[[-2.51510739, -0.00784091], [-0.34999972, 1.65000033], [5.40000037, 2.00000034], [-0.69999972, -1.59999971], [-2.99999976, -3.29999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[24.12469793844663], [82.44153059167023], [10.226202041920647], [70.75117507139795], [10.607987977690843], [0], [0], [0], [0], [0]];[-0.34999972,1.65000033]
[-0.81381601,-1.51049392];[-0.00619775,-0.01403234,0.99274052,0.1192935];[[-0.11540589, 1.30412388], [5.40000037, 2.00000034], [-2.38258767, -0.00163877755], [-2.99999976, -3.29999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[21.88126127302702], [9.66145589207681], [10.344176244855102], [10.344176244855095], [0], [0], [0], [0], [0], [0]];[-0.11540589,1.30412388]
[0.0257068,1.08944206];[0.00434041,-0.01379059,0.67520644,0.73748712];[[0.8600003, 3.08000036], [5.40000037, 2.00000034], [-0.69999972, -1.59999971], [-2.99999976, -3.29999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.864537850228368], [9.549154453039408], [123.88662435487157], [9.549154453039419], [0], [0], [0], [0], [0], [0]];[-0.69999972,-1.59999971]
[-0.41853943,0.1569652];[0.0062816,-0.0124448,0.55540312,0.8314644];[[2.30000032, 2.70000035], [-0.09999971, 4.10000037], [-0.69999972, -1.59999971], [-2.48384237, -0.00199232064], [-2.99999976, -3.29999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.84481943314813], [9.844819433148137], [51.458189651196896], [10.160594225341695], [9.844819433148121], [0], [0], [0], [0], [0]];[-0.69999972,-1.59999971]
