[1.90418425,-0.46396349];[1.39442147e-03,7.81433254e-04,-1.49113114e-01,9.88818848e-01];[[0.62511281, -1.55509867], [5.82092714, -0.39573088], [4.20000006, -1.29999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[36267.22881125797], [20.736937744971915], [23.29739725994857], [0], [0], [0], [0], [0], [0], [0]];[0.62511281,-1.55509867]
[0.2752838,-1.64037563];[0.00580526,-0.00213116,0.90635763,-0.42246609];[[4.55450332, -1.35633293], [-3.15000007, -0.35000001], [-1.04381406, -0.8158887], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[43.680626678685826], [43.88832365655309], [2471.430840223976], [0], [0], [0], [0], [0], [0], [0]];[-1.04381406,-0.8158887]
[-0.83692746,-0.94313713];[2.32781418e-03,-5.98444361e-04,9.60837894e-01,2.77100652e-01];[[4.69726018, -1.37306029], [0.81587471, -2.9807548], [-3.1999999, -0.66666667], [-1.31549272, -1.90357949], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[45.30330676424632], [2457.86971738581], [48.299459702932516], [78.61602849384421], [0], [0], [0], [0], [0], [0]];[0.81587471,-2.9807548]
[0.69560811,-2.78670643];[0.00153479,0.00206354,-0.46642032,0.88455947];[[4.07579819, -1.23496378], [-3.20333815, -0.78651487], [3.30000015, -3.24999975], [1.61483836, -5.75102282], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.22458842115266], [8.224121085995018], [8.700306034358164], [8.199335859821847], [0], [0], [0], [0], [0], [0]];[3.30000015,-3.24999975]
[3.0685296,-3.21050278];[8.72651502e-04,8.36127382e-04,-1.22102817e-01,9.92516718e-01];[[4.80000036, -5.59999977], [-2.29999975, -3.79999975], [-3.59999977, -0.9999997], [-3.79999977, -3.09999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.2198548813615575], [1.101412171006577], [2.5919458279398633], [1.1066449196934276], [0], [0], [0], [0], [0], [0]];[-3.59999977,-0.9999997]
[-3.74871225,-0.95002804];[-0.01436746,-0.01034551,0.91125349,0.4114652];[[-5.76666625, -0.33333303], [-4.00415722, -3.38860329], [3.70000056, -5.79999978], [-2.29999953, -3.79999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [7.203348649798527], [7.694907574677138], [0], [0], [0], [0], [0], [0]];[-2.29999953,-3.79999975]
[-2.41245941,-3.68097941];[0.01052807,-0.01121528,-0.42639931,0.90440423];[[3.70000057, -5.79999978], [-1.39999951, -5.09999977], [-4.59999956, -3.29999974], [-6.39999958, -1.99999972], [-6.99999959, 0.80000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.300567854209188], [7.788324535972524], [7.788324535972494], [7.532822057080194], [7.235727162756757], [0], [0], [0], [0], [0]];[-1.39999951,-5.09999977]
[-1.53007619,-4.90208847];[0.01353779,-0.01211901,-0.50816962,0.86106532];[[4.17838932, -6.32372842], [-0.25845504, 0.70777273], [-1.59999951, -5.79999978], [-3.69999954, -5.79999978], [-4.59999956, -3.29999974], [-6.39999958, -1.99999972], [-6.99999959, 0.80000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.171653493028623], [58.594138477087014], [7.6446611069873445], [7.38642744047446], [7.39305997864695], [7.398139995531087], [7.113586822512346], [0], [0], [0]];[-0.25845504,0.70777273]
[-0.34246735,0.48490799];[-0.02043408,-0.01254006,0.53226437,0.84623863];[[-0.5999995, 4.10000037], [-1.69999951, -5.19999977], [-4.29999955, -2.99999973], [-6.39999958, -1.99999972], [-6.99999959, 0.80000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[188.2259047000153], [187.78689596756354], [187.82861897471267], [183.28665125431556], [181.49288383027053], [0], [0], [0], [0], [0]];[-0.5999995,4.10000037]
[-4.11458705,-2.88380576];[-0.02050684,-0.01393902,0.96753077,-0.25153409];[[-5.86666701, -2.09999972], [6.97864056, 1.50313962], [-0.64192464, 2.40273243], [3.6999998, -5.79999978], [1.09999976, 2.40000035], [-1.80000028, -5.59999977], [-7.00000036, 1.00000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[267.1979051261198], [283.55811759202714], [907.3044122722157], [248.9187663260619], [253.37246342820254], [260.3920227878756], [260.0689662304081], [0], [0], [0]];[-0.64192464,2.40273243]
