[4.64674601,-1.0666886];[2.85399649e-03,2.27263339e-04,-1.89833872e-01,9.81812055e-01];[[5.93219595, -3.47482757], [4.06350334, -3.07535931], [4.80000007, 1.90000015], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[110.40273598313826], [111.23057957978482], [100.68341203647579], [0], [0], [0], [0], [0], [0], [0]];[4.06350334,-3.07535931]
[4.05071592,-2.99363016];[0.00262507,0.00081125,-0.72035906,0.6935959];[[0.91190019, -4.40871756], [6.61609936, -6.40315247], [4.80000007, 1.90000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[110.93378400767172], [110.80026932701931], [110.82009513638106], [0], [0], [0], [0], [0], [0], [0]];[0.91190019,-4.40871756]
[0.43038009,-4.01453122];[-4.36671161e-04,-2.44711851e-03,9.81867207e-01,-1.89553714e-01];[[4.80000006, 1.90000024], [-0.80000002, -0.5999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.874477777689437], [185.79481479240246], [0], [0], [0], [0], [0], [0], [0], [0]];[-0.80000002,-0.5999998]
[-0.71630539,-0.81075176];[8.00634279e-04,-1.00957714e-03,8.13559436e-01,5.81480342e-01];[[-0.23232935, 0.08366655], [6.9721242, -5.8566501], [4.74296106, -4.71158989], [4.80000006, 1.90000024], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[121.52164134545693], [0.0], [9.397404644075381], [649.0228986591494], [0], [0], [0], [0], [0], [0]];[4.80000006,1.90000024]
[4.89060598,1.91463862];[0.00505346,-0.0024476,0.33909067,0.94073694];[[4.90000008, 2.30000005], [4.70000007, -4.80000005], [-0.90000001, -0.89999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.908797735895105], [14.341935201542118], [138.4899876660825], [0], [0], [0], [0], [0], [0], [0]];[-0.90000001,-0.89999999]
[-0.69311409,-0.76314121];[5.45558420e-04,-3.82083765e-03,9.60567729e-01,-2.78019308e-01];[[-1.24238589, -0.94515098], [4.20000007, 2.30000024], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[67.79051775173949], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[-1.24238589,-0.94515098]
[-1.24930297,-0.90341831];[-0.00125934,0.0024994,0.96859647,-0.24862228];[[-3.50196182, -2.75396075], [4.50000026, -5.29999987], [1.90000022, -6.04999988], [6.19284678, -5.98123741], [4.20000025, 2.30000024], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [15.503827012307049], [15.345519943416384], [14.939474454602095], [0.0], [0], [0], [0], [0], [0]];[4.50000026,-5.29999987]
[4.28364414,-5.20724178];[4.38055898e-03,-7.38650001e-04,-2.05096161e-01,9.78731744e-01];[[-4.70000007, -2.30000001], [-3.00000004, 3.00000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.044097063928843], [26.885911329251805], [0], [0], [0], [0], [0], [0], [0], [0]];[-3.00000004,3.00000006]
[-2.95187548,2.99425275];[-0.00521327,0.00497098,0.95428284,0.29881828];[[1.23176939, 3.58234041], [-4.69999977, -2.30000001], [-5.99999979, 2.40000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.18818441692863], [10.050719251337936], [10.304712028616557], [0], [0], [0], [0], [0], [0], [0]];[1.23176939,3.58234041]
[1.0785345,3.52825414];[-0.00386567,-0.00306697,0.19157588,0.98146541];[[-4.71283163, -2.16173359], [-6.14999979, 2.55000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.452668448498505], [9.466943516859427], [0], [0], [0], [0], [0], [0], [0], [0]];[-6.14999979,2.55000006]
[0.82269208,3.25072959];[-0.00586908,-0.00269952,0.3529704,0.93561218];[[-4.69999977, -2.30000001], [-6.14999979, 2.55000006], [1.90000033, -6.50000008], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.689484418092563], [9.705645267461081], [16.760606782085194], [0], [0], [0], [0], [0], [0], [0]];[1.90000033,-6.50000008]
