[0.18340518,0.2361612];[-9.08040635e-04,4.19589536e-04,2.97451777e-01,9.54736317e-01];[[0.24265878, -0.10800687], [3.60000005, -0.49999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[368799.44662279706], [11.682752744101617], [0], [0], [0], [0], [0], [0], [0], [0]];[0.24265878,-0.10800687]
[0.29063623,-0.14081409];[-3.99711142e-03,-2.28935480e-04,-7.09951055e-01,7.04239649e-01];[[4.65452876, -1.01630787], [0.29910968, -0.80140139], [2.09553051, -0.92265576], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.066855187092648], [53752.68030570056], [4.5408109924360325], [0], [0], [0], [0], [0], [0], [0]];[0.29910968,-0.80140139]
[0.34934602,-0.42284875];[-2.50891190e-03,8.19768269e-04,-5.21542854e-01,8.53221009e-01];[[4.58363804, -0.755837], [0.30000001, -1.09999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.2464063791328], [22375.384662171968], [0], [0], [0], [0], [0], [0], [0], [0]];[0.30000001,-1.09999998]
[0.30382404,-0.85370264];[-0.00243884,-0.00080585,-0.71431391,0.69982071];[[4.5469558, -1.14524958], [0.14224356, -1.20556547], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.246406379132803], [15428.369788000115], [0], [0], [0], [0], [0], [0], [0], [0]];[0.14224356,-1.20556547]
[0.22360139,-0.97043057];[-0.00158019,-0.00123995,-0.79322744,0.60892216];[[4.48779199, -1.2091786], [0.10000002, -1.99999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.2464063791328055], [14167.91012376785], [0], [0], [0], [0], [0], [0], [0], [0]];[0.10000002,-1.99999974]
[0.14022355,-1.76325549];[-0.00165572,-0.00107004,-0.75002922,0.66140175];[[4.51355199, -1.12271678], [0.3969462, -2.83423454], [2.09945107, -0.92609161], [-0.29999999, -0.99999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8338.470805277686], [4.715513098353329], [4.715513098353322], [390.03876118055126], [0], [0], [0], [0], [0], [0]];[4.51355199,-1.12271678]
[4.48775144,-1.09819887];[-6.43757760e-03,6.92087330e-04,-4.55466469e-02,9.98941226e-01];[[0.49647147, -3.04122168], [-0.97001538, -0.74795439], [-0.45571179, 1.25080012], [5.60000017, 1.30000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.09303412347860253], [133.50227169972013], [20.572882197113767], [0.09757380801798345], [0], [0], [0], [0], [0], [0]];[-0.97001538,-0.74795439]
[-0.72752509,-0.75027742];[5.44211270e-04,5.38993452e-03,9.97778212e-01,-6.64024870e-02];[[3.95377366, -5.18138961], [0.49539272, -3.13719525], [-1.25000001, -0.70000009], [5.70000009, 1.79999995], [2.30000004, -6.60000018], [-0.1, 1.19999994], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.861327766804646], [0.927807074320575], [23.80112403689439], [0.862526688431268], [0.859876677998346], [0.9250977255769188], [0], [0], [0], [0]];[-1.25000001,-0.70000009]
[-1.00240972,-0.71329429];[-0.00112533,0.00482465,0.9998809,-0.01461626];[[0.57257912, -3.26841343], [5.70000009, 1.79999995], [2.30000004, -6.60000018], [-0.1, 1.19999994], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.9342268538532125], [44.4230651359199], [0.8676112759633896], [24.463372023360062], [0], [0], [0], [0], [0], [0]];[5.70000009,1.79999995]
[-0.19911352,0.98778015];[-0.00507605,0.00469336,0.54043831,0.84135524];[[4.08441022, -5.40567716], [5.69999998, 1.79999995], [2.29999993, -6.60000018], [0.4999999, -3.40000013], [0.09999989, 1.89999995], [-1.00000012, -1.4000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.8971367853280039], [0.8923259632550464], [0.8899446485622478], [1.4600602780624954], [0.9471855461801615], [16.33476359488163], [0], [0], [0], [0]];[-1.00000012,-1.4000001]
