[0.14320938,0.18682973];[-5.63512312e-04,7.40725323e-04,2.72230971e-01,9.62231486e-01];[[0.20332698, -0.06403856], [3.60000005, -0.50000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[382.6477653913525], [434.2450873675279], [0], [0], [0], [0], [0], [0], [0], [0]];[3.60000005,-0.50000001]
[3.35821553,-0.45591242];[2.48869060e-03,9.43686358e-04,-9.07350348e-02,9.95871515e-01];[[5.50000008, 1.60000012], [4.10000006, -1.89999993], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[167.31879202263144], [185.89535507618913], [0], [0], [0], [0], [0], [0], [0], [0]];[4.10000006,-1.89999993]
[3.98252212,-1.66236651];[0.00161638,0.00086742,-0.52733301,0.84965672];[[3.92845247, -4.6887105], [5.50000008, 1.60000033], [1.20000002, -3.79999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[73.69566241799042], [67.77093287232617], [67.74623032468848], [0], [0], [0], [0], [0], [0], [0]];[3.92845247,-4.6887105]
[3.92320797,-4.44073732];[0.00414381,0.0043054,-0.70566464,0.70852078];[[6.00000009, -5.40000034], [5.50000008, 1.59999977], [0.72673458, -5.5059948], [0.30000001, -3.70000031], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[75.85637396487093], [64.9208427016919], [70.05763186455252], [70.278992842013], [0], [0], [0], [0], [0], [0]];[6.00000009,-5.40000034]
[6.52992173,-5.4679078];[4.07885547e-04,-5.70806614e-03,2.69010178e-01,9.63120331e-01];[[5.50000008, 1.59999977], [0.50000001, -3.1000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.117184720919175], [10.140393598745767], [0], [0], [0], [0], [0], [0], [0], [0]];[0.50000001,-3.1000003]
[0.73974846,-3.17268144];[-0.0042845,-0.00103508,0.99004344,0.1406931];[[-0.33733722, 0.28600479], [-1.85000003, -2.8000003], [5.50000008, 1.59999977], [0.80000001, -4.50000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[31.562584894211223], [11.458571231431872], [11.001908223444632], [12.006051557572052], [0], [0], [0], [0], [0], [0]];[-0.33733722,0.28600479]
[-0.25898194,0.04189412];[-0.00267633,-0.0018975,0.80852518,0.58845242];[[-0.47098307, 1.52372532], [0.77652598, -4.98746149], [5.50000034, 1.59999977], [-1.49999976, -0.80000027], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.074955177637062], [11.626108145136845], [11.145590237641885], [12.088804466938804], [0], [0], [0], [0], [0], [0]];[-1.49999976,-0.80000027]
[-1.27615585,-0.66922489];[-0.00402164,-0.00121787,0.96982539,-0.24376437];[[0.000410517526, 1.91399384], [5.49999997, 1.59999977], [-0.90000012, -0.90000027], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.98002403340911], [18.657313442305966], [41.44928273726792], [0], [0], [0], [0], [0], [0], [0]];[-0.90000012,-0.90000027]
[-0.69358501,-0.95683376];[-0.00189082,0.00123928,-0.3730178,0.92782143];[[0.76581517, -5.22946986], [-0.33075893, 2.08187684], [5.49999997, 1.59999977], [-1.10000012, -1.40000028], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.294425967143518], [11.294425967143523], [10.87727294551325], [30.264749208646155], [0], [0], [0], [0], [0], [0]];[-1.10000012,-1.40000028]
[-1.11604763,-1.3710491];[7.75467765e-04,-1.88570981e-03,-8.57048773e-01,5.15231271e-01];[[5.49999997, 1.59999977], [1.59903741, -6.41422081], [0.7999999, -4.50000032], [-1.0728836e-07, 1.49999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[48.673456882914294], [11.294425967143518], [11.294425967143523], [11.294425967143539], [0], [0], [0], [0], [0], [0]];[5.49999997,1.59999977]
[5.29740057,1.46740088];[2.41722055e-03,-8.55622679e-04,3.19553421e-01,9.47564792e-01];[[4.60000005, 2.19999978], [0.7606802, -5.48222399], [-1.78813933e-08, 1.29999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.702019494496696], [12.952216104232559], [29.278757592471596], [0], [0], [0], [0], [0], [0], [0]];[-1.78813933e-08,1.29999976e+00]
[-0.24529089,1.33106612];[0.00115139,-0.00615239,0.99499701,-0.09970836];[[-1.04999983, 5.59999983], [-1.39999984, -4.40000032], [-4.79999989, 2.49999978], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.04499988490882], [8.885087512626498], [9.044999884908812], [0], [0], [0], [0], [0], [0], [0]];[-1.04999983,5.59999983]
[-0.96329344,5.3584324];[0.00446093,-0.0035814,0.84292043,0.5380078];[[-3.04999977, 6.14999984], [-1.39999974, -4.40000032], [-1.97577357, -5.90713453], [-2.51853132, -2.68736196], [-5.0999998, 1.89999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.516819772460915], [9.993985648891904], [30.97215121379513], [10.162791823852519], [10.162791823852507], [0], [0], [0], [0], [0]];[-1.97577357,-5.90713453]
