[3.15526602,-0.25958354];[1.60037813e-03,2.74390618e-04,-8.15576632e-02,9.96667308e-01];[[6.4000001, -2.60000004], [5.30000008, 1.60000002], [3.80000006, -2.00000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.664297881732285], [10.860477862771079], [10.860477862771079], [0], [0], [0], [0], [0], [0], [0]];[5.30000008,1.60000002]
[5.11297642,1.42327077];[-6.16174252e-05,-3.59983090e-04,3.65278712e-01,9.30898135e-01];[[3.61284702, -2.67556165], [4.50000007, 2.2000003], [0.0486895, 0.31843287], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[57.46627947721975], [62.99776682468949], [1688.5591551158607], [0], [0], [0], [0], [0], [0], [0]];[0.0486895,0.31843287]
[0.28736833,0.26399173];[-8.83863641e-04,1.24684718e-03,9.99775712e-01,2.11232380e-02];[[0.79990124, -2.72786607], [-0.49344774, 0.10026191], [3.90000015, -3.39999986], [3.30000014, 1.90000022], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.4295079629699952], [7.166946790140988], [0.4308773121786682], [0.42878272126478656], [0], [0], [0], [0], [0], [0]];[-0.49344774,0.10026191]
[-0.23165926,0.15208353];[-0.00142986,0.00144479,0.99576933,-0.09186572];[[-0.6384434, 0.10131284], [3.90000032, -3.39999986], [3.30000031, 1.90000022], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.617540733553694], [0.430626157582471], [0.42847671726973646], [0], [0], [0], [0], [0], [0], [0]];[-0.6384434,0.10131284]
[-0.81909426,0.10432141];[0.00548752,-0.00854991,0.98625906,-0.16489348];[[0.4697453, -2.4710643], [4.59999996, 2.20000022], [3.89999995, -3.39999986], [0.1999999, 2.60000023], [-3.80000016, -0.39999982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.3215476609962177], [1.3174641934608569], [0.29378285717295044], [0.32063805733685863], [0.32154602901046353], [0], [0], [0], [0], [0]];[4.59999996,2.20000022]
[4.50085923,2.19677342];[0.00729335,0.00661003,0.05912643,0.99820197];[[-1.75000013, -3.64999986], [3.89999995, -3.39999986], [2.59999993, 2.20000022], [0.5999999, -2.99999985], [-0.90000012, 4.80000026], [-3.80000016, -0.39999982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.4645648068599912], [0.30160986103140364], [0.31165503150040247], [0.29033853613160154], [0.7164617670501253], [0.9847504880510916], [0], [0], [0], [0]];[-1.75000013,-3.64999986]
[-1.84745185,-3.89215794];[0.00590337,-0.00269101,0.86707451,-0.49813621];[[0.58881722, -3.20288822], [6.87944365, -5.00877094], [5.20000009, -4.39999986], [2.61212063, 3.59813094], [-0.39999999, -4.79999987], [-0.8, 5.00000028], [-2.77812457, 0.09794022], [-4.40000005, -2.59999983], [0.0, 0.0], [0.0, 0.0]];[[23.402143760513944], [0.0], [0.0], [32.95861955809058], [0.0], [26.25633277300801], [0.0], [0.0], [0], [0]];[2.61212063,3.59813094]
[1.34987344,6.72268961];[4.09001265e-04,9.68402072e-03,-3.16194024e-01,9.48645030e-01];[[-1.54999981, 5.30000028], [5.20000029, -4.39999986], [2.40000025, 5.30000028], [2.10000024, 7.30000031], [0.50000022, -3.09999984], [-0.39999979, -4.79999987], [-1.19589067, 1.89105082], [-5.39999987, -1.79999982], [-7.2999999, -3.29999984], [0.0, 0.0]];[[0.3508086200267255], [0.80615872485398], [0.35128626684839137], [0.3512079819259408], [0.34361330050684535], [0.3368466943563517], [0.34449835441002075], [0.332824128712178], [0.33116927693623327], [0]];[5.20000029,-4.39999986]
[0.12773277,6.13034845];[0.00701899,0.00914612,0.04396338,0.99896662];[[2.53087709, 6.22965937], [-1.53370375, 4.95451584], [5.83609891, -4.65583503], [0.50000022, -3.09999984], [-0.39999979, -4.79999987], [-5.39999987, -1.79999982], [-7.2999999, -3.29999984], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0]];[2.53087709,6.22965937]
[-3.65857104,6.41268721];[0.00385156,-0.0064965,0.97391621,-0.22678222];[[5.20000058, -4.39999986], [2.40000054, 5.20000028], [0.50000051, -3.09999984], [-0.3999995, -4.79999987], [-5.39999958, -1.79999982], [-5.99999959, 2.50000024], [-7.29999961, -3.29999984], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0]];[5.20000058,-4.39999986]
