[0.50931122,-0.09332137];[4.95091159e-04,-3.50636335e-04,-1.74469861e-01,9.84662332e-01];[[0.60127245, -0.50197077], [3.67323291, -0.29904718], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[31581.808840841753], [110.57142588833479], [0], [0], [0], [0], [0], [0], [0], [0]];[0.60127245,-0.50197077]
[0.48239882,-0.59642422];[8.07615201e-04,7.01994463e-05,-6.86120025e-01,7.27487903e-01];[[0.58614783, -1.05039903], [4.29175997, -0.61076623], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9053.832600279959], [456.29079097622974], [0], [0], [0], [0], [0], [0], [0], [0]];[0.58614783,-1.05039903]
[0.53174088,-0.79706376];[5.85709594e-04,-1.51113270e-04,-6.40549818e-01,7.67916386e-01];[[2.09818196, -1.07344449], [0.40000001, -1.19999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[496.6814808445139], [4721143.8016541], [0], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,-1.19999998]
[3.81970194,-0.59648808];[1.82677435e-03,4.91249256e-04,-3.20146142e-02,9.99485614e-01];[[0.32029543, -3.06062137], [6.15000008, -2.85000003], [0.29611973, 0.5645133], [5.20000007, 2.00000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[951.9793792829834], [470.1414331515301], [879.6036812999893], [476.6820864470817], [0], [0], [0], [0], [0], [0]];[0.32029543,-3.06062137]
[0.54943987,-2.94944652];[0.00766907,-0.00108237,0.9753846,-0.22037442];[[-0.02500001, -2.27499982], [5.20000007, 2.00000024], [0.98566663, -4.9137001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[679.5080370576071], [425.32886433584156], [629.4816400673549], [0], [0], [0], [0], [0], [0], [0]];[-0.02500001,-2.27499982]
[0.1880292,-2.43197115];[0.00596223,0.0021225,0.9459734,0.32418247];[[-0.20241062, -0.54033544], [5.20000007, 2.00000024], [0.4, -3.09999983], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[31167.01565455071], [425.3288643358442], [479.0690790467106], [0], [0], [0], [0], [0], [0], [0]];[-0.20241062,-0.54033544]
[-0.17002269,-0.78372089];[0.00547119,0.00385133,0.75219596,0.65890551];[[-0.58038176, -0.56205306], [6.65188482, -5.96932887], [5.20000012, 1.99999995], [4.30000011, -5.40000016], [1.20000006, -6.40000017], [0.60000005, -3.60000013], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4969.943889723252], [359.0551666695767], [4125.346469728951], [376.9059417622171], [398.5049542360946], [557.0038893038046], [0], [0], [0], [0]];[-0.58038176,-0.56205306]
[-0.48806029,-0.66040543];[0.00587524,0.00157075,0.93329913,0.35904839];[[6.20000013, -5.80000016], [5.20000012, 1.99999995], [4.30000011, -5.40000016], [1.20000006, -6.40000017], [-0.89999997, -1.00000009], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[361.287972421978], [23147.539078196816], [376.9059417622258], [378.1689580377425], [422.1808361660027], [0], [0], [0], [0], [0]];[5.20000012,1.99999995]
[5.25389655,1.97020472];[0.00265025,-0.0015997,0.33365085,0.94269164];[[-0.41483654, 1.98391747], [4.50000015, 2.19999996], [0.79801307, -4.50949003], [-0.70626197, -1.3507832], [5.20000016, -5.60000016], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[27.161884072711487], [28.468004657168393], [32.41062342611684], [660.2954251931411], [25.949449252061328], [0], [0], [0], [0], [0]];[-0.70626197,-1.3507832]
[-0.4882636,-1.19630913];[-2.68734583e-03,-2.23760489e-04,9.56562620e-01,-2.91514477e-01];[[-0.44999989, 1.54999995], [-1.0249999, -0.85000009], [5.70165422, -6.13155367], [1.66464724, -6.47327689], [4.40000018, 2.19999996], [0.50000012, -3.60000013], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.1520113365636266], [1.2952595820288588], [0.14206887153020015], [0.14586355421514227], [0.42558081188253954], [0.19554160579167593], [0], [0], [0], [0]];[-1.0249999,-0.85000009]
