[0.42371123,-0.22721741];[-4.34645206e-04,-9.62677265e-04,-3.59602192e-01,9.33105109e-01];[[5.75000009, -0.25000001], [4.10000006, -0.90000002], [0.30000001, -0.60000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[23.31329066271014], [23.49389071341606], [972.1591801478809], [0], [0], [0], [0], [0], [0], [0]];[0.30000001,-0.60000001]
[0.2498764,-0.62370378];[2.90071363e-04,-1.93652783e-03,-7.37613109e-01,6.75220745e-01];[[3.16876782, -0.88322046], [0.50000001, -1.39999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[238.40122637498675], [803557.6145700318], [0], [0], [0], [0], [0], [0], [0], [0]];[0.50000001,-1.39999999]
[0.42722007,-1.1594008];[-4.86552369e-04,-2.47912121e-03,-5.95967960e-01,8.03004240e-01];[[5.22838524, -0.85847474], [1.41157103, -2.98893452], [1.93715096e-08, -1.59999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[172.6887917511244], [190.97314202046442], [101213.36794646767], [0], [0], [0], [0], [0], [0], [0]];[1.93715096e-08,-1.59999974e+00]
[0.10626892,-1.41348802];[-0.00127162,0.00289794,0.87003263,-0.49298398];[[5.52307539, -0.77005913], [3.5432208, -0.90569099], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[176.6482836707287], [178.33456016069715], [0], [0], [0], [0], [0], [0], [0], [0]];[3.5432208,-0.90569099]
[3.7656938,-0.91690301];[-0.00477139,-0.00134321,-0.17076424,0.98529946];[[5.85123522, 1.63555908], [0.62150367, -3.17030266], [6.98365846, -3.56541268], [0.06681462, 0.9009126], [-1.25000002, -0.69999971], [7.1000001, -5.79999978], [2.50000003, 1.50000032], [2.50000003, -5.39999978], [1.08614779, -4.88167572], [0.0, 0.0]];[[0.0], [640.2347623444883], [268.33136187966556], [5250.017823792476], [38094.472579359746], [258.2032933130686], [265.990902042975], [267.0042935217854], [266.5644849112747], [0]];[-1.25000002,-0.69999971]
[-1.00835154,-0.65872235];[7.04785329e-04,7.84522781e-03,9.97982583e-01,-6.29977293e-02];[[1.71270507, -5.17997278], [3.89584664, 2.11788764], [-1.42695927, -0.74217921], [0.5, -3.09999974], [-0.20000001, 1.30000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[271.1835211948977], [261.07395390513653], [2301.7297080961644], [502.3348463903658], [3257.160133422875], [0], [0], [0], [0], [0]];[-0.20000001,1.30000032]
[-0.29338294,1.05665305];[3.17835610e-04,5.44932388e-03,5.66422934e-01,8.24096634e-01];[[2.2331236, -5.63440519], [6.97767291, -3.56458299], [4.49999997, 2.20000034], [0.49999992, -3.09999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[270.3912942383293], [462.88587772229306], [453.26167500693424], [274.0035850795147], [0], [0], [0], [0], [0], [0]];[6.97767291,-3.56458299]
[7.18941101,-3.58500177];[-1.27965140e-04,-8.96439289e-04,-3.85546564e-01,9.22687932e-01];[[2.70003297, -5.80571044], [1.92687496, 2.29920395], [0.50000001, -3.09999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.10160479777162432], [1.0413185569135455], [0.17995808858370269], [0], [0], [0], [0], [0], [0], [0]];[1.92687496,2.29920395]
[2.13052894,2.18235924];[-0.0053171,0.00340972,0.95699861,0.29002373];[[6.00000009, -6.19999979], [2.50000004, -5.49999978], [1.08372664, -4.876791], [0.50000001, -3.09999974], [-1.57829833, -1.90726662], [-2.80491614, 2.50361466], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0922491494988277], [0.0922963992237019], [0.09217601697197764], [0.15147948769338307], [0.4306876275219717], [0.09636107706932406], [0], [0], [0], [0]];[-1.57829833,-1.90726662]
[-1.44717703,-1.68264141];[-3.41821120e-04,5.28978647e-03,8.70905475e-01,-4.91421979e-01];[[-1.15000027, -4.64999977], [5.99999983, -6.19999979], [2.49999978, -5.49999978], [0.49999975, -3.09999974], [-5.10000033, 1.70000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.10458320860277559], [0.10230957541141025], [0.10438517082044228], [0.10647998728657722], [0.10248517983427749], [0], [0], [0], [0], [0]];[0.49999975,-3.09999974]
