[0.50264211,-0.18135254];[4.30784514e-04,-3.16507657e-06,-2.71469939e-01,9.62446826e-01];[[0.72949306, -0.55734779], [3.67748383, -0.35562616], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1897103.71521718], [2137.678141630772], [0], [0], [0], [0], [0], [0], [0], [0]];[0.72949306,-0.55734779]
[3.89363083,-0.63543292];[1.14337101e-03,9.64883468e-05,-4.73286885e-02,9.98878715e-01];[[5.10000008, 1.90000007], [4.85000007, -2.75], [0.40000001, -2.69999999], [5.50000008, -4.49999987], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[204.3864082949975], [223.74724875270627], [2393.2487318029766], [204.52989299275316], [0], [0], [0], [0], [0], [0]];[0.40000001,-2.69999999]
[0.62875309,-2.61293563];[1.95723052e-03,1.09972479e-05,9.83855080e-01,-1.78956267e-01];[[2.39815798, -5.74282686], [4.21823478, -4.96072793], [6.5873723, -3.31507707], [5.80000011, -5.09999977], [5.1000001, 1.90000033], [0.10000002, -2.09999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[26.820777134881116], [26.8062181027097], [25.094997152505456], [24.968067510521447], [25.084147393710616], [1594.118125247598], [0], [0], [0], [0]];[0.10000002,-2.09999973]
[0.30765093,-2.24929322];[1.58011812e-03,-1.35614677e-04,9.53558268e-01,3.01204449e-01];[[6.59165955, -3.31590128], [5.80000011, -5.09999977], [5.1000001, 1.90000033], [4.09435987, -4.90846825], [2.30000005, -5.89999979], [0.10000002, -2.09999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[25.097094983798765], [24.96806751052169], [25.084147393710616], [26.802887022693252], [26.82295930690546], [1594.1181255656643], [0], [0], [0], [0]];[0.10000002,-2.09999973]
[0.30912775,-2.25053624];[1.41003351e-03,2.16054889e-05,9.53516497e-01,3.01337523e-01];[[6.59986115, -3.31484818], [5.80000011, -5.09999977], [5.1000001, 1.90000033], [0.10000002, -2.09999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[25.092279617521534], [24.9680675105217], [25.084147393710637], [1594.1181255603917], [0], [0], [0], [0], [0], [0]];[0.10000002,-2.09999973]
[0.30870034,-2.24958777];[1.38497864e-03,4.37316650e-04,9.53554659e-01,3.01216544e-01];[[2.02102011, -5.35987775], [5.97890468, -5.45742577], [5.1000001, 1.90000033], [0.10000002, -2.09999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[26.787451241646473], [25.040772165474078], [25.084147393710627], [1594.1181254948062], [0], [0], [0], [0], [0], [0]];[0.10000002,-2.09999973]
[0.31113567,-2.24946964];[1.16771911e-03,1.33825814e-04,9.53564707e-01,3.01185929e-01];[[6.18390317, -5.65273588], [2.44285147, -5.94362839], [5.1000001, 1.90000033], [0.10000002, -2.09999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[25.061350957954893], [26.823531898280695], [25.084147393710616], [1594.118125642928], [0], [0], [0], [0], [0], [0]];[0.10000002,-2.09999973]
[0.30843811,-2.2491794];[1.29583752e-03,6.17127787e-04,9.53565574e-01,3.01182077e-01];[[5.80000011, -5.09999977], [5.1000001, 1.90000033], [4.26026154, -5.01112986], [2.30000005, -5.89999979], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[24.96806751052168], [25.084147393710616], [26.816982154740632], [26.822959306905624], [0], [0], [0], [0], [0], [0]];[2.30000005,-5.89999979]
[2.2021498,-5.66111437];[7.81834723e-03,-2.87689451e-04,-5.75060865e-01,8.18073218e-01];[[6.43989274, -5.97075554], [-0.15542665, -0.12296724], [5.10000007, 1.89999995], [0.5, -3.10000012], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[24.858844127488876], [3300.9298183499295], [23.44342428133863], [744.0836901118225], [0], [0], [0], [0], [0], [0]];[-0.15542665,-0.12296724]
[-0.06846193,-0.36899961];[-0.00169308,-0.00954998,0.81587223,0.57815089];[[-0.43685966, -2.350843], [6.90000036, -4.20000014], [5.10000033, 1.89999995], [-0.49999975, 1.49999994], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [18.59946329676478], [126.80079387119821], [20.360979226494912], [0], [0], [0], [0], [0], [0]];[5.10000033,1.89999995]
