[0.38775173,-0.27085303];[-4.48302082e-04,-7.89848633e-04,-4.12793802e-01,9.10824052e-01];[[0.27643037, -0.56816171], [3.90000006, -1.20000002], [2.22807312, -1.00475991], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[299503.80543009326], [6.278562878353431], [7.123772397693553], [0], [0], [0], [0], [0], [0], [0]];[0.27643037,-0.56816171]
[0.224542,-0.62058673];[-2.92496768e-04,-2.31536691e-03,-7.50303415e-01,6.61089520e-01];[[3.67509927, -1.04295536], [0.40000001, -0.99999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[249.68555280603837], [988449.787846066], [0], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,-0.99999999]
[0.32867389,-0.75561674];[-4.46790828e-04,-1.47106079e-03,-6.18500295e-01,7.85783076e-01];[[4.38639719, -1.16588943], [0.80000001, -2.70000017], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[249.37974323249173], [1250.397104103735], [0], [0], [0], [0], [0], [0], [0], [0]];[0.80000001,-2.70000017]
[0.71559169,-2.46028326];[-0.00113819,-0.00122811,-0.58332816,0.81223486];[[4.55026015, -1.20447666], [-0.30000001, -0.8999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[144034.98091135305], [5761.787973739316], [0], [0], [0], [0], [0], [0], [0], [0]];[4.55026015,-1.20447666]
[0.71081417,-0.42052749];[-0.00289531,-0.00098137,0.27345482,0.96187999];[[3.75730709, -1.08517393], [-0.09785848, 1.51805704], [-0.75580461, -1.16599885], [3.60000021, -3.49999984], [-1.19999986, -5.09999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[313.87876514455775], [329.09047056429836], [30433.0151415008], [447.0921216297603], [467.98133969789365], [0], [0], [0], [0], [0]];[-0.75580461,-1.16599885]
[-0.8346284,-1.23575336];[-4.53437713e-04,3.20021795e-03,9.92793987e-01,-1.19790050e-01];[[4.10000023, -1.1999998], [3.60000022, -3.49999984], [0.00752037, 1.67706203], [-1.19999985, -5.09999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[914.6929399315247], [4.223867083739047], [4.22616479959247], [12.04296071769574], [0], [0], [0], [0], [0], [0]];[4.10000023,-1.1999998]
[4.33235604,-1.16424644];[-3.73471959e-03,-2.80542160e-06,-1.12815021e-01,9.93608988e-01];[[4.80000034, -4.84999986], [0.45058646, 2.80059612], [5.40000035, 1.70000024], [-0.99999974, -1.39999981], [-1.19999975, -5.09999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.641309735691058], [114.5040768169857], [10.641309735691054], [663.66916931421], [31.4587767030921], [0], [0], [0], [0], [0]];[-0.99999974,-1.39999981]
[-0.84447899,-1.32976776];[0.0032312,0.00558293,0.98926696,-0.14597695];[[6.10000036, -3.49999984], [4.10000033, 2.10000024], [4.00000033, -4.99999986], [-1.19999975, -1.89999982], [-1.19999975, -5.09999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.636297572097043], [992.9466221723752], [11.021709448288298], [22.946499863266226], [18.275997496434908], [0], [0], [0], [0], [0]];[4.10000033,2.10000024]
[4.43327961,1.23568028];[0.00675168,0.00486169,0.43859081,0.89864836];[[4.20000034, -4.99999986], [-1.19999975, -1.89999982], [-1.19999975, -5.09999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18.563621406580026], [138.6685297199953], [24.307681926472547], [0], [0], [0], [0], [0], [0], [0]];[-1.19999975,-1.89999982]
[-1.37091681,-2.09063607];[-0.00411589,0.00368822,0.95795094,-0.28687883];[[6.09999998, -3.49999984], [-1.20000013, -4.39999985], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[166.77066719266608], [173.6899136886349], [0], [0], [0], [0], [0], [0], [0], [0]];[-1.20000013,-4.39999985]
