[0.52583429,0.01776671];[-1.31644408e-04,2.36065578e-05,-7.64085073e-02,9.97076582e-01];[[1.04881807, -0.36889956], [4.15427585, 0.03983527], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[26.943633782230947], [24.348913256856985], [0], [0], [0], [0], [0], [0], [0], [0]];[1.04881807,-0.36889956]
[0.83013673,-0.23415109];[-3.88316129e-04,-3.40157139e-04,-2.82643508e-01,9.59224881e-01];[[0.7514395, -0.53529234], [4.31549072, -0.50638002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[800870.7688107692], [74.11413959771606], [0], [0], [0], [0], [0], [0], [0], [0]];[0.7514395,-0.53529234]
[0.8425168,-0.36981294];[2.21520998e-05,-1.03413237e-03,-7.12651838e-01,7.01517133e-01];[[0.36518487, -0.40437483], [3.90000008, -1.30000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[59190.08895484527], [511.0129828386413], [0], [0], [0], [0], [0], [0], [0], [0]];[0.36518487,-0.40437483]
[3.28461862,-0.57647223];[-4.31564754e-05,-5.19393511e-04,-1.58445899e-01,9.87367517e-01];[[4.23502643, -1.40738218], [5.50000008, 1.60000021], [0.90000001, -1.39999983], [-1.00000002, -0.59999982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0]];[4.23502643,-1.40738218]
[4.04011814,-1.22817967];[-3.56584126e-04,-3.67218670e-04,-3.66411923e-01,9.30452601e-01];[[5.35000008, 1.65000022], [6.40000009, -4.99999988], [2.30000003, -2.29999984], [0.90000001, -1.39999983], [-1.00000002, -0.59999982], [-1.95561934, -2.20800781], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0]];[5.35000008,1.65000022]
[5.15451631,1.46978314];[0.0026506,-0.00357856,0.35657251,0.93425704];[[2.01852301, -3.31921496], [4.27946652, -3.75458305], [3.80000005, 2.20000034], [-1.00000002, -0.59999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0]];[2.01852301,-3.31921496]
[2.17220497,-3.11423984];[-9.87103965e-04,6.41799194e-05,8.95716627e-01,-4.44624279e-01];[[3.07813291, -4.10080359], [-1.27236898, -1.20133271], [3.20000004, 2.10000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0], [0]];[3.07813291,-4.10080359]
[2.93477925,-3.92550104];[1.21774991e-03,-8.20289091e-04,-4.23596763e-01,9.05849673e-01];[[-1.15739901, -0.74504926], [5.80000008, -3.49999975], [4.20000006, -4.09999976], [3.20000004, 2.10000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0]];[-1.15739901,-0.74504926]
[-0.96902039,-0.9046782];[1.41460406e-04,-4.93153228e-03,9.37719598e-01,3.47358036e-01];[[3.59999992, -5.79999978], [-0.40000014, 1.50000032], [-1.48051596, -0.19794306], [-1.70000015, -3.39999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0]];[3.59999992,-5.79999978]
[3.8265536,-5.92696968];[8.21238610e-04,2.12279238e-03,-3.43398457e-01,9.39187050e-01];[[0.96041239, -5.26951607], [-0.50000004, 1.75000033], [-1.77047774, -2.50152549], [2.80000001, 2.10000033], [-2.40000007, 1.70000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0]];[0.96041239,-5.26951607]
