[3.415831,-0.62352835];[1.00624474e-03,3.95707585e-04,-2.41897614e-01,9.70301178e-01];[[5.80000009, -3.39999978], [3.90000006, -3.19999977], [2.29233146, -1.99422896], [0.40000001, -0.69999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[189.54324098211688], [209.8105572867348], [209.8393317966259], [27962.867009384292], [0], [0], [0], [0], [0], [0]];[0.40000001,-0.69999974]
[0.16377447,-0.66059908];[2.43218293e-04,-1.02925935e-04,9.91059450e-01,-1.33420745e-01];[[3.32951355, -3.40810956], [6.71002722, -5.34152832], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[25.807330812840682], [23.86050203392927], [0], [0], [0], [0], [0], [0], [0], [0]];[3.32951355,-3.40810956]
[3.14516426,-3.33132129];[-0.00298919,0.00249582,-0.22987226,0.97321302];[[-3.30000007, -3.49999969], [0.29726253, -5.04489435], [6.65857204, -5.47701996], [4.30000004, -6.69999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[19.24551568370081], [20.410967153625688], [20.39740586416506], [20.349117247374412], [0], [0], [0], [0], [0], [0]];[0.29726253,-5.04489435]
[0.04455219,-5.08978322];[0.01208088,0.00618165,0.98255666,-0.18546767];[[-0.73992552, -0.09596666], [-3.46666655, -3.46666651], [3.50000022, -6.34999988], [-1.11101305, -1.84802103], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[398.2392876111472], [19.810670073600452], [20.839881308479516], [60.966739769063906], [0], [0], [0], [0], [0], [0]];[-0.73992552,-0.09596666]
[-0.67014585,-0.35231557];[0.00466496,0.0170457,0.7873051,0.61631027];[[-3.34999988, -3.54999984], [3.50000022, -6.29999988], [-0.59999984, 1.50000024], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18.73475414903046], [18.06478656573606], [19.58903990585038], [0], [0], [0], [0], [0], [0], [0]];[-0.59999984,1.50000024]
[-0.58974537,1.23674306];[0.00245639,0.01890229,0.71475275,0.69911743];[[1.25000019, 2.50000025], [-3.34999988, -3.54999984], [3.50000022, -6.29999988], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[84.27882099791353], [80.74525190962171], [945.3082803991609], [0], [0], [0], [0], [0], [0], [0]];[3.50000022,-6.29999988]
[3.56423069,-6.34310176];[-0.00203744,0.00221491,-0.61430216,0.78906514];[[0.16239116, 3.21700274], [-3.57293859, -3.66551301], [1.55000019, 2.35000034], [-1.79933298, -0.29368341], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.832750041614178], [14.259901515794029], [0.0], [14.25990151579401], [0], [0], [0], [0], [0], [0]];[-3.57293859,-3.66551301]
[-3.30871418,-3.70818346];[3.86013212e-04,5.49773576e-03,9.97073160e-01,7.62544672e-02];[[-4.20440011, -3.76213514], [1.94560054, 2.7361237], [0.33550261, 3.03706307], [-0.9091754, 1.96116328], [-4.70000033, 0.60000032], [-6.70000036, -1.49999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.39165856891046], [0.0], [27.593999862265775], [52.73400236924196], [14.014363785429781], [14.014363785429799], [0], [0], [0], [0]];[-0.9091754,1.96116328]
[-0.72395267,2.15143424];[-1.44481217e-04,7.58225376e-03,4.87571108e-01,8.73050348e-01];[[-4.17866507, -3.76096987], [-0.30238608, 4.41368175], [5.79999983, 2.10000034], [-6.10000035, -0.6999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[43.09849763739524], [0.0], [14.067747046395805], [14.06774704639584], [0], [0], [0], [0], [0], [0]];[-4.17866507,-3.76096987]
[-4.05931884,-3.66168827];[4.91099733e-03,6.44129045e-04,9.23281340e-01,-3.84092495e-01];[[2.55032273, 2.7391677], [1.69999977, 5.60000039], [-4.30313921, -6.3552413], [-6.10000035, -0.6999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[30.024606166486368], [17.404814537401595], [16.859568053025196], [16.486825135033744], [0], [0], [0], [0], [0], [0]];[2.55032273,2.7391677]
[1.29200328,6.96920729];[-0.0031466,0.00158493,0.95341422,0.30164364];[[-4.47091437, -6.45448919], [-7.25000034, -4.89999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[37.55045775523222], [25.473194090102474], [0], [0], [0], [0], [0], [0], [0], [0]];[-4.47091437,-6.45448919]
[2.19034057,2.0344848];[-0.00391072,0.00584322,-0.01309563,0.99988952];[[3.52331115, 2.72976017], [5.69999984, 2.20000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[31.523122112351935], [30.759750205873903], [0], [0], [0], [0], [0], [0], [0], [0]];[3.52331115,2.72976017]
