[0.47458053,-0.06730993];[1.34279846e-04,-2.94857479e-04,-1.94465597e-01,9.80909287e-01];[[3.54339251, -0.65097708], [1.13098289, -0.53244718], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[159.19903232821594], [315300.8906150431], [0], [0], [0], [0], [0], [0], [0], [0]];[1.13098289,-0.53244718]
[0.90379579,-0.37140616];[-4.45853025e-05,-8.62417843e-04,-2.87734725e-01,9.57709761e-01];[[3.79755934, -0.77569371], [6.10000009, -0.80000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.490029722517814], [13.782022996241675], [0], [0], [0], [0], [0], [0], [0], [0]];[3.79755934,-0.77569371]
[3.34311746,-0.59682674];[0.00138355,0.00122601,-0.19949448,0.97989721];[[6.8848403, -4.1059143], [3.49794033, -2.81917546], [0.69506498, -1.20813223], [5.50000008, 1.60000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[136.9679959343444], [151.23730039311872], [125526.82563301189], [136.48684638518293], [0], [0], [0], [0], [0], [0]];[0.69506498,-1.20813223]
[0.47230891,-0.787895];[-3.11452204e-03,2.03066388e-05,9.30719988e-01,-3.65719284e-01];[[3.56556422, -3.43865155], [1.60957485, -5.30940604], [6.20000009, -3.99999978], [5.50000008, 1.6000003], [0.60000001, -2.79999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[764.7496138083228], [754.8414272195571], [691.5207140773334], [752.5773726322371], [816.5131380340315], [0], [0], [0], [0], [0]];[0.60000001,-2.79999976]
[0.54199324,-2.54685686];[0.0024983,-0.00110271,-0.63093049,0.77583456];[[0.05374361, -0.79307668], [5.63548814, -3.98666216], [2.77226282, -3.17843635], [5.50000012, 1.6000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2267.6827965822326], [14.127735262625468], [15.2943263640102], [691.0662608829889], [0], [0], [0], [0], [0], [0]];[0.05374361,-0.79307668]
[-0.00117483,-0.6884761];[-0.00212201,-0.00274535,0.71482593,0.69929382];[[-0.74999996, -0.64999951], [6.20000014, -3.99999956], [5.50000013, 1.60000053], [3.3000001, -3.09999954], [0.60000006, -5.69999958], [-0.99999997, -4.99999957], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[243.03242625511882], [12.788384783862828], [12.78838478386284], [13.66613023742066], [13.66613023742066], [13.666130237420647], [0], [0], [0], [0]];[-0.74999996,-0.64999951]
[-0.68678274,-0.70204519];[0.00189993,-0.00359838,0.98834358,0.15218542];[[5.16615199, -3.59543894], [5.50000013, 1.60000053], [0.60000006, -5.69999958], [4.91738321e-08, 1.50000053], [-0.79999996, -0.3999995], [-0.99999997, -4.99999957], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.307183060991829], [11.307183060991818], [12.006604007736545], [12.788384783862828], [12.788384783862828], [12.00660400773654], [0], [0], [0], [0]];[4.91738321e-08,1.50000053e+00]
[-0.10639035,1.26427101];[-5.22564208e-04,2.71430185e-05,5.58948294e-01,8.29202338e-01];[[-0.9333333, -0.76666617], [6.20000014, -3.99999956], [5.50000013, 1.60000053], [4.00000011, -3.59999955], [0.60000006, -5.69999958], [-0.99999997, -4.99999957], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[135.35386468367537], [10.815695616044723], [10.815695616044719], [23.446294843480263], [10.815695616044719], [10.815695616044719], [0], [0], [0], [0]];[-0.9333333,-0.76666617]
[-0.81311514,-0.53313274];[-6.10940720e-04,2.05265523e-04,-8.54674533e-01,5.19163783e-01];[[6.20000012, -3.99999956], [5.50000011, 1.60000053], [4.00000009, -3.59999955], [0.60000004, -5.69999958], [-0.99999998, -4.99999957], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.573773147652368], [111.67847342033106], [9.573773147652386], [10.030805404804516], [10.030805404804516], [0], [0], [0], [0], [0]];[5.50000011,1.60000053]
[5.29221496,1.45490326];[2.42758046e-03,-4.62041838e-06,2.85800788e-01,9.58285977e-01];[[5.1439463, -3.84841204], [3.65000002, 2.20000054], [-1.30000005, -0.2999995], [-2.10000006, -3.54999955], [0.59999998, -5.19999957], [-0.80269629, 2.12330747], [-1.00000005, -6.09999959], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.720531501433722], [16.43058419749592], [110.51856671128617], [0.0], [15.061883731589182], [48.246379731771825], [14.449794190173824], [0], [0], [0]];[-1.30000005,-0.2999995]
[-1.04916128,-0.23282875];[-0.00530494,-0.00216293,0.99254554,-0.12173962];[[3.09999992, -5.89999958], [0.49999989, -5.09999957], [-1.00000014, -5.09999957], [-1.50000014, -3.49999955], [-3.40000017, -3.49999955], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[48.7265618909502], [50.4705741203519], [50.543060215648154], [50.51338110113127], [50.51338110113127], [0], [0], [0], [0], [0]];[-1.00000014,-5.09999957]
