[0.34874732,-0.75496];[1.51359426e-04,-2.36729574e-03,-6.58461069e-01,7.52611066e-01];[[4.19374852, -0.73416164], [0.40000001, -1.59999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[236292.9505103744], [871820.1081586389], [0], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,-1.59999986]
[4.0745085,-0.72385133];[0.00103745,0.00154688,-0.04939167,0.99877775];[[4.1000001, -3.60000006], [5.30000011, 1.90000003], [0.50000004, -3.30000005], [-0.29999997, -0.60000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[20.862789971790733], [19.232479291300976], [67.86757720824868], [8230.989232101594], [0], [0], [0], [0], [0], [0]];[-0.29999997,-0.60000001]
[-0.04393172,-0.56011682];[-7.91920892e-04,-1.78136691e-04,9.97563389e-01,-6.97613097e-02];[[0.74754076, -3.82787501], [-0.60863229, -1.08294929], [5.30000025, 1.89999994], [4.90000024, -5.40000017], [3.40000022, -4.60000016], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[74.08892398483665], [11032.3374920311], [19.26014994077883], [19.260149940778856], [20.502098143009558], [0], [0], [0], [0], [0]];[-0.60863229,-1.08294929]
[-0.4180698,-0.92074848];[-4.75239386e-04,2.02746135e-04,9.38580852e-01,-3.45059017e-01];[[3.46022731, -4.55295814], [-0.60543171, -1.09049142], [5.30000025, 1.89999994], [4.90000024, -5.40000017], [0.50000018, -3.30000014], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[20.502098143009576], [5146.500841211405], [40.64802743016986], [19.260149940778803], [61.09419825379022], [0], [0], [0], [0], [0]];[-0.60543171,-1.09049142]
[-0.41594108,-0.92497808];[-3.46124260e-04,7.79171141e-04,9.38853376e-01,-3.44316165e-01];[[4.28625551, -4.86506116], [0.79582632, -3.9725932], [5.30000025, 1.89999994], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[19.26014994077883], [20.502098143009558], [1793.0630848419994], [0], [0], [0], [0], [0], [0], [0]];[5.30000025,1.89999994]
[5.25024758,1.81267926];[0.00496114,-0.00122276,0.34573275,0.93831912];[[0.73072177, -3.68250832], [-1.29395473, -1.90116329], [4.10000004, -5.10000007], [3.50000003, 2.00000003], [0.1945173, 0.5027594], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[28.39571902259956], [84.20355686916655], [28.395719022599586], [174.7473902554625], [631.5353743038363], [0], [0], [0], [0], [0]];[0.1945173,0.5027594]
[4.07831153,0.17508748];[-7.48738691e-04,6.42769285e-04,9.52437325e-01,-3.04732950e-01];[[0.90518929, -3.25766274], [3.91152856, -4.70422881], [6.20000007, -5.10000006], [-1.20000004, -2.00000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[96.02681586062751], [39.61938982613179], [38.01971887551717], [951.4363247670817], [0], [0], [0], [0], [0], [0]];[-1.20000004,-2.00000002]
[-0.99129749,-1.84974827];[-0.00238343,0.00144033,0.95489752,-0.29692249];[[4.84589672, -4.87116538], [0.7308338, -3.69843675], [3.50000031, 2.00000004], [-2.79999978, -3.20000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[37.64841974146523], [40.69437818718588], [257.20805280726165], [40.694378187185826], [0], [0], [0], [0], [0], [0]];[3.50000031,2.00000004]
[3.42701884,1.99719075];[-4.14514259e-04,3.86907000e-03,2.27004718e-01,9.73885881e-01];[[0.73584405, -3.67352489], [-3.24134625, -3.90014155], [6.20000008, -5.10000006], [3.60000004, -4.60000006], [1.70000001, 5.40000009], [-1.50000003, 5.40000009], [-5.10000009, 0.70000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[107.75685737692004], [151.22596501242913], [180.37712187389903], [123.59433763072613], [110.85580809124774], [173.19081724324704], [251.82866002350588], [0], [0], [0]];[-5.10000009,0.70000002]
[-5.33739742,0.75825844];[0.00119933,0.00251783,0.99990841,0.01324346];[[-3.70700185, -3.46904384], [-1.9086127, 5.06016483], [6.19999984, -5.10000006], [3.5999998, -4.60000006], [1.69999977, 5.40000009], [0.49999975, -3.10000003], [-5.20000033, 3.40000006], [-6.70000036, 4.30000008], [0.0, 0.0], [0.0, 0.0]];[[22.31761070779978], [19.419717354860882], [18.61385837635356], [26.183543037143384], [18.931570832400485], [75.10065349861587], [19.809038215473723], [19.809038215473784], [0], [0]];[0.49999975,-3.10000003]
[0.32961602,-2.92860955];[-2.17697112e-03,-1.92203282e-04,-3.86013060e-01,9.22490723e-01];[[-1.75907025, 5.15368046], [6.19999984, -5.10000006], [3.5999998, -4.70000006], [1.69999977, 5.40000009], [-2.7000003, -3.80000004], [-5.00000033, -5.70000007], [-5.20000033, 3.40000006], [-6.80000036, 4.30000008], [-7.00000036, -4.10000005], [0.0, 0.0]];[[66.98994752294693], [17.354014229557556], [17.672606294811267], [66.36983226354499], [21.987937088757153], [19.513313778852734], [17.010411320977344], [19.10680429411113], [17.02380273067965], [0]];[-1.75907025,5.15368046]
[-1.66483268,5.0335235];[0.00090453,0.00348741,0.861245,0.50817724];[[5.11741391, 2.65986826], [-3.04675901, -4.2870652], [-7.44928359, 5.21953906], [4.89999982, -5.60000008], [2.50659871, 3.60735297], [1.69999977, 5.60000009], [0.49999975, -3.40000005], [-4.90000033, -5.60000008], [0.0, 0.0], [0.0, 0.0]];[[36.84055375005953], [17.937447796352778], [18.516934888002318], [25.23026231409822], [18.25138674877782], [18.582059979196234], [33.61952940203749], [21.44059372663766], [0], [0]];[5.11741391,2.65986826]
[1.91456298,2.51434423];[-0.00590512,0.00292064,0.50194424,0.8648749];[[0.54999975, -3.40000005], [4.89999982, -5.60000008], [2.608989, 3.59368253], [-2.7000003, -3.80000005], [-4.90000033, -5.60000008], [-7.10000036, 6.2000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[83.89837325479192], [62.34946731632288], [64.3293232729638], [78.86170957464454], [62.378354809518875], [62.412214339000265], [0], [0], [0], [0]];[0.54999975,-3.40000005]
[0.50801759,-3.33929665];[-0.00342117,-0.00151297,-0.70073524,0.71341162];[[4.89999982, -5.59999988], [-3.2000003, -4.39999986], [-4.90000033, -5.59999988], [-7.10000036, 6.2000003], [-7.45876932, -4.20402288], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[62.20453398500623], [80.84626446260764], [61.35157120271736], [59.70626740724551], [60.50974647316636], [0], [0], [0], [0], [0]];[-3.2000003,-4.39999986]
[-3.45307929,-4.39103654];[0.00240858,0.00756145,0.98444476,0.1755151];[[6.90231895, 2.71098638], [6.79630947, -5.19612932], [4.89999982, -5.60000016], [-1.00000027, -6.10000017], [-7.10000036, 6.20000001], [-7.25062704, -4.20454884], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[115.25076485636818], [58.16172412946095], [58.90190613870036], [60.530049631999816], [58.18629945406977], [59.7220168013879], [0], [0], [0], [0]];[6.90231895,2.71098638]
