[3.96190565,-0.89651234];[2.69921283e-04,1.09001556e-03,-2.05006736e-01,9.78759918e-01];[[5.19274028, -3.72374392], [3.16583289, -2.8083651], [5.10000008, 1.90000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[92.30180659074111], [102.3062379198507], [93.37313372195563], [0], [0], [0], [0], [0], [0], [0]];[3.16583289,-2.8083651]
[3.27944769,-2.58595632];[-8.33781907e-04,4.43349995e-04,-8.55626526e-01,5.17592873e-01];[[5.94914718, -6.24773115], [0.55000001, -3.59999975], [5.20000008, 1.90000033], [1.29258406, -5.60457325], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18.859779308795346], [20.494199220800436], [18.859779308795346], [18.859779308795346], [0], [0], [0], [0], [0], [0]];[0.55000001,-3.59999975]
[0.78899565,-3.51222163];[-3.38207593e-04,1.01252841e-04,9.85588386e-01,-1.69160887e-01];[[6.36980674, -5.93056039], [-0.23887498, -0.86127771], [5.2000001, 1.90000033], [0.50000003, -3.89999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.872158803352322], [1344.1260773548327], [15.872158803352322], [18.404216246122253], [0], [0], [0], [0], [0], [0]];[-0.23887498,-0.86127771]
[-0.14685802,-1.09773188];[1.20904618e-03,1.12515323e-04,8.20719926e-01,5.71329458e-01];[[1.42999816, -6.29840071], [0.63803128, -3.57537325], [-1.84999998, -3.04999974], [6.30000014, -6.09999979], [5.40000013, 2.00000033], [-0.49999996, 1.20000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.181158501749847], [16.26720168876692], [16.26720168876692], [14.215238720781706], [14.215238720781706], [16.267201688766907], [0], [0], [0], [0]];[0.63803128,-3.57537325]
[0.55944957,-3.34309459];[-0.00134209,0.00413982,-0.589477,0.80777344];[[6.26362352, -6.48059167], [0.99748064, -5.85732649], [-0.02024226, 0.95877855], [5.40000008, 2.00000005], [-0.80000001, -0.89999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.016710389685631], [15.876956773410475], [162.98526852138863], [14.016710389685626], [290.77101542025946], [0], [0], [0], [0], [0]];[-0.80000001,-0.89999999]
[-0.85309398,-0.86556422];[-0.00281012,-0.00294663,0.79787014,0.60281562];[[6.3000001, -6.19999978], [5.40000008, 2.00000034], [-0.5, 1.20000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.949612156221765], [267.7782948994122], [220.80229815867932], [0], [0], [0], [0], [0], [0], [0]];[5.40000008,2.00000034]
[5.33180336,1.90212752];[0.0041008,-0.00124758,0.33381134,0.94263016];[[6.95573425, 2.71285391], [6.00705335, -6.28155826], [-0.03066207, 1.3714254], [-0.99999997, -0.9999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[23.52519618485567], [5.595830026761258], [20.036531442972827], [43.12095214701725], [0], [0], [0], [0], [0], [0]];[-0.99999997,-0.9999997]
[-0.76128261,-0.89124979];[-0.00105062,-0.00244223,0.97965713,-0.20066101];[[-0.56434231, -6.59265709], [-0.03399972, 1.37517209], [6.30000011, -6.29999978], [-0.7, -1.29999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.434412113221686], [13.904082766656682], [12.4884249742199], [13.911315547516898], [0], [0], [0], [0], [0], [0]];[-0.7,-1.29999971]
[-0.66398591,-1.34868516];[0.00188692,0.00324976,-0.73955428,0.67308642];[[6.30000018, -6.29999978], [-0.28783587, -6.65926075], [-0.29999992, 1.30000033], [-2.69999988, -3.59999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.761565798570539], [13.246065301292376], [13.707269010211807], [0.0], [0], [0], [0], [0], [0], [0]];[-0.29999992,1.30000033]
[-0.27047002,1.04727523];[0.00175455,-0.00119173,0.7370546,0.67582986];[[6.45501747, -6.21336964], [0.10665836, 1.67611683], [2.77288747, 1.70773005], [-0.50739795, -5.81886721], [-1.50000012, 1.70000034], [-1.50000012, -3.59999974], [-3.30000015, -4.69999976], [-3.50000015, -3.19999974], [0.0, 0.0], [0.0, 0.0]];[[11.5063171153376], [12.682767444435006], [12.280616403161183], [11.890853646382165], [35.735425815835136], [12.281806144197517], [11.887921531875033], [12.282936813880065], [0], [0]];[-1.50000012,1.70000034]
