[1.02797148,-0.23251234];[4.51381337e-04,-1.91700932e-04,-1.80649805e-01,9.83547362e-01];[[4.56213215, -1.01982895], [0.46221103, -0.48551756], [2.12797642, -1.11767185], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[82.13171936305561], [735.1069909958195], [93.54027433734015], [0], [0], [0], [0], [0], [0], [0]];[0.46221103,-0.48551756]
[0.24997089,-0.56687079];[-0.00119845,0.00099793,0.94552901,-0.3255341];[[4.29685795, -1.35190108], [-0.60221059, -0.82916943], [0.6, -3.59999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.9086750712815], [15319.429056649999], [8.9086750712815], [0], [0], [0], [0], [0], [0], [0]];[-0.60221059,-0.82916943]
[-0.36493506,-0.7510897];[2.90593434e-04,1.38283182e-03,9.88557762e-01,-1.50836176e-01];[[4.51462529, -1.44251322], [0.60000002, -3.59999977], [-0.8, -0.99999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.611685464818498], [9.47795536993823], [9.47795536993823], [0], [0], [0], [0], [0], [0], [0]];[0.60000002,-3.59999977]
[0.48883601,-3.3769837];[-9.70603488e-04,1.37781202e-04,-5.34154604e-01,8.45386234e-01];[[4.24573888, -1.36396757], [-3.27163344, -3.87689644], [-0.80104029, -0.20494121], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.077611865397214], [9.077611865397218], [819.5751472460533], [0], [0], [0], [0], [0], [0], [0]];[-0.80104029,-0.20494121]
[-0.65871074,-0.4217378];[-1.70047460e-03,-2.95288862e-04,8.73882321e-01,4.86134446e-01];[[4.19512641, -3.49059246], [-3.09999977, -3.34999975], [1.70000031, 2.20000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[930.832155824915], [923.2879901573598], [942.2820021384515], [0], [0], [0], [0], [0], [0], [0]];[1.70000031,2.20000034]
[1.58518387,2.14984698];[-0.00144715,-0.0038704,0.28879263,0.95738275];[[-2.89675433, -3.30289305], [4.60731495, -3.39654636], [2.50000032, 1.80000033], [0.30000028, 2.90000035], [-1.29999974, -0.59999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[862.2642945032237], [879.0447623890932], [957.1251069244886], [953.6972852172185], [7268.928807746722], [0], [0], [0], [0], [0]];[-1.29999974,-0.59999971]
[2.25896657,1.86387628];[-5.61234094e-04,-4.41929128e-03,-1.45099737e-01,9.89407008e-01];[[0.03605642, 3.03274099], [-3.10730011, -3.0959629], [5.80000037, 2.00000033], [4.40000035, -3.49999975], [-1.29999974, -0.59999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[963.7597412636143], [870.6985121738313], [916.8475216988121], [883.1486827673147], [6958.356181301285], [0], [0], [0], [0], [0]];[-1.29999974,-0.59999971]
[-1.12937351,-0.40957339];[-0.00112617,0.00552628,0.91741176,-0.39789931];[[0.03662817, 2.92457717], [4.68852023, -3.35817027], [5.49999999, 1.90000033], [-1.70000012, -3.39999975], [-3.80000015, -3.19999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[853.6617954240486], [828.2859958478128], [822.4572401763087], [853.8507393569016], [854.3845806722121], [0], [0], [0], [0], [0]];[-3.80000015,-3.19999975]
[-3.59742386,-3.07144271];[-0.00189952,0.00691904,0.96100998,-0.27642059];[[-4.12387238, -2.89464306], [4.61231722, -3.39620716], [0.64322151, 3.14975775], [-1.89999973, -7.7486038e-08], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[918.4202489221443], [861.3665213536142], [3109.415076689084], [893.9340668424938], [0], [0], [0], [0], [0], [0]];[0.64322151,3.14975775]
[0.52841738,2.91347744];[-0.00712882,0.00229635,0.52075065,0.85367598];[[5.01658625, -3.22387576], [-1.68148608, -0.17231327], [5.50000039, 1.90000033], [0.19183797, -6.02043915], [3.09944153e-07, 6.90000041], [-0.71038687, 2.22927809], [-1.39999971, 5.40000038], [-1.79999972, -4.79999977], [-2.89999973, -6.39999979], [-5.49999977, -2.49999973]];[[103.31614623920456], [240.34302223245976], [105.71171125156766], [100.42729630650894], [105.77925752909233], [108.69497995839146], [106.21770372317701], [103.23445270631774], [100.67991793838505], [103.03847240387555]];[-1.68148608,-0.17231327]
[-1.7848417,-0.35328675];[0.00102238,0.00568761,0.93817719,-0.34610715];[[-1.28556632, 5.24782291], [-1.79999972, 3.02493572e-07], [-5.64079369, -2.44171284], [-1.79999972, -4.79999977], [-2.89999973, -6.39999979], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0]];[-1.28556632,5.24782291]
[-1.23229579,5.24845501];[-5.71709124e-03,-3.08138252e-04,7.58527451e-01,6.51615925e-01];[[5.79740735, 2.05913496], [4.61359873, -3.39567983], [-4.63370037, 6.26755667], [-1.79999972, -5.09999977], [-2.39999973, 0.40000031], [-2.78044224, -6.41945553], [-4.29999975, 4.50000037], [-5.49999977, -2.49999973], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0]];[5.79740735,2.05913496]
[5.99167954,1.59419178];[-1.49935012e-03,3.27313096e-04,-5.71943381e-01,8.20291673e-01];[[4.38844992, -3.29901464], [-1.79999972, -5.09999977], [-2.39999973, 0.40000031], [-3.89999975, 4.50000037], [-5.49999977, -2.49999973], [-5.80211306, 7.37210321], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0]];[4.38844992,-3.29901464]
[4.50949734,-2.88166314];[-5.89560935e-04,1.25333206e-03,-7.97783746e-01,6.02942086e-01];[[4.90000038, -6.39999979], [2.30201552, 6.59326535], [-1.79999972, -5.09999977], [-3.89999975, 4.50000037], [-5.20462894, 6.36898422], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0]];[4.90000038,-6.39999979]
[4.82983535,-6.15251329];[-4.07227633e-04,4.70175519e-03,-6.10126065e-01,7.92290299e-01];[[2.30000034, -5.90000017], [-1.79999972, -5.10000015], [-2.39999973, 0.39999993], [-3.89999975, 4.49999999], [-5.49999977, -2.50000011], [-6.72456121, -3.60765386], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0]];[2.30000034,-5.90000017]
[2.54940515,-5.96943626];[0.00384313,-0.01658366,0.99078805,0.13434748];[[2.30546401, 6.5738915], [-1.79999972, -5.10000015], [-2.39999973, 0.39999993], [-3.89999975, 4.49999999], [-4.81272459, 5.71166945], [-5.49999977, -2.50000011], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0]];[2.30546401,6.5738915]
[0.74079782,6.93052268];[-0.00818387,0.00166896,0.19726838,0.98031394];[[5.90986913, 2.27557348], [-1.69999981, -5.09999977], [-3.99999985, 4.60000037], [-4.89999986, -2.09999973], [-5.09999986, 1.70000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0]];[5.90986913,2.27557348]
[5.94194168,0.82828222];[-0.00855998,-0.00616838,-0.54023764,0.84144636];[[-5.27271517, -2.42633649], [-3.99999985, 4.39999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[-5.27271517,-2.42633649]
