[0.16051971,0.19527512];[-6.35646786e-04,5.88175518e-04,2.74309756e-01,9.61641000e-01];[[0.20814331, -0.07414088], [4.20000006, -0.29999996], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.980083205516545], [1146.6921144699334], [0], [0], [0], [0], [0], [0], [0], [0]];[4.20000006,-0.29999996]
[3.9663876,-0.26613817];[7.18751276e-04,1.62057823e-03,-7.19435552e-02,9.97407130e-01];[[5.50000008, 1.59999991], [2.66876197, -2.10287952], [0.50000001, -0.70000013], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[52.13125008765695], [52.184610484797055], [786.2967809586519], [0], [0], [0], [0], [0], [0], [0]];[0.50000001,-0.70000013]
[0.27303738,-0.69549076];[-9.39352676e-04,1.60781223e-03,9.84614124e-01,-1.74732837e-01];[[-0.24167955, -0.03137558], [5.18600828, 1.80339748], [6.30000006, -4.7999998], [2.5, -2.49999976], [-2.10000006, -3.49999978], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.273290109735186], [0.5009700838601434], [0.46988018441093776], [20.17236060550941], [0.4991933461157799], [0], [0], [0], [0], [0]];[2.5,-2.49999976]
[2.68633217,-2.69907347];[-1.11048892e-03,1.80444288e-04,-2.25724742e-01,9.74190479e-01];[[4.62499997, -5.62499977], [-3.15000015, -3.54999974], [5.09999998, 1.70000034], [-0.90000011, -0.29999969], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.89974804352097], [2.735356959223089], [2.9056674118149437], [18.642954180006836], [0], [0], [0], [0], [0], [0]];[-0.90000011,-0.29999969]
[-0.72402651,-0.48471537];[-6.92293349e-04,7.90886366e-04,9.17654755e-01,3.97377200e-01];[[3.5934701, -5.7429592], [-0.50000011, 1.55000033], [-3.30000015, -3.64999974], [5.09999998, 1.80000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.333230303134793], [3.6698180183861706], [3.488034832289867], [3.3302588439944554], [0], [0], [0], [0], [0], [0]];[-0.50000011,1.55000033]
[-0.50389176,1.30481292];[-0.00306972,0.00328467,0.69199156,0.72189159];[[-0.93180923, 1.94820635], [-3.30000015, -3.64999974], [5.09999998, 1.80000034], [3.79999996, -6.09999978], [1.19999992, 2.30000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.3925990719072394], [3.2315099618514984], [3.0945490236172106], [2.96367478294521], [3.387890789655757], [0], [0], [0], [0], [0]];[-0.93180923,1.94820635]
[-0.80164468,1.73901181];[-6.55249762e-04,3.19957458e-03,8.73825093e-01,4.86229412e-01];[[4.78568603, 1.77222593], [-3.30000015, -3.64999974], [3.79999996, -6.09999978], [1.19999992, 2.30000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.447361713690182], [12.454341727078532], [2.9412501402754327], [10.982148290604037], [0], [0], [0], [0], [0], [0]];[-3.30000015,-3.64999974]
[-3.19714746,-3.55608708];[0.00323463,0.00404911,0.90403808,-0.42742053];[[5.64265155, 1.97775953], [-0.4949995, 5.81116044], [-3.45000015, -3.84999973], [3.79999996, -6.09999977], [-1.10000012, 1.80000035], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.171855338196057], [0.0], [0.0], [2.5379986000239807], [12.176356512555884], [0], [0], [0], [0], [0]];[-1.10000012,1.80000035]
[-0.9130367,1.96692107];[-0.0010651,0.00193766,0.47737058,0.87869928];[[5.69534226, 2.0048302], [-2.36852852, 1.96021524], [3.80000003, -6.09999978], [-1.10000005, 5.8000004], [-5.75000011, -2.94999973], [-2.11906838, -0.32277158], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.50733257492748], [20.023594894044837], [26.896694905201272], [10.852168201114837], [10.47197134825075], [24.59940417922733], [0], [0], [0], [0]];[3.80000003,-6.09999978]
[3.86831794,-6.14746677];[1.44633402e-04,2.34880222e-03,-5.99167225e-01,8.00620440e-01];[[2.69180615, 3.1035708], [1.30828526, 5.89428878], [5.5000001, 1.90000024], [-0.79999999, 5.5000003], [-2.50000002, 1.80000024], [-5.40000006, -2.49999982], [-7.10000009, -3.99999985], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[66.5387850612012], [34.80256196783061], [36.64971023723262], [43.31497609882061], [49.4719505414811], [35.70751181997929], [34.80256196783058], [0], [0], [0]];[2.69180615,3.1035708]
[-3.48526651,6.09567259];[0.00384047,0.00148217,0.99290308,-0.11885499];[[-5.25000033, 1.25000023], [-6.60000035, 6.60000031], [-3.07146144, -6.21479511], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[28.591959576726047], [28.591959576726023], [27.36996401656025], [0], [0], [0], [0], [0], [0], [0]];[-5.25000033,1.25000023]
[-5.32634046,1.17049933];[-6.58524866e-04,4.28017008e-03,-7.45231864e-01,6.66791354e-01];[[-6.90000035, -3.14999983], [-4.61383057, -5.92245483], [-6.30000034, 6.60000031], [-6.40000034, -0.7999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[27.60183597825458], [27.22798827332278], [27.601835978254663], [27.983981472107175], [0], [0], [0], [0], [0], [0]];[-6.40000034,-0.7999998]
[-6.21596253,6.37753005];[0.00321838,0.00726728,0.81474084,0.57977082];[[-7.41016552, -4.04187146], [-6.60000035, -0.9999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[24.72193721192174], [25.034498846016366], [0], [0], [0], [0], [0], [0], [0], [0]];[-6.60000035,-0.9999998]
[-6.65305477,-0.85836247];[-0.0066194,0.00540402,-0.63442336,0.77293853];[[4.58470736, 2.50566276], [-7.15835603, -5.05551022], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[22.964334525126013], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[4.58470736,2.50566276]
