[0.2791203,-0.30463731];[-4.40274973e-04,-3.38978351e-04,-5.12754013e-01,8.58535387e-01];[[4.52066154, -0.93882169], [0.53324729, -0.55648689], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.024265321453391], [277381.5495135361], [0], [0], [0], [0], [0], [0], [0], [0]];[0.53324729,-0.55648689]
[0.36197259,-0.37902525];[-4.46074836e-04,-8.67627255e-06,-4.47132344e-01,8.94467697e-01];[[5.34919523, -0.6985013], [2.15986872, -1.01027477], [0.40000001, -1.00000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.024265321453393], [5.709504731191306], [51945.00793339273], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,-1.00000001]
[0.35982996,-0.75892023];[1.09599509e-04,-1.85737238e-03,-6.57692383e-01,7.53284331e-01];[[4.62004884, -1.35251239], [0.54787941, -1.06346012], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.935011738774434], [39354.47268466974], [0], [0], [0], [0], [0], [0], [0], [0]];[0.54787941,-1.06346012]
[0.43606633,-0.82769766];[-2.25830797e-04,-1.05358880e-03,-5.62141895e-01,8.27040101e-01];[[5.8030385, -0.73041165], [4.20072373, -1.25132459], [1.91720462, -0.90853202], [0.40000001, -1.09999994], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.935011738774436], [4.935011738774434], [5.548074778072672], [92377.43720454878], [0], [0], [0], [0], [0], [0]];[0.40000001,-1.09999994]
[0.40542401,-0.96592132];[1.10600271e-03,-7.21337725e-04,-6.62979369e-01,7.48636508e-01];[[4.7698574, -0.66846498], [0.01146599, -2.10076499], [-0.44999992, 1.55000033], [-1.59999994, -0.59999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.249683181500834], [4016.927165103508], [6.778847417562643], [6.778847417562654], [0], [0], [0], [0], [0], [0]];[0.01146599,-2.10076499]
[0.0932701,-1.86814795];[0.00126769,-0.0008842,-0.81926623,0.57341124];[[5.06444501, -0.79281336], [-0.21632902, 1.40344466], [1.60721707, -2.94021392], [-0.19999992, -2.39999973], [-1.59999994, -0.59999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.249683181500849], [94.86789909763984], [31.919223061113556], [52.38456934474239], [6.778847417562643], [0], [0], [0], [0], [0]];[-0.21632902,1.40344466]
[-0.19468456,1.16160373];[-0.00306779,0.00174817,0.73490409,0.67816188];[[4.81095558, -0.26988084], [0.65232311, -4.42430189], [-0.05000012, 3.30000035], [0.10281732, -2.80976534], [-0.90000014, -1.59999972], [-1.20000014, 1.80000033], [-2.90000017, -0.0999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.6707839815500805], [6.670783981550091], [7.165484935010018], [12.523153728674707], [44.23026265593256], [357.81822676689137], [6.670783981550081], [0], [0], [0]];[-1.20000014,1.80000033]
[-0.96593934,1.67898114];[-0.00201821,0.00212569,0.96928324,0.24592968];[[0.34561041, -4.19794164], [0.89999989, 2.50000034], [-0.90000014, -1.59999972], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.121756861675713], [6.950425548431471], [33.80883188565586], [0], [0], [0], [0], [0], [0], [0]];[-0.90000014,-1.59999972]
[-0.87901776,-1.35947898];[-0.00160911,-0.00099797,-0.73557224,0.67744365];[[0.29370583, -4.10774852], [4.76199423, -0.66843218], [0.60000021, 2.95000035], [1.61565125, -2.92322063], [-1.99999983, -3.59999975], [-5.19999988, 2.40000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[335.0754073234591], [168.5072130256629], [979.5217611060965], [390.91075699951824], [176.7130203987806], [423.69608715063725], [0], [0], [0], [0]];[0.60000021,2.95000035]
[0.49829723,2.72092547];[-0.00578683,0.00295311,0.54312955,0.83962378];[[5.34951364, -0.99163236], [-4.83404123, 2.7763165], [-1.39999982, -3.86666642], [-1.19999982, 5.45000038], [2.00000023, 2.10000033], [-3.79999986, -0.79999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[222.4755233705518], [231.37929524756717], [605.9592300693353], [230.1981241495576], [240.47734644879267], [231.3330745135858], [0], [0], [0], [0]];[-1.39999982,-3.86666642]
[-1.43534472,-3.81461721];[0.00162477,-0.00758135,-0.72134523,0.69253228];[[4.7882403, -0.66864901], [-1.24999982, 6.05000039], [-3.29999985, -4.14999976], [1.70000022, 5.50000038], [-3.79999986, -0.79999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.2165677523810077], [0.04600493931888314], [0.05042306810096428], [0.04439477841711085], [0.049081008400837095], [0], [0], [0], [0], [0]];[4.7882403,-0.66864901]
[4.53092845,-0.74079243];[0.00279908,0.0151284,0.11526554,0.99321556];[[0.33233308, -4.74446292], [6.20000042, 0.39999975], [-3.39999972, -6.40000035], [-4.69999974, 0.69999975], [-9.0999998, -3.30000031], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0959191540250425], [0.09848741976203303], [0.9072741814469523], [1.8618460951124876], [0.09069369475823079], [0], [0], [0], [0], [0]];[-4.69999974,0.69999975]
[-4.45774031,0.71625686];[0.02221639,0.00488116,0.99962605,-0.01517725];[[0.25310449, -4.75902265], [6.20000052, 0.39999975], [-3.39999962, -6.40000035], [-4.29999963, 3.8499998], [-8.09999959, 1.99999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.10516214462787875], [0.5769135639134648], [0.06339837388031119], [0.0855739041179743], [0.08624386606365696], [0], [0], [0], [0], [0]];[6.20000052,0.39999975]
