[4.17839357,-0.61847274];[1.10941772e-03,3.65385677e-04,-7.71898353e-02,9.97015725e-01];[[6.15710773, -3.17945621], [4.00053356, -3.10701578], [5.40000008, 1.7000003], [2.10427976, -1.71377802], [0.30000001, -0.59999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[92.55303807234522], [102.10344419520005], [101.86285376087758], [39927.20594400409], [2008.5677265778534], [0], [0], [0], [0], [0]];[2.10427976,-1.71377802]
[1.6757811,-1.83696839];[-2.31592468e-04,5.08588623e-04,9.23145284e-01,-3.84450890e-01];[[6.09599313, -3.35464789], [0.65000001, -3.35000003], [5.40000008, 1.80000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[43.21638968252812], [46.84623491422584], [43.17160942262694], [0], [0], [0], [0], [0], [0], [0]];[0.65000001,-3.35000003]
[5.85726252,-3.26881725];[8.98055235e-04,6.01982862e-04,-1.72560326e-01,9.84998354e-01];[[0.95805742, -4.52596605], [3.95000006, -5.60000016], [6.10000009, -6.00000017], [5.40000008, 1.79999995], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.022010197638573387], [0.02187642236819776], [0.02202599577985871], [0.021907020055763473], [0], [0], [0], [0], [0], [0]];[6.10000009,-6.00000017]
[6.13336263,-6.15523923];[-0.00120341,0.0038849,-0.75935777,0.65066064];[[5.40000008, 1.79999995], [0.40000001, -3.90000014], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.011475648959566785], [0.01155126572398791], [0], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,-3.90000014]
[0.21219053,-3.78231616];[0.00348135,0.00157943,0.99735169,0.07262912];[[0.58978287, -5.10698047], [-0.35168011, -0.35267358], [5.40000008, 1.89999995], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[45.061278716187346], [173.60147477687534], [41.82933141389677], [0], [0], [0], [0], [0], [0], [0]];[-0.35168011,-0.35267358]
[-0.31042871,-0.60109522];[5.79664148e-04,3.93377774e-05,7.58446732e-01,6.51734765e-01];[[0.72607663, -5.90079195], [-0.85180935, -1.3188433], [5.40000011, 1.79999995], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[41.30125607358125], [148.0040568305766], [236.42040120595496], [0], [0], [0], [0], [0], [0], [0]];[5.40000011,1.79999995]
[5.32383782,1.70797972];[4.08219367e-03,-6.80549080e-04,3.14647503e-01,9.49199566e-01];[[-0.92909765, -1.84282481], [-0.20000002, -5.10000015], [4.40000005, 2.19999996], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[88.47472223338994], [55.97299543513394], [61.662926544781584], [0], [0], [0], [0], [0], [0], [0]];[-0.92909765,-1.84282481]
[-0.73998823,-1.69107408];[-0.00807187,0.0046586,0.94980486,-0.31270415];[[-0.00248911182, -4.65155831], [0.18814059, 1.39109886], [-1.70835209, 0.07079799], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[72.18172872449183], [103.01005015454683], [144.29554970154342], [0], [0], [0], [0], [0], [0], [0]];[-1.70835209,0.07079799]
[0.05476587,-4.95104201];[6.99048700e-03,1.69963956e-04,-6.37459604e-01,7.70452038e-01];[[-3.09999979, -3.45000013], [0.1988502, 1.39953172], [-0.70313191, -6.38200617], [-1.91919911, -0.39991817], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[61.512131545712315], [165.45381117784996], [63.14737058133603], [91.80466586143326], [0], [0], [0], [0], [0], [0]];[0.1988502,1.39953172]
[0.05519062,-4.95025492];[7.15559683e-03,1.76112729e-04,-6.37649001e-01,7.70293792e-01];[[-3.09999979, -3.45000013], [-0.71052754, -6.39455318], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[61.51213154571221], [63.15425724961052], [0], [0], [0], [0], [0], [0], [0], [0]];[-0.71052754,-6.39455318]
