[0.16043639,0.19500203];[-7.68636590e-04,6.89427834e-04,2.72249588e-01,9.62226112e-01];[[0.38083252, -0.06132545], [3.30000005, -0.19999996], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[499330.5053341814], [12.573216440163446], [0], [0], [0], [0], [0], [0], [0], [0]];[0.38083252,-0.06132545]
[0.47953114,-0.2084254];[-2.98504093e-04,-1.84757713e-04,-3.11760544e-01,9.50160639e-01];[[0.55860712, -0.59044091], [4.00000006, -1.19999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[102.70580101404495], [93.631271686174], [0], [0], [0], [0], [0], [0], [0], [0]];[0.55860712,-0.59044091]
[0.47786463,-0.43126278];[-6.67153367e-04,-3.09522217e-04,-5.36954516e-01,8.43610871e-01];[[2.99516902, -1.11034623], [5.70292425, -0.44082147], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[831.5401812388714], [831.9056837563941], [0], [0], [0], [0], [0], [0], [0], [0]];[5.70292425,-0.44082147]
[5.46303582,-0.44204973];[2.30666685e-04,-1.41369641e-03,1.12918891e-01,9.93603177e-01];[[0.57690394, -1.40756478], [5.10000008, 1.90000021], [3.05043578, -2.51122522], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[19792.09060950989], [173.9701236613962], [159.57196848550475], [0], [0], [0], [0], [0], [0], [0]];[0.57690394,-1.40756478]
[0.36921475,-1.45379776];[-6.59677543e-03,-2.03795406e-04,9.99784007e-01,1.97070162e-02];[[4.97407706, -3.63341634], [-2.29999978, 0.05000018], [6.44469118, -5.10877323], [3.0000003, 1.90000021], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.69179703999321], [15.67779233697618], [13.8092883431151], [13.8092883431151], [0], [0], [0], [0], [0], [0]];[-2.29999978,0.05000018]
[-2.08605366,-0.06385743];[-0.00700501,0.00178394,0.96781226,0.25156942];[[4.96741996, -3.63639085], [-2.44803675, -0.42422284], [3.00000032, 1.90000021], [0.30000028, -1.29999984], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18.731628299060514], [51.609585125411414], [159.6807692983712], [1031.8452019605138], [0], [0], [0], [0], [0], [0]];[0.30000028,-1.29999984]
[0.06437714,-1.23938672];[9.29175627e-05,-5.77753310e-03,-1.34432822e-01,9.90905865e-01];[[5.11612677, -3.81862855], [-4.60114944, -0.65169034], [3.10000007, 2.00000021], [0.20000002, 1.0000002], [-6.90000008, -0.59999983], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.238767096521093], [12.875299450196458], [180.6945871889893], [68.51538072085516], [12.238767096521093], [0], [0], [0], [0], [0]];[3.10000007,2.00000021]
[3.34390991,1.97014015];[0.00224891,0.01304865,0.99880612,0.04702138];[[5.13403276, -3.76796405], [-4.14315645, -0.40500825], [-0.39999999, -1.65000004], [3.00000006, 2.30000002], [-0.19999998, 1.50000001], [-2.20000001, 1.80000002], [-7.20000009, -0.60000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[22.058863068768154], [53.73685858594975], [67.834577862001], [25.591034348511627], [65.85666342608118], [27.284992652636927], [21.299604396471256], [0], [0], [0]];[-0.39999999,-1.65000004]
[-0.50422438,-1.68925375];[0.00905194,0.00846025,0.87755067,-0.47932379];[[5.00000009, -3.44999981], [-4.45245107, -0.70542708], [0.50000003, -4.09999982], [0.40000003, 2.30000028], [-2.75000002, -3.34999975], [-7.20000009, -0.59999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0]];[5.00000009,-3.44999981]
[5.23440152,-3.50999383];[-0.01388781,0.00222291,-0.26123438,0.96517294];[[-3.5368538, -3.02741358], [3.60000007, -6.39999979], [0.40000003, 2.30000034], [-4.20000004, -0.6999997], [-5.40358162, -4.71545458], [-7.20000009, -0.5999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0]];[-3.5368538,-3.02741358]
