[2.33757796,-0.33072633];[-2.91690758e-04,-3.83338000e-04,-1.34277050e-01,9.90943715e-01];[[1.30314085, -1.07536153], [4.47610573, -1.80300685], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[16702.668587356395], [69.72337036612039], [0], [0], [0], [0], [0], [0], [0], [0]];[1.30314085,-1.07536153]
[4.22586836,-1.6959653];[6.76681727e-04,6.09502441e-04,-1.95526668e-01,9.80697962e-01];[[2.89497144, -6.40039243], [6.30000009, -6.6999998], [4.60000007, 1.90000033], [0.60000001, -3.59999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[25.64001465664148], [25.640014656641494], [25.64001465664148], [36.20602216015365], [0], [0], [0], [0], [0], [0]];[0.60000001,-3.59999975]
[0.82843284,-3.48456546];[2.85578200e-04,2.15807973e-03,9.76239868e-01,-2.16681762e-01];[[0.76455737, -5.93842852], [-0.84999997, -0.74999971], [4.60000011, 1.90000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[25.088981451346115], [115.05690130301659], [22.376055682926516], [0], [0], [0], [0], [0], [0], [0]];[-0.84999997,-0.74999971]
[-0.7216437,-0.96853682];[-0.00494058,-0.00349221,0.86596695,0.50006464];[[-0.97124384, -0.25592253], [0.59696395, -5.23224584], [4.60000012, 1.90000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.425918437445378], [0.8778000672505876], [0.8334613368841713], [0], [0], [0], [0], [0], [0], [0]];[-0.97124384,-0.25592253]
[-0.87583788,-0.50453181];[-0.00486517,-0.0040598,0.81829965,0.57475692];[[0.66008945, -5.11536723], [4.60000017, 1.90000033], [-0.99999991, -0.89999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.8766316280161272], [0.8330956722923833], [3.0932230102781175], [0], [0], [0], [0], [0], [0], [0]];[-0.99999991,-0.89999971]
[-1.0699353,-1.07437196];[-0.0057121,0.00358292,0.86864766,-0.49538448];[[-0.75460108, -1.24190717], [4.60000023, 1.90000033], [0.60000017, -5.09999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.570818887146025], [0.8126343878352096], [0.8540743300626663], [0], [0], [0], [0], [0], [0], [0]];[-0.75460108,-1.24190717]
[-0.59767753,-1.29505132];[-0.00282279,-0.00605341,-0.35193321,0.93600129];[[0.79568182, -5.96687996], [-1.19999986, -0.89999971], [4.60000023, 1.90000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.7962591664022167], [4.764010518557243], [4.566866540872564], [0], [0], [0], [0], [0], [0], [0]];[-1.19999986,-0.89999971]
[-1.39711689,-0.71761671];[-0.0069703,0.00166921,0.96867879,0.24821365];[[-1.35391307, -1.74245093], [4.60000015, 1.90000033], [0.60000009, -5.09999977], [-1.60000003, -3.34999975], [-3.70000006, -0.2999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.349044405994077], [23.84669133878982], [6.061284428497742], [0.0], [6.352307974544358], [0], [0], [0], [0], [0]];[4.60000015,1.90000033]
[4.85517699,1.90778698];[0.00255558,-0.00104152,0.12078862,0.99267441];[[-0.10062947, 2.28859528], [-1.40142931, -2.33463104], [0.74655612, -5.82781652], [-4.00000006, -0.2999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[67.4889609572218], [65.07926316499501], [63.00118770414427], [76.06270800527527], [0], [0], [0], [0], [0], [0]];[-4.00000006,-0.2999997]
[-3.75424834,-0.24295472];[0.00133509,-0.00617007,0.99411634,-0.10813347];[[7.06162357, 2.81674051], [-5.09999986, 2.10000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[83.81807491169825], [64.59295742640178], [0], [0], [0], [0], [0], [0], [0], [0]];[7.06162357,2.81674051]
