[0.15858803,0.19416149];[-7.98429230e-04,6.66088008e-04,2.73947954e-01,9.61743955e-01];[[0.25637647, -0.1076251], [2.26760401, -0.49561159], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1145267.4919237099], [12.223617801023426], [0], [0], [0], [0], [0], [0], [0], [0]];[0.25637647,-0.1076251]
[0.31512861,-0.33512257];[-5.41005178e-04,1.27591689e-04,-4.91697232e-01,8.70766061e-01];[[0.31210997, -0.83731405], [4.13544786, -0.85517281], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[473026.077428668], [87.27002552134451], [0], [0], [0], [0], [0], [0], [0], [0]];[0.31210997,-0.83731405]
[0.27783522,-0.58731701];[-0.00112004,-0.00114568,-0.66535651,0.74652405];[[4.70877582, -0.71086572], [0.40000001, -1.00000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1166.9548535669794], [340469.10383267887], [0], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,-1.00000001]
[0.33506306,-0.75941152];[-1.12264639e-03,-6.59749970e-04,-6.18444216e-01,7.85827632e-01];[[0.39919221, -1.01356036], [5.50000008, -0.49999999], [4.10000006, -1.3], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2148802.380310411], [1195.3598152366374], [1225.22120333332], [0], [0], [0], [0], [0], [0], [0]];[0.39919221,-1.01356036]
[0.33496249,-0.75965218];[-1.03699384e-03,-7.43137538e-04,-6.18329121e-01,7.85918236e-01];[[4.62307127, -0.9723136], [0.38887705, -1.00776776], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1179.0765008759959], [1974287.4171241235], [0], [0], [0], [0], [0], [0], [0], [0]];[0.38887705,-1.00776776]
[0.33531393,-0.75962694];[-0.00110922,-0.00085373,-0.61845381,0.7858199];[[4.70078998, -0.94720641], [0.40000001, -1.19999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1176.4474447883272], [1341281.5303180756], [0], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,-1.19999998]
[0.35829236,-0.95195495];[-9.93217808e-04,-2.88468525e-04,-6.48459039e-01,7.61248845e-01];[[4.74512571, -1.07858178], [0.40000001, -1.19999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1184.170595424149], [1341281.5303241108], [0], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,-1.19999998]
[0.35937206,-0.95253737];[-9.57536449e-04,-2.22376819e-04,-6.48588280e-01,7.61138808e-01];[[4.5365965, -0.83183014], [0.40000001, -1.19999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1172.5276586325235], [1341281.5303241082], [0], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,-1.19999998]
[0.36004512,-0.95268724];[-8.98358417e-04,-2.77750841e-04,-6.48734852e-01,7.61013928e-01];[[0.56015846, -1.26848219], [5.50000008, -0.49999997], [4.10000006, -1.29999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3076.7588377183633], [1196.5589837189164], [1220.3834572861674], [0], [0], [0], [0], [0], [0], [0]];[0.56015846,-1.26848219]
[0.44892161,-1.04780085];[-1.24739532e-03,2.27332626e-04,-5.48770258e-01,8.35972237e-01];[[5.50000008, -0.49999997], [4.10000006, -1.29999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1216.6135342062819], [1239.3991239449404], [0], [0], [0], [0], [0], [0], [0], [0]];[4.10000006,-1.29999999]
[4.27308363,-1.25760583];[0.00158198,0.00124952,-0.16776448,0.98582505];[[6.20000011, -5.19999986], [5.4000001, 1.60000024], [0.10000002, -1.99999982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[16.852594122337788], [16.852594122337788], [1437.6046278868262], [0], [0], [0], [0], [0], [0], [0]];[0.10000002,-1.99999982]
[0.1384321,-2.02322906];[0.02154876,-0.00131227,0.99942138,0.02628346];[[0.64637305, -4.11286785], [5.51994518, 1.67283343], [0.99778576, -6.11292542], [-0.6666666, -0.66666675], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[65.96967264706188], [14.407972221290422], [15.34423819001084], [417.14771696025787], [0], [0], [0], [0], [0], [0]];[-0.6666666,-0.66666675]
[-0.56371237,-0.88229243];[0.01925528,0.00987266,0.8489174,0.52808236];[[6.20662613, -5.69013899], [5.40000017, 1.60000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.407972221290446], [14.407972221290454], [0], [0], [0], [0], [0], [0], [0], [0]];[5.40000017,1.60000033]
