[3.83407031,-0.62559687];[1.30841346e-03,6.77682145e-04,-7.30528901e-02,9.97326981e-01];[[0.58403339, -0.80465117], [5.30000008, 1.7000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[24247.500931013838], [417.0144289143815], [0], [0], [0], [0], [0], [0], [0], [0]];[0.58403339,-0.80465117]
[0.57722591,-0.49709198];[2.63703709e-03,7.80910062e-04,9.67343240e-01,-2.53455111e-01];[[-0.30920617, -0.0806001], [6.10000008, -4.69999977], [5.50000007, 1.90000032], [0.5, -2.59999974], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[891.7926403563487], [20.674953886911766], [22.247094956965537], [24.026308247175603], [0], [0], [0], [0], [0], [0]];[-0.30920617,-0.0806001]
[-0.2353351,-0.05928523];[0.00316626,0.00353957,0.9956984,0.09253174];[[5.49223314, -4.68501284], [0.04898161, -1.89413745], [-0.33000861, -0.40790366], [5.50000016, 1.90000032], [-4.09999989, -0.99999972], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[19.54373936439998], [22.56727615379096], [293.0973922367415], [19.54373936439998], [20.965374593837158], [0], [0], [0], [0], [0]];[-0.33000861,-0.40790366]
[-0.47760015,-0.60849105];[-0.0075883,0.00481233,-0.84089394,0.54112533];[[4.55471704, -4.70087903], [-0.75521154, 1.89014909], [6.10000036, -4.70000015], [5.50000035, 1.89999994], [-0.29999974, -2.10000012], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.450319638371258], [16.175170699327424], [14.45031963837122], [608.6869616532206], [135.28385676900578], [0], [0], [0], [0], [0]];[5.50000035,1.89999994]
[5.46009282,1.82084182];[2.36876286e-03,-4.80810578e-04,3.17425379e-01,9.48280177e-01];[[-1.72641416, -2.56745525], [4.50963712, -4.70802299], [-0.40181257, 2.14773614], [6.24392341, -4.74719584], [-2.59999977, 0.15000051], [4.50000033, 2.20000054], [0.40000027, -5.39999958], [0.30000027, -3.29999955], [0.0, 0.0], [0.0, 0.0]];[[99.00800041209062], [9.338871225853177], [8.048442600367263], [7.722468665837841], [40.789687108863944], [8.448065665213845], [7.381955924346204], [7.692301028317907], [0], [0]];[-1.72641416,-2.56745525]
[-1.89325177,-2.60943212];[-0.0027496,0.00096315,0.92541914,-0.37893394];[[0.3846547, -4.00042006], [-0.5547374, 1.93355577], [-2.08422269, -0.24660868], [-3.39999988, -3.49999974], [4.70000024, -5.29999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[85.49076190162872], [212.30372155211788], [88.71747338082588], [0.0], [82.52591958332718], [0], [0], [0], [0], [0]];[-0.5547374,1.93355577]
[-0.53592311,1.77280095];[-0.00259077,0.00310318,0.69332392,0.72061474];[[0.14331026, -4.23567511], [4.50612712, -5.15132716], [-2.28071141, -0.19281722], [7.1071806, -5.10997963], [4.49999981, 2.20000034], [1.79999977, 2.30000034], [-1.30000028, 1.90000034], [-4.40000032, -1.79999972], [-7.20000036, -3.09999974], [0.0, 0.0]];[[0.10043689243129637], [0.09753449457168939], [0.10395328794442782], [0.09758489985685606], [4.2260382384618085], [0.10737904787708263], [0.32687969340662826], [0.12491375995531191], [0.09741417460358377], [0]];[4.49999981,2.20000034]
[4.04951274,2.07197244];[8.64434351e-05,3.23017230e-04,1.77115904e-01,9.84189940e-01];[[-0.98305691, 5.61106139], [4.19043386, -4.79433825], [-1.30922501, 2.04316294], [1.79999977, 5.50000039], [-2.8000003, -0.09999969], [-3.0000003, -3.89999975], [-4.40000032, -1.79999972], [-7.20000036, -3.09999974], [0.0, 0.0], [0.0, 0.0]];[[0.10866544840468984], [0.1088752271269294], [0.3117166221442535], [0.29195951981000584], [0.1090927649687211], [0.10576872770204883], [0.1549467900330544], [0.32668976681322615], [0], [0]];[-7.20000036,-3.09999974]
[-7.43356628,-3.24097037];[-0.0030094,0.01017265,0.98351858,-0.18049558];[[0.09946114, -4.52194014], [-0.8499995, 5.7500004], [7.13352823, -5.11074305], [4.70000058, -5.29999977], [-6.29999958, 1.60000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.045078387282285], [2.6235077080333684], [2.9119285610145638], [2.5720207024165096], [2.80021487267053], [0], [0], [0], [0], [0]];[0.09946114,-4.52194014]
[0.35533306,-4.47394087];[-0.01040604,-0.00365753,-0.03795559,0.99921855];[[-0.70466178, 6.1719444], [5.02232995, -5.70861056], [2.28848505, -5.1150856], [-5.39999957, 2.20000034], [-5.59999957, -5.69999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0]];[-0.70466178,6.1719444]
[-0.67236737,5.91479225];[-5.10796795e-04,2.80050079e-03,7.45698809e-01,6.66277122e-01];[[-2.94999953, 5.35000039], [-7.44832301, 2.01093924], [4.70000058, -5.29999977], [0.60000052, 6.60000041], [-5.49999957, -5.89999978], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0]];[-2.94999953,5.35000039]
[-2.7041918,5.43575145];[0.00117294,0.00166603,0.98780001,-0.15571449];[[4.70000058, -5.29999977], [2.23968673, -5.10379934], [0.60000052, 6.50000041], [-5.49999957, -5.89999978], [-5.59999957, 6.60000041], [-6.89999959, 3.80000037], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0]];[4.70000058,-5.29999977]
[4.70960566,-5.39714851];[0.00177255,0.00654604,-0.35363338,0.93535952];[[2.40085162, -5.73790157], [-4.90205829, 6.28332997], [0.60000052, 6.50000041], [-5.49999957, -5.89999978], [-6.69999959, 6.2000004], [-6.79999959, 2.70000035], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0]];[2.40085162,-5.73790157]
