[1.20411648,-0.36752038];[4.25190810e-04,8.89406963e-05,-1.75206487e-01,9.84531617e-01];[[0.24828572, -0.35283605], [4.10000006, -1.29999999], [2.17899728, -1.0054574], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[45861.2022126897], [75.28064291572102], [83.26917664937528], [0], [0], [0], [0], [0], [0], [0]];[0.24828572,-0.35283605]
[0.08423576,-0.33470355];[-1.11594009e-03,5.56903982e-04,9.93062602e-01,-1.17580258e-01];[[4.3100115, -1.37015973], [0.43107952, -5.01112739], [-0.83333328, -1.33333334], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.509808228517933], [12.509808228517933], [648.5812526048999], [0], [0], [0], [0], [0], [0], [0]];[-0.83333328,-1.33333334]
[-0.66632998,-1.13353991];[-0.00157604,0.00189514,0.91035467,-0.4138216];[[-0.74300508, -0.56066345], [4.46757601, -1.35011466], [0.39567134, -4.84056848], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1022.5812526165465], [12.05495505258489], [12.054955052584894], [0], [0], [0], [0], [0], [0], [0]];[-0.74300508,-0.56066345]
[-0.75558839,-0.3537459];[0.00119064,0.00372003,0.82082838,0.57116155];[[5.06210423, 0.90410954], [4.30000034, -1.39999972], [0.50000028, -4.99999977], [-0.89999974, -0.0999997], [-1.39445961, -3.06811047], [-2.89999977, -3.59999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.218215058030054], [1120.037100916095], [11.002483871127872], [217.85472614536656], [11.002483871127856], [11.002483871127875], [0], [0], [0], [0]];[4.30000034,-1.39999972]
[3.34278133,-0.58490755];[7.45359467e-04,1.07981132e-03,-2.46840144e-01,9.69055320e-01];[[5.24380134, -2.5056393], [0.4499999, 2.50000034], [-2.25000014, -3.49999975], [5.49999997, 1.70000033], [0.3999999, -4.49999976], [-3.10000015, -0.3999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.945925558473464], [14.888754661102421], [0.0], [14.888754661102421], [14.888754661102421], [20.68459247977626], [0], [0], [0], [0]];[-3.10000015,-0.3999997]
[-2.84681729,-0.39648417];[-1.28691492e-04,3.33871408e-04,9.99999546e-01,-8.92142327e-04];[[0.22367101, 1.92049753], [0.52785102, -5.5166595], [-2.25000013, -3.49999975], [5.49999999, 1.60000033], [4.19999997, -3.79999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.027874801941751], [13.325099943915125], [0.0], [340.07998411720774], [13.325099943915125], [0], [0], [0], [0], [0]];[5.49999999,1.60000033]
[5.4515742,1.53174676];[2.14660197e-03,7.41531132e-04,2.36405109e-01,9.71651922e-01];[[5.44184221, -4.56959014], [0.45000022, 2.50000034], [2.48554325, -2.30393481], [0.50000022, -4.99999977], [-7.2999999, 0.60000031], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18.603583568677244], [59.07525517033367], [19.349713667690654], [17.90470127178308], [141.5898184716444], [0], [0], [0], [0], [0]];[-7.2999999,0.60000031]
[-7.60619653,0.55745958];[-9.59150671e-04,-7.64152275e-04,9.95954107e-01,8.98549743e-02];[[-3.85324639, -4.01619428], [0.26419672, 2.10768909], [-4.84999975, -2.64999974], [5.5000004, -4.79999977], [0.50000032, -4.99999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18.268317688360725], [17.685181841701446], [18.139540913167526], [50.17695279800584], [26.645486843748067], [0], [0], [0], [0], [0]];[5.5000004,-4.79999977]
[5.51206472,-4.68533039];[-0.00462378,0.00697405,-0.30570341,0.95209003];[[0.45000032, 2.50000034], [-5.69101017, -5.0545739], [3.90000038, -5.69999978], [2.40000035, -5.89999979], [0.79445422, -6.49570084], [0.50000032, -4.99999977], [-1.4999997, -3.99999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1288.6219347967815], [1178.6521889472165], [1249.2503069350003], [1225.2305573896892], [1224.268254299514], [1224.2682542995074], [1178.489368919608], [0], [0], [0]];[0.45000032,2.50000034]
[0.18034277,1.36108131];[-2.09361672e-04,-2.54183383e-02,3.51290368e-01,9.35921445e-01];[[5.8000006, -3.29999952], [4.38412094, -4.54803181], [2.20000054, -5.69999955], [-0.09999949, -3.99999953], [-4.49999956, -8.29999959], [-6.49999959, -0.39999947], [-7.16210985, -4.97077322], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.185559351943243], [1.2807920527419776], [1.186464166848999], [1.207957949416692], [2.2733842534578526], [1.1419414168967272], [1.1246662047895684], [0], [0], [0]];[-4.49999956,-8.29999959]
