[4.19641495,-1.45283831];[7.78276118e-04,6.19920115e-04,-3.24767332e-01,9.45793424e-01];[[3.55993046, -3.31666706], [4.90000007, 1.90000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.979594276426255], [11.733830847894724], [0], [0], [0], [0], [0], [0], [0], [0]];[3.55993046,-3.31666706]
[3.49309399,-3.57073032];[-2.24417655e-04,9.94724457e-04,8.74926998e-01,-4.84253771e-01];[[0.89631021, -3.97006227], [6.50000013, -5.49999987], [4.90000011, 1.90000024], [1.8814255, -6.10860062], [-0.510306, -0.3064537], [-1.29999999, -2.19999982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.998499060088818], [11.086022226047094], [11.086022226047078], [11.086022226047113], [221.90065622011366], [69.34203120306587], [0], [0], [0], [0]];[-0.510306,-0.3064537]
[-0.36605683,-0.49076583];[4.39209446e-04,4.09600311e-04,9.00045027e-01,4.35796499e-01];[[6.70881921, -5.62220896], [5.20000009, 2.00000024], [1.58591092, -6.03025246], [0.70000002, -3.59999984], [-0.09999999, 0.90000023], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.441866222750269], [11.03548522042655], [11.03548522042655], [11.694189210271855], [12.42800080329721], [0], [0], [0], [0], [0]];[-0.09999999,0.90000023]
[-0.1611913,0.66331454];[4.06295665e-04,1.73614328e-03,6.12964492e-01,7.90108445e-01];[[6.35939763, -5.19165409], [5.19999995, 2.00000024], [1.58813059, -6.04677153], [0.69999988, -3.59999984], [0.49999988, 3.00000026], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.515985297024912], [11.087969399323981], [21.232239888200464], [11.719759824131533], [12.420121482214409], [0], [0], [0], [0], [0]];[1.58813059,-6.04677153]
[1.56508573,-6.30553734];[-0.00364588,-0.00972272,-0.6612478,0.75009567];[[1.4669925, 2.65255239], [6.49999997, -5.39999987], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[62.57108676505932], [9.681363249740382], [0], [0], [0], [0], [0], [0], [0], [0]];[1.4669925,2.65255239]
[0.23204265,1.53997314];[-1.42749102e-05,1.66737934e-03,4.60364385e-01,8.87728482e-01];[[-1.29941134, 5.9284133], [6.40000006, -5.39999987], [5.30000005, 2.00000024], [2.70960021, 3.23480034], [2.3, 1.70000024], [-1.80000006, -5.89999987], [-2.20000007, -3.09999983], [-3.60000009, -5.39999987], [0.0, 0.0], [0.0, 0.0]];[[11.50868491891565], [10.75778070749061], [11.508684918915645], [11.121629963177158], [11.920989894711408], [11.121629963177178], [14.752747071080247], [11.121629963177167], [0], [0]];[-2.20000007,-3.09999983]
[-2.10082902,-2.87585946];[2.22471710e-03,-3.81915289e-04,-8.43112848e-01,5.37731906e-01];[[6.65828048, -5.62710512], [-1.75571785, 5.11030755], [2.70871472, 3.17033362], [2.19999978, 1.70000024], [1.69999977, 5.10000029], [-3.40000031, -3.39999984], [-3.50000031, -5.19999986], [-5.40000034, 2.50000025], [0.0, 0.0], [0.0, 0.0]];[[11.979764412478323], [12.321046778593843], [27.840654249529514], [18.16618081592552], [11.979764412478305], [13.05856360297922], [13.058563602979213], [12.321046778593827], [0], [0]];[2.70871472,3.17033362]
[-1.33584636,4.58917569];[-0.00230085,0.00170508,-0.00625716,0.99997633];[[3.52609515, 2.50185204], [-3.55559357, -5.63402241], [6.39999984, -5.39999987], [-4.30000032, -2.19999982], [-4.90000033, 8.10000033], [-6.50000035, 1.40000023], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[161.47759449063332], [143.61233788927112], [208.07955541236143], [143.6557243547931], [132.9247806415888], [139.5368623115705], [0], [0], [0], [0]];[6.39999984,-5.39999987]
[6.51593538,-4.90274751];[-0.00382733,-0.0053184,0.27103854,0.96254619];[[3.76802472, 4.38613271], [-4.64200377, -2.18280142], [-5.79999957, 0.60000051], [-7.39999959, 1.80000053], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0]];[3.76802472,4.38613271]
[3.71285486,4.43350514];[-0.00595214,0.00340363,0.72319385,0.69061107];[[-2.09999968, -4.19999976], [4.2706275, -6.06591845], [2.10000038, 7.60000042], [-1.19999967, 8.10000042], [-8.99999979, 7.30000041], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0]];[-2.09999968,-4.19999976]
[-2.12353029,-1.41346854];[-0.00368079,-0.00826356,-0.72733638,0.68622151];[[-5.36204885, -3.4448104], [-0.90867131, 7.95279696], [1.50000037, 8.30000043], [-8.99999979, 7.30000041], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0]];[-5.36204885,-3.4448104]
[-5.18324975,-3.28207913];[-0.00248269,0.00715965,0.94022969,-0.34045665];[[1.50000037, 8.30000043], [-1.19999967, 8.10000042], [-5.39999973, -1.39999972], [-7.79999977, 1.30000032], [-8.99999979, 7.30000041], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0]];[1.50000037,8.30000043]
[1.40449491,8.07179886];[-0.00892973,0.01113646,0.57380109,0.81887028];[[-6.75000032, -0.59999971], [0.29999979, 8.30000043], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[-6.75000032,-0.59999971]
