[3.03921824,-0.16187504];[1.71479959e-04,9.09221449e-04,-7.72586614e-02,9.97010650e-01];[[5.40000008, 1.30000006], [4.80000007, -2.19999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[20.711336254518223], [20.704408701443857], [0], [0], [0], [0], [0], [0], [0], [0]];[5.40000008,1.30000006]
[5.18791113,1.15834767];[7.17108390e-04,4.65656698e-04,2.82463671e-01,9.59277611e-01];[[3.60408842, -2.42455713], [4.60000007, 2.20000031], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[54.205555515273154], [60.1861580471087], [0], [0], [0], [0], [0], [0], [0], [0]];[4.60000007,2.20000031]
[4.70826554,1.95333882];[0.00199664,-0.00182511,0.8231089,0.56787713];[[4.39994577, -2.54349001], [3.10000005, 1.90000031], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.20909697304971], [15.284515606957509], [0], [0], [0], [0], [0], [0], [0], [0]];[3.10000005,1.90000031]
[3.35325885,1.91365171];[-4.63743144e-04,-6.19319462e-03,9.99519829e-01,-3.03569757e-02];[[6.76115274, -3.30294776], [3.80000009, -2.49999976], [-0.00560126, -0.19663861], [-0.09999997, 1.4000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.08820002001181046], [0.09268970129897319], [1.0619771986490953], [0.6151224261285648], [0], [0], [0], [0], [0], [0]];[-0.00560126,-0.19663861]
[-0.25745584,-0.23801373];[-5.57145506e-04,-6.24801374e-03,9.83180457e-01,-1.82529023e-01];[[6.70613956, -3.31494045], [5.00000026, -3.20000003], [0.50000019, -4.10000004], [-0.09999982, 1.90000005], [-1.99999985, 0.20000002], [-3.39999987, -3.40000003], [-4.89999989, 2.40000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.07688266507780145], [0.07619565794755917], [0.08004193811844812], [0.08418483524816515], [0.24542236623477395], [0.0801165068352293], [0.07635983239728567], [0], [0], [0]];[-1.99999985,0.20000002]
[-1.74908037,0.1290591];[-9.02446059e-04,-8.10232725e-03,9.90373967e-01,1.38177245e-01];[[-3.40390462, -3.16309775], [-4.50523218, 2.48599289], [5.00000035, -3.20000003], [3.24042296, -2.60681343], [0.04215259, -4.83851957], [-0.09999972, 1.90000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.07678287479770785], [0.07658710197563538], [0.0733476398216533], [0.07394968571674551], [0.0773533495033185], [0.0805977509804838], [0], [0], [0], [0]];[-0.09999972,1.90000005]
[-0.24460664,1.68873312];[0.00594621,-0.0028409,0.49603755,0.86827606];[[-3.46140576, -3.22164272], [5.00000036, -3.20000003], [0.65473771, -5.64315033], [-3.19999976, -0.09999998], [-4.89999979, 2.40000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.06750803821622257], [0.06485655297084725], [0.06586299418613137], [0.06798687068933376], [0.06747299076905587], [0], [0], [0], [0], [0]];[-3.19999976,-0.09999998]
[-3.03240501,-0.04758916];[-0.00114286,-0.00754696,0.98885118,-0.14871139];[[-3.77382049, -3.61796162], [5.90724112, -3.19041943], [-4.99999978, 2.50000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[278.34935988302414], [262.26933454882584], [278.8079660214396], [0], [0], [0], [0], [0], [0], [0]];[-4.99999978,2.50000006]
[-5.04488021,2.55870791];[0.00466442,-0.00476203,0.94336765,0.33168213];[[-5.96956817, 6.25345884], [-2.59999954, 5.5000001], [-4.29999956, -2.30000001], [-5.99999959, -1.6], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [289.12313971712206], [495.87385074544676], [289.68158921613866], [0], [0], [0], [0], [0], [0]];[-4.29999956,-2.30000001]
[-4.34913592,-2.54574728];[0.0028937,0.00134025,-0.70556191,0.7086411];[[-1.65000028, -4.45000005], [-3.3131857, 5.80005517], [4.89999982, -3.20000003], [3.18156171, -2.57642627], [-4.10000032, -5.60000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[321.72687277937615], [446.5936303347413], [304.6008784823702], [313.78364418635465], [321.7728117193689], [0], [0], [0], [0], [0]];[-3.3131857,5.80005517]
[-3.32715016,5.87970244];[0.00327625,-0.00564251,0.56945917,0.82199372];[[4.79890853, -3.3833996], [0.20000051, -3.90000004], [-1.19999951, 5.6000001], [-3.89999955, -5.20000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.151636825942829], [15.4544299457063], [0.0], [15.151636825942836], [0], [0], [0], [0], [0], [0]];[0.20000051,-3.90000004]
[0.14429551,-3.66776753];[0.00511319,0.00990754,-0.6362808,0.77137698];[[4.70000058, -3.19999974], [2.30000055, 5.70000039], [-3.79999955, -4.69999976], [-4.29999955, -6.19999979], [-1.88352799, -4.80685091], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[16.315859732960664], [12.722808468049191], [21.012478720155524], [16.023384137112878], [16.315859732960647], [0], [0], [0], [0], [0]];[-3.79999955,-4.69999976]
[-4.02458345,-4.83354478];[0.01221791,-0.00480347,0.98382245,-0.17866461];[[0.51489782, 6.82411528], [6.2000006, -4.09999976], [2.30000055, 5.70000039], [-1.99999952, -5.59999978], [-7.3999996, -4.79999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [14.739395284157286], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0]];[6.2000006,-4.09999976]
[6.44029335,-4.18338201];[0.0107963,-0.00901863,-0.05597304,0.99833317];[[-5.37218884, -5.66989294], [2.30000055, 5.7000001], [-7.3999996, -4.80000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.561188438020414], [10.112709249916904], [11.426203472235906], [0], [0], [0], [0], [0], [0], [0]];[-5.37218884,-5.66989294]
[-5.14298838,-5.67229466];[-0.00544576,-0.01104187,0.99959268,0.02574666];[[2.61842966, 3.61336517], [2.30000055, 5.7000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.538118084843012], [10.538118084843003], [0], [0], [0], [0], [0], [0], [0], [0]];[2.61842966,3.61336517]
