[4.19590794,-1.38735355];[1.27395475e-03,2.00099222e-04,-3.03023178e-01,9.52982306e-01];[[2.57400438, -3.0121849], [5.40000008, 1.79999989], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[42.512496738763126], [38.554548436025], [0], [0], [0], [0], [0], [0], [0], [0]];[2.57400438,-3.0121849]
[2.76359195,-2.83459749];[-2.87319522e-04,7.60645732e-04,9.35780044e-01,-3.52583403e-01];[[6.81022892, -6.1586706], [5.40000008, 1.90000034], [0.30000001, -3.89999975], [0.12637785, 0.40203372], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[16.629570914731932], [16.629570914731918], [18.047582717602914], [300.56676257234534], [0], [0], [0], [0], [0], [0]];[0.12637785,0.40203372]
[0.49113844,0.17119881];[-0.00308117,0.00169589,0.98339297,0.18145491];[[5.4000001, 1.90000034], [0.60000003, -5.59999977], [-0.39999999, -0.8999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.970168816470467], [11.970168816470473], [12.728718604813348], [0], [0], [0], [0], [0], [0], [0]];[-0.39999999,-0.8999997]
[-0.22693201,-0.69593708];[-0.00154021,0.00287051,0.90663311,-0.42190734];[[0.59835877, -5.52074235], [-0.30052022, -0.35698186], [5.40000007, 1.90000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.970168816470467], [145.8374693485269], [11.289647919387537], [0], [0], [0], [0], [0], [0], [0]];[-0.30052022,-0.35698186]
[-0.34445141,-0.12924878];[-4.16957200e-03,8.28009426e-04,8.50216198e-01,5.26416500e-01];[[5.60602182, 2.00885582], [0.69664752, -5.7614805], [-0.70545506, -1.6838583], [-3.25000016, -0.29999969], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[113.24525816733407], [11.862672499353963], [12.592932062542605], [12.592932062542618], [0], [0], [0], [0], [0], [0]];[5.60602182,2.00885582]
[5.44303494,1.90534077];[0.00407534,0.00150986,0.28992593,0.95703921];[[0.397009, -4.67706223], [-3.30000015, -0.19999969], [6.29999999, -5.49999977], [4.49999997, 2.20000034], [-0.90000011, -1.09999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.4520106704695316], [5.062029628529211], [0.45278474636647864], [6.3560464760002064], [17.271438729711072], [0], [0], [0], [0], [0]];[-0.90000011,-1.09999971]
[-0.67894576,-1.01019272];[8.62882097e-04,-3.29292636e-04,9.78964293e-01,-2.04029529e-01];[[0.54766674, -5.58476427], [-0.90000011, -1.69999952], [-3.60000015, -0.59999951], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.1726215700822005], [3.2889664668143195], [3.1707136688409663], [0], [0], [0], [0], [0], [0], [0]];[-0.90000011,-1.69999952]
[-0.8010322,-1.46414101];[0.00096508,0.00120666,-0.84086313,0.5412456];[[0.59391694, -5.85257039], [3.79977892, 2.02839631], [-0.90000011, -1.69999952], [-3.60000015, -0.59999951], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.1315509184628425], [3.0224760023140624], [0.0], [3.1296502422285255], [0], [0], [0], [0], [0], [0]];[0.59391694,-5.85257039]
[0.52591827,-5.61197812];[0.00177361,0.00562111,-0.60033539,0.79972662];[[-2.8022379, -0.08340766], [-3.40000015, -3.89999955], [-0.00379593, 0.88664508], [-1.50000012, -3.59999955], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.751797700174907], [0.0], [14.533488809597946], [2.752754671974319], [0], [0], [0], [0], [0], [0]];[-0.00379593,0.88664508]
[0.00912684,0.64782936];[0.00403158,-0.00096982,0.71313744,0.70101199];[[-3.28542333, -0.31067841], [-3.40000015, -3.89999955], [-1.50000012, -3.59999955], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.468530387811818], [0.0], [2.468008522323033], [0], [0], [0], [0], [0], [0], [0]];[-3.28542333,-0.31067841]
[-3.03979691,-0.24960837];[-0.0025638,-0.00989796,0.9944827,-0.10440126];[[-3.35991988, -3.87638524], [3.81206611, 2.05205364], [0.30000001, 3.10000055], [-1.40000002, 1.80000053], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.3190145293758206], [2.259199714783416], [3.989470750733878], [8.742676013390778], [0], [0], [0], [0], [0], [0]];[-1.40000002,1.80000053]
[-1.47031643,1.74552759];[0.01133773,-0.00420345,0.32455033,0.94579113];[[-0.70442174, 4.87597393], [1.84999977, 2.05000053], [-3.40000031, -3.89999955], [4.49999981, 2.20000054], [-1.50000028, -3.59999955], [-6.80000036, 0.50000051], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.9273879920670305], [1.925918602445159], [0.0], [24.452329539654247], [1.8831841776538265], [1.9251764067169177], [0], [0], [0], [0]];[4.49999981,2.20000054]
[4.03389177,2.04593026];[0.00271207,0.00137875,0.28354379,0.95895446];[[-3.80678545, -3.91414198], [-1.40000028, 1.80000053], [-1.50000028, -3.59999955], [-6.80000036, 0.50000051], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[92.28225846843488], [293.49739519821475], [235.9131653261013], [234.12126555704205], [0], [0], [0], [0], [0], [0]];[-1.40000028,1.80000053]
[5.27127095,1.91390207];[0.00229402,0.00212916,0.42772378,0.90390407];[[-3.40000031, -3.84999975], [6.19999984, -5.49999977], [-1.50000028, -3.49999974], [-1.70381212, 2.42199111], [-7.20000036, 0.30000031], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [103.53064120538272], [101.37100430773864], [103.54777910893799], [312.93548108904747], [0], [0], [0], [0], [0]];[-7.20000036,0.30000031]
[-6.9880587,0.44920852];[0.01866717,-0.00139633,0.99247938,-0.12097219];[[-3.82888319, -3.60632597], [6.69075943, -5.98739541], [-1.50000028, -3.49999974], [-6.70000036, 4.40000038], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.720680741866413], [5.327773368454808], [5.619133218373089], [5.720525761182856], [0], [0], [0], [0], [0], [0]];[-3.82888319,-3.60632597]
[-3.9917875,-3.43925336];[-0.00176288,0.0044714,-0.37094027,0.92864428];[[6.19999984, -5.49999977], [-1.70000028, -5.89999978], [-6.70000036, 4.40000038], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.272930955456551], [5.456791571492712], [5.2736787229946245], [0], [0], [0], [0], [0], [0], [0]];[-1.70000028,-5.89999978]
[-1.62784582,-5.93957718];[-0.0035313,0.00494546,-0.50399746,0.86368376];[[6.70648624, -5.98099626], [7.81080818, 2.60845923], [-6.70000036, 4.40000038], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.224175511008013], [10.606828995948264], [5.1386127509754145], [0], [0], [0], [0], [0], [0], [0]];[7.81080818,2.60845923]
