[0.17539113,0.18894668];[-1.21528106e-03,8.97907003e-04,2.73101371e-01,9.61984072e-01];[[0.62421055, -0.01044298], [3.90000006, -0.19999996], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1115.3726380637743], [12.394952818004477], [0], [0], [0], [0], [0], [0], [0], [0]];[0.62421055,-0.01044298]
[1.14024683,-0.17710591];[7.27968817e-04,2.95884544e-04,-1.21886107e-01,9.92543780e-01];[[4.40937427, -0.97717306], [0.71980649, -0.51512772], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[537.0711435125537], [237805.9970464991], [0], [0], [0], [0], [0], [0], [0], [0]];[0.71980649,-0.51512772]
[0.59756594,-0.59506926];[5.96176452e-04,1.74592934e-04,8.97914701e-01,-4.40169062e-01];[[0.8502235, -1.12701755], [5.29019711, -1.53298517], [0.80000002, -3.89999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10071.216128671382], [10.123958288812545], [10.123958288812545], [0], [0], [0], [0], [0], [0], [0]];[0.8502235,-1.12701755]
[0.67998569,-0.91251073];[-3.70585397e-04,1.72236931e-04,-4.31791043e-01,9.01973574e-01];[[-3.02347434, -3.25684262], [0.78296217, -4.35432327], [6.39591026, -1.70784545], [4.79999996, -1.49999973], [0.08889027, 0.3219665], [-0.41739643, -1.71125662], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.095691129032017], [10.095691129032014], [9.250614139195843], [1977.4053074884691], [3197.308139866384], [1733.0210146698162], [0], [0], [0], [0]];[0.08889027,0.3219665]
[0.00714446,0.47900106];[-6.40212583e-04,8.98771879e-04,7.74290884e-01,6.32828898e-01];[[-1.00753717, -0.74235499], [-4.05769926, -4.25302348], [6.42195702, -1.75400978], [4.62388134, 1.01411963], [4.19999995, -1.39999973], [0.7999999, 2.10000033], [0.59999989, -3.89999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[71835.29334100342], [441.1301603096197], [435.81895861497037], [464.1843536870603], [48256.576411896465], [494.9223651175075], [464.7199325074118], [0], [0], [0]];[-1.00753717,-0.74235499]
[-0.85663297,-0.62237446];[5.38477231e-05,6.66321537e-04,9.49338317e-01,-3.14255175e-01];[[-1.06041684, -1.21392793], [4.76700832, -1.47653289], [6.65436134, 1.30518015], [1.05543861, 2.68278384], [4.64974928, 1.00248265], [-3.19999977, -0.29999971], [-3.49999978, -3.79999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[37624.545578156045], [9457.93998054657], [406.7379382635831], [20732.58817310245], [406.37734507864775], [456.27692569591756], [427.9869607006312], [0], [0], [0]];[-1.06041684,-1.21392793]
[-1.16127052,-1.46859138];[3.77271418e-04,-1.06076744e-03,-7.41538628e-01,6.70909235e-01];[[-1.38078397, -1.33464545], [6.26802479, -1.37272828], [1.00487698, 2.68533932], [-3.35821097, -3.52623107], [0.76186738, -4.55300291], [6.30000037, 1.20000031], [4.20000034, -1.39999973], [2.40000031, -3.59999976], [-1.49999975, 1.80000032], [0.0, 0.0]];[[29.966785509330336], [0.16087143040398294], [232.6508934179299], [0.17217508096379752], [0.17258501807433896], [160.15854430887384], [136.6204485982813], [0.1714277955186568], [371.1504691430816], [0]];[-1.49999975,1.80000032]
[-1.42557828,2.05202078];[-0.00429506,0.00463319,0.67931105,0.73382326];[[-1.23440295, 5.6879199], [6.66301235, 1.30186887], [4.62445142, -1.4572193], [-3.92346085, -4.1385987], [2.30000031, -3.69999976], [1.8000003, 4.80000037], [-1.39999975, -3.99999976], [-1.89999976, -0.19999971], [-2.09999976, -1.99999973], [-3.19999977, 1.70000032]];[[0.14850624794231612], [8.389707726286817], [35.62391907635533], [0.14262637825912702], [20.867463118592426], [0.14187025336371495], [0.14157398245757136], [25.071445216145257], [0.14813113796014837], [0.15636541698135933]];[4.62445142,-1.4572193]
[4.20775226,-1.11151126];[1.92426861e-04,2.35936086e-03,-4.04340311e-01,9.14605550e-01];[[-3.91951843, -4.21278287], [4.00000005, -3.54999976], [2.20000002, -3.54999976], [0.74317406, -4.47281892], [-1.29652574, -3.81562996], [-1.30000003, 5.50000038], [-1.90000004, -0.19999971], [-4.20000007, 1.90000032], [0.0, 0.0], [0.0, 0.0]];[[655.3037021428412], [27.766110553082836], [26.597561932736152], [26.59756193273609], [25.506241681197622], [415.1089661369742], [233.38287335044805], [311.9649963228825], [0], [0]];[-3.91951843,-4.21278287]
[-3.70872558,-4.08706108];[0.00647659,-0.0040772,0.95376711,-0.30044924];[[-1.44448464, 6.10122676], [5.9000003, 2.10000033], [1.50000024, 5.00000038], [0.60000022, -3.89999976], [-1.89999982, -0.1999997], [-4.19999985, 1.90000033], [-4.29999985, -2.09999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[21.066077399977093], [21.066077399977058], [126.58703482358992], [22.52006674071381], [22.52006674071385], [21.773057559076367], [23.31014120106732], [0], [0], [0]];[1.50000024,5.00000038]
[-0.28429173,6.74814707];[-1.64312149e-03,-7.22057555e-04,-3.67495991e-01,9.30023365e-01];[[-4.44230516, -5.80998653], [-6.34999988, -0.8499998], [0.60000022, -3.89999985], [-1.29999981, -4.99999986], [-3.19999983, -4.69999986], [-5.69999987, 6.60000031], [-7.2999999, -3.79999984], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[39.67900241198338], [40.134793891573736], [40.13479389157387], [94.77456700597415], [90.73845233728915], [41.0709347836076], [39.67900241198351], [0], [0], [0]];[-1.29999981,-4.99999986]
[-1.46036766,-4.80750354];[-0.00260497,-0.00079506,-0.66710481,0.7449589];[[0.74635498, -4.53882677], [-6.34999988, -0.8499997], [7.14168406, 2.65070772], [5.00000029, -5.59999977], [-4.39999985, -5.89999978], [-5.69999987, 6.60000041], [-7.2999999, -3.79999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0]];[0.74635498,-4.53882677]
