[3.25941752,-0.45586183];[1.82478016e-03,4.77754887e-04,-1.04223479e-01,9.94552115e-01];[[5.30000008, 1.60000006], [3.90000006, -1.69999999], [0.50000001, -0.59999997], [6.10000009, -2.49999994], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[267.3191183555413], [267.4746735223203], [9050.119452055606], [244.76601581875], [0], [0], [0], [0], [0], [0]];[0.50000001,-0.59999997]
[0.33900742,-0.55568855];[-2.87296231e-03,-2.11258897e-04,9.94213102e-01,-1.07387242e-01];[[2.77430707, -2.56887573], [5.30000007, 1.9000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[180.4723664003168], [167.4949225663152], [0], [0], [0], [0], [0], [0], [0], [0]];[2.77430707,-2.56887573]
[2.58150154,-2.43028916];[-0.00617403,-0.00477195,-0.28685672,0.95794172];[[0.1848633, -1.91044868], [-0.48401534, 1.20596423], [5.40000024, 1.90000034], [3.70000022, -5.59999977], [0.70000017, -5.39999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[203.27883377987996], [185.5477492187852], [15.325546133492514], [15.307235686293277], [15.36366877081049], [0], [0], [0], [0], [0]];[0.1848633,-1.91044868]
[-0.09536572,-1.90797626];[-0.00296405,0.00497944,0.98133485,0.19221948];[[6.08850844, -5.2061351], [-1.16884443, 1.73023924], [5.40000024, 1.89999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.1171644059588663], [2.202279117339798], [44.708909920250505], [0], [0], [0], [0], [0], [0], [0]];[5.40000024,1.89999977]
[5.26277083,1.75682894];[-0.0109947,0.00106169,0.40796878,0.91292906];[[0.57014329, -4.22412264], [4.68751847, 2.16717099], [6.11415117, -5.25586179], [-1.81268632, 2.25176084], [-0.09999984, 1.50000004], [-0.99999985, -1.4], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.8878820253574735], [2.010988911729246], [1.8877053157606225], [6.501852937994609], [6.830440156645635], [7.05972872732216], [0], [0], [0], [0]];[-0.99999985,-1.4]
[-0.78004743,-1.27194583];[0.00594853,0.00622293,0.95651682,-0.2915501];[[6.20000025, -5.60000006], [-0.19999984, 1.50000004], [-0.99999985, -1.4], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[30.274891545469913], [31.878840968205715], [31.91247031181818], [0], [0], [0], [0], [0], [0], [0]];[-0.99999985,-1.4]
[-0.77975152,-1.27550707];[0.00596135,0.00618278,0.95679121,-0.29064895];[[-0.19992958, 1.97898104], [-1.4294527, -1.70622416], [-1.8097589, 2.17090237], [6.20000025, -5.60000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[31.041126907590627], [31.90681905822125], [31.057061545285357], [30.274891545469966], [0], [0], [0], [0], [0], [0]];[-1.4294527,-1.70622416]
[-1.22541111,-1.58613809];[0.00157534,0.00888492,0.95264836,-0.30394024];[[6.54150532, -5.94809922], [-0.19999984, 1.50000004], [-0.99999985, -1.4], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[29.147831796864413], [109.99417877308831], [31.391233234071183], [0], [0], [0], [0], [0], [0], [0]];[-0.19999984,1.50000004]
[-0.2585439,1.25739205];[-0.00727213,0.00522904,0.66566598,0.74619606];[[6.20000026, -5.60000006], [1.50000019, 2.20000005], [0.9924137, -6.57847977], [-2.49999987, -3.10000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[28.387696700838525], [30.449351599070543], [29.029969519516985], [29.739845799020262], [0], [0], [0], [0], [0], [0]];[1.50000019,2.20000005]
[1.27267651,2.06370885];[-0.00358807,0.00180704,0.27291407,0.96203002];[[7.37037873, 2.61048198], [0.50000018, -4.20000004], [6.20000026, -5.60000006], [-1.80044007, 2.23297453], [-2.49999987, -3.10000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[28.70909738207471], [29.341263151943203], [28.709762333289902], [29.98795055087905], [29.34812781497964], [0], [0], [0], [0], [0]];[-1.80044007,2.23297453]
[-1.55303835,2.20087249];[-6.03672355e-04,2.64506478e-03,9.96793553e-01,7.99703052e-02];[[6.20000001, -5.60000006], [0.69999993, 6.40000011], [-0.60000009, 5.4000001], [-2.50000012, -3.10000003], [-4.70000015, 2.70000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[72.31614337977035], [30.91143912199771], [61.36123078033961], [77.1374388364898], [30.929439909515576], [0], [0], [0], [0], [0]];[-2.50000012,-3.10000003]
