[0.37922626,-0.29627948];[9.70205710e-05,-4.61252262e-04,-4.40005760e-01,8.97994836e-01];[[6.10000009, -1.24999999], [4.07195056, -1.20762046], [2.15181851, -1.00815666], [0.30000001, -0.59999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[165.33249675979252], [182.91304592954071], [199.71945855509665], [307963.1420314894], [0], [0], [0], [0], [0], [0]];[0.30000001,-0.59999998]
[0.26811141,-0.63563033];[1.59458038e-04,-1.28293680e-03,-7.13048038e-01,7.01113987e-01];[[6.06900122, -0.8634105], [0.59555816, -0.75135148], [4.20000006, -1.29999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[165.5284475579721], [497.33488909160246], [179.34798251182323], [0], [0], [0], [0], [0], [0], [0]];[0.59555816,-0.75135148]
[0.72051247,-0.77467151];[2.99810448e-06,4.31592618e-04,-2.79734023e-01,9.60077444e-01];[[6.52063508, -1.24111301], [4.39763296, -1.30246034], [0.68564847, -1.70015624], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.7844346237415165], [1.977009786008746], [337386.8486157229], [0], [0], [0], [0], [0], [0], [0]];[0.68564847,-1.70015624]
[0.65600145,-1.91895889];[0.00352683,-0.01222677,-0.62999887,0.77649177];[[-2.64832687, -2.7873402], [6.16696519, -1.06530488], [0.10942524, 1.37235039], [4.20000034, -1.3000001], [1.9000003, 1.89999994], [0.50000028, -3.90000014], [-1.39999975, -0.30000009], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.1894255350680905], [1.1293888140595068], [842.326372927411], [1.1970350379983994], [1.192911127591719], [3.0341860419639386], [1.268325100231832], [0], [0], [0]];[0.10942524,1.37235039]
[0.13920119,1.12428564];[-0.0066107,-0.00127555,0.72260468,0.69122872];[[-2.72134711, -3.03586678], [6.20000037, -1.40000011], [4.20000034, -1.3000001], [1.8000003, 1.89999994], [2.7269125e-07, 1.39999994], [-1.39999975, -0.30000009], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0]];[-2.72134711,-3.03586678]
[-2.55523279,-2.83470359];[-7.71092807e-04,1.53252610e-03,9.12722396e-01,-4.08576663e-01];[[6.16944219, -1.01048093], [-3.46523813, -3.53013496], [4.20000034, -1.29999971], [0.70000028, 3.00000035], [0.50000028, -3.89999975], [-1.29999975, -0.19999969], [-1.59999975, 1.50000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0]];[6.16944219,-1.01048093]
[6.17531698,-0.97808029];[0.00436115,0.0086702,-0.02277917,0.99969341];[[-1.95425325, 2.21672523], [1.05518676, -3.41428017], [-3.50000015, -3.69999984], [-5.00000017, -5.84999987], [4.19999996, -3.09999983], [0.79999991, 2.40000025], [-1.40000012, -0.29999979], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0]];[-1.95425325,2.21672523]
[-1.72555814,2.1041105];[0.00942289,-0.00244619,0.96867639,0.2481356];[[-3.69211282, -3.70981572], [-4.61642197, -5.56915758], [4.83273972, -3.35099205], [1.44999992, 2.15000025], [0.59469579, -3.92300116], [-2.40000014, -0.09999979], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0]];[-3.69211282,-3.70981572]
[-3.64707792,-3.68306679];[4.34115857e-04,3.00193688e-03,8.79052273e-01,-4.76715757e-01];[[-3.89999979, -5.2333332], [4.30000032, -3.09999983], [3.0000003, 2.50000025], [-2.09999977, -0.09999979], [-4.59999981, -2.14999982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0]];[-3.89999979,-5.2333332]
[-3.87291188,-4.97035199];[-5.56366149e-07,-2.20345814e-03,-7.40184635e-01,6.72400068e-01];[[-4.8610615, 2.29584165], [4.30000057, -3.10000012], [2.91343784, 3.29168916], [0.40000051, -3.60000013], [-3.59999955, -5.30000016], [-5.59999958, -5.90000017], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0]];[-4.8610615,2.29584165]
