[0.17262832,0.22968776];[-1.15770713e-03,8.68545224e-04,3.00926292e-01,9.53646306e-01];[[0.33180238, -0.08637939], [5.40000008, -0.19999996], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[373279.1831772412], [11.587615775948006], [0], [0], [0], [0], [0], [0], [0], [0]];[0.33180238,-0.08637939]
[0.38494915,-0.33305304];[8.11722580e-04,-1.14732335e-03,-4.58092873e-01,8.88903225e-01];[[1.96422235, -0.47248957], [5.40000008, -0.19999996], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[275.30462940678916], [258.5309225802972], [0], [0], [0], [0], [0], [0], [0], [0]];[1.96422235,-0.47248957]
[1.74029445,-0.42421193];[-6.02717205e-05,-1.78116124e-04,-1.71991371e-01,9.85098437e-01];[[4.1366755, -1.17065825], [2.05316782, -1.0057708], [0.30000001, -0.99999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.6051582709880705], [4.619179128866096], [4305.6923194867195], [0], [0], [0], [0], [0], [0], [0]];[0.30000001,-0.99999998]
[0.09657952,-1.03178161];[-0.00255388,0.00211137,0.95863784,-0.28460942];[[-0.80127871, -1.7270115], [4.10000007, -1.30000013], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4649.9047561167745], [12133.300937360507], [0], [0], [0], [0], [0], [0], [0], [0]];[4.10000007,-1.30000013]
[4.28711973,-1.26364185];[-5.97221165e-03,8.66138609e-04,-1.22828999e-01,9.92409501e-01];[[-0.89742674, -0.83092242], [5.31894895, 1.65713226], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[501.74413497568105], [12.701631450872247], [0], [0], [0], [0], [0], [0], [0], [0]];[-0.89742674,-0.83092242]
[-0.64531186,-0.80297748];[-0.00504241,0.00491339,0.99689453,-0.07843295];[[6.49733814, -4.16394607], [-0.99999991, -0.84999982], [-1.56268215, -3.32601428], [5.00000018, 2.00000022], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.264954793672231], [5.795614901195464], [5.795614901195469], [58.886144164353354], [0], [0], [0], [0], [0], [0]];[5.00000018,2.00000022]
[5.07876308,2.00990849];[1.49982326e-03,-5.55226938e-04,3.40470155e-01,9.40253957e-01];[[3.40896046, -3.05161298], [-1.60000002, -3.15000004], [3.50000006, 2.10000004], [0.40000001, -1.50000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.585818172289374], [19.540482067433885], [34.58428954914077], [103.91870156926967], [0], [0], [0], [0], [0], [0]];[0.40000001,-1.50000001]
[0.24850313,-1.67620604];[-0.01357336,-0.0097456,0.97291232,-0.23056971];[[3.61720458, -4.62575018], [-1.6919126, -4.06033409], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [12.322283276705198], [0], [0], [0], [0], [0], [0], [0], [0]];[-1.6919126,-4.06033409]
[-1.64166779,-3.95977188];[0.01534702,0.01308846,-0.84242565,0.53843491];[[2.91998033, 1.85193361], [4.10000033, -4.30000004], [-4.29999979, -3.20000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[29.419790103789467], [6.047528608328937], [0.0], [0], [0], [0], [0], [0], [0], [0]];[2.91998033,1.85193361]
[3.00343703,2.04014844];[0.0138085,-0.00904546,0.3516735,0.93597718];[[6.7000004, 2.75000035], [4.35000037, 2.55000035], [6.28834438, -5.31597328], [4.10000036, -4.29999975], [-0.30720758, 3.66851091], [-4.89999977, -1.39999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.2442563370121285], [6.274462406768403], [6.004476273212163], [6.030338000115203], [6.149852213320551], [6.004476273212164], [0], [0], [0], [0]];[4.35000037,2.55000035]
[6.46053071,2.83963718];[0.03847894,0.01926715,-0.17827569,0.98303912];[[3.947317, -4.6048074], [-4.89999977, -1.39999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.768296578551625], [6.525138158388932], [0], [0], [0], [0], [0], [0], [0], [0]];[3.947317,-4.6048074]
