[3.97204486,-0.26748027];[6.20324941e-04,7.38640659e-04,-8.55567111e-02,9.96332836e-01];[[5.25000008, -3.07500007], [5.40000008, 1.6], [2.36501503, -1.70472145], [0.40000001, -0.60000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[22.819202421108468], [25.449980531727252], [25.463116952531333], [3700.2402329666015], [0], [0], [0], [0], [0], [0]];[0.40000001,-0.60000003]
[0.28135894,-0.58459875];[8.22093954e-04,1.49069091e-03,9.89370982e-01,-1.45403437e-01];[[6.74232326, -4.66710674], [4.25519434, -5.27088839], [5.2000001, 1.80000002], [2.33102918, -3.71217299], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[20.509028240910876], [20.496124672907126], [21.992886328367174], [22.005048075413224], [0], [0], [0], [0], [0], [0]];[2.33102918,-3.71217299]
[2.22302915,-3.62599578];[-0.00275588,0.00431829,-0.37872354,0.92549567];[[3.44438771, -5.42666864], [5.19999996, 1.80000024], [-0.80000013, -6.29999988], [-1.20000014, -0.29999979], [-2.30000016, -3.39999984], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[138.73678155548146], [1137.7589021919061], [131.3474401155385], [537.0580406066041], [130.51478609032267], [0], [0], [0], [0], [0]];[5.19999996,1.80000024]
[5.05595021,1.59192198];[0.01129625,0.00305714,0.42244529,0.90631287];[[4.30057332, -5.17723773], [-2.37939249, -3.60428165], [3.19999993, 2.00000024], [2.2675879, -4.8048625], [-0.80000013, -6.29999988], [-1.20000014, -0.29999979], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[123.4613760595529], [525.6571951157106], [133.62544296504294], [123.59671504511383], [119.32276572029677], [1089.7796621553766], [0], [0], [0], [0]];[-1.20000014,-0.29999979]
[3.39163754,-0.09594855];[0.0032551,-0.00817462,0.97998628,0.19887043];[[4.27052257, -5.2086799], [-1.35038798, -0.26581546], [-2.24568258, -3.58480226], [-0.80000013, -6.29999988], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[115.00945314327791], [297.33230902417114], [111.2153493191243], [111.55670625864957], [0], [0], [0], [0], [0], [0]];[-1.35038798,-0.26581546]
[-1.29640383,-0.47344761];[0.00345657,-0.00443568,0.99564517,0.09305415];[[-2.70878351, -3.58943963], [-3.84999978, -0.8999998], [4.50000034, -5.59999987], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[116.32503711418308], [119.16416779867126], [112.94836043363624], [0], [0], [0], [0], [0], [0], [0]];[-3.84999978,-0.8999998]
[-3.61299021,-0.86719106];[0.00127173,-0.00476736,0.99576394,-0.0918141];[[-2.48898281, -3.80028409], [4.50000009, -5.59999987], [-0.79999999, -6.29999988], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[121.86270654273073], [115.30437220851893], [118.53647734587713], [0], [0], [0], [0], [0], [0], [0]];[-2.48898281,-3.80028409]
[-2.46485396,-3.93717359];[0.00495509,0.00648887,-0.47732804,0.87868724];[[-3.530683, -3.53441123], [-1.54999971, -5.70000034], [4.50000038, -5.60000034], [-6.09999978, -2.50000029], [-6.29999978, -0.10000026], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.21605327161003587], [0.21580787265188453], [0.20494205960700804], [0.21048016624837246], [0.2101087625469525], [0], [0], [0], [0], [0]];[-3.530683,-3.53441123]
[-3.50448952,-3.51034529];[0.00446679,-0.00458343,0.9980373,0.06229441];[[-3.20074462, -3.3323347], [-6.09999978, -2.49999953], [-6.29999978, -0.0999995], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.11476261426677954], [0.11473834763753009], [0.11159748938466534], [0], [0], [0], [0], [0], [0], [0]];[-3.20074462,-3.3323347]
[-2.92673856,-3.21907174];[0.00748901,0.00416739,0.32852764,0.94445548];[[-5.48104041, -6.13686471], [-4.47193101, -3.43053309], [-6.29999978, -0.15000026], [4.50000038, -5.60000034], [-1.49999971, -4.50000032], [-3.29999974, 0.89999976], [-6.89999979, -3.50000031], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.11063125883521385], [0.11362984610379287], [0.11024378307708647], [0.10763599765305606], [0.11332414707601078], [0.10731940682788525], [0.11053901665830677], [0], [0], [0]];[-4.47193101,-3.43053309]
[-4.25876546,-3.42344508];[0.003523,-0.00560325,0.99802741,0.06242982];[[-5.52325818, -6.18733491], [-4.79999976, -3.2500003], [-7.0499998, -3.80000031], [4.50000038, -5.60000034], [-1.49999971, -4.50000032], [-2.48527551, -6.93849516], [-3.29999974, 0.89999976], [-6.29999978, -0.20000026], [0.0, 0.0], [0.0, 0.0]];[[0.07061689615702], [0.07208687026083328], [0.07019498718328974], [0.06708599321376432], [0.07235212871376485], [0.07050962212002133], [0.07038541049759722], [0.07037475723914101], [0], [0]];[-1.49999971,-4.50000032]
[-1.73650329,-4.44079348];[1.73369515e-04,1.47220400e-02,-1.49127063e-01,9.88708419e-01];[[4.50000038, -5.60000034], [-1.69999972, -5.00000033], [-2.99999973, 0.89999976], [-6.29999978, -0.10000026], [-7.1999998, -4.00000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.18692671677376838], [0.18113771553857425], [0.18673555111829557], [0.18683255794618112], [0.1867355511182955], [0], [0], [0], [0], [0]];[4.50000038,-5.60000034]
