[1.48491963,-0.24831264];[1.23885857e-03,2.68526051e-04,-1.09911829e-01,9.93940532e-01];[[4.15336312, -1.30175905], [0.40000001, -0.5], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.610459916452817], [569.6703035764571], [0], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,-0.5]
[0.31605057,-0.48969047];[-3.31198395e-04,2.14935956e-04,9.73912122e-01,-2.26925168e-01];[[-0.07467365, -0.60901285], [4.13474286, -1.37995914], [3.15000004, -3.04999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[303.6441287188152], [11.754974855231263], [11.754974855231247], [0], [0], [0], [0], [0], [0], [0]];[-0.07467365,-0.60901285]
[0.16163612,-0.50982651];[-3.97158038e-04,3.44403811e-05,9.91570115e-01,-1.29570644e-01];[[3.15000006, -3.07499977], [-0.49916126, -1.21503499], [4.20000008, -1.39999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.754974855231263], [38.748414495171296], [11.754974855231263], [0], [0], [0], [0], [0], [0], [0]];[-0.49916126,-1.21503499]
[-0.31300266,-1.03834071];[-8.02789131e-04,-4.74005419e-04,9.29804746e-01,-3.68051979e-01];[[-0.52625379, -1.38305678], [4.08271998, -1.27279397], [3.15000009, -3.09999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1581.016500635819], [11.754974855231263], [11.754974855231263], [0], [0], [0], [0], [0], [0], [0]];[-0.52625379,-1.38305678]
[-0.373398,-1.18248233];[2.22085799e-03,-3.90192050e-05,8.90866113e-01,-4.54260536e-01];[[-0.23878474, -0.80655989], [2.7262339, -2.72842121], [4.56404057, -1.45226926], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2425.0288296918125], [11.310434951814367], [15295.632627170722], [0], [0], [0], [0], [0], [0], [0]];[4.56404057,-1.45226926]
[4.40879457,-1.22511474];[0.00466566,0.01113564,-0.10560537,0.99433483];[[4.65307031, -3.81316335], [0.55142518, -3.46152181], [5.60000008, 1.70000033], [-0.90000002, -0.2999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.984363592919902], [7.588842310626478], [7.608436350358324], [360.8674997656853], [0], [0], [0], [0], [0], [0]];[-0.90000002,-0.2999997]
[-0.66162238,-0.31725085];[0.00942215,-0.00491332,0.99987882,-0.01137662];[[5.80699502, -4.95093865], [4.40000006, 1.90000033], [3.50000005, -5.99999979], [-1.30000002, -0.1999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.373345794116932], [284.9673747463942], [6.419265306287052], [72.9501669355739], [0], [0], [0], [0], [0], [0]];[4.40000006,1.90000033]
[4.62505984,1.93584465];[1.75017875e-03,-1.60667813e-04,3.12974972e-01,9.49759749e-01];[[0.45080438, -4.31995608], [-2.90000005, 0.20000031], [3.60000004, -5.89999979], [2.10000002, 1.90000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.901148472947968], [47.81306246941894], [11.901148472947956], [53.75081817717888], [0], [0], [0], [0], [0], [0]];[2.10000002,1.90000033]
[2.35471727,1.89061559];[8.62863193e-04,4.21533376e-03,9.99701038e-01,2.40692575e-02];[[4.76145929, -4.50084827], [-0.80000002, 1.80000033], [-2.90000005, 0.20000031], [3.60000004, -5.89999979], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.127474217590354], [0.0], [14.127474217590336], [13.700951985048794], [0], [0], [0], [0], [0], [0]];[4.76145929,-4.50084827]
[4.75043187,-4.04145771];[6.74989349e-04,2.56847112e-04,-7.98358701e-01,6.02181735e-01];[[0.80669588, 2.93905719], [1.0, -6.49999959], [0.5, -4.79999957], [-2.20000004, 4.20000057], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.336457844797848], [2.4447336860474755], [2.4380895560949236], [9.283101578995186], [0], [0], [0], [0], [0], [0]];[-2.20000004,4.20000057]
