[0.1627561,0.21637469];[-1.10671960e-03,7.24326421e-04,2.89110150e-01,9.57294918e-01];[[0.35255374, -0.00937672], [3.40000005, -0.29999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1060870.9507857256], [403.2943429636747], [0], [0], [0], [0], [0], [0], [0], [0]];[0.35255374,-0.00937672]
[1.22784211,-0.32342834];[9.13952420e-05,2.83402174e-05,-1.25583812e-01,9.92083011e-01];[[3.84552582, -1.1695142], [0.40000001, -0.89999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[292.791625251177], [140551.05262384776], [0], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,-0.89999999]
[0.22722908,-0.35314656];[0.00385288,-0.00108262,0.834158,0.55151102];[[0.18551519, -0.6987714], [-2.19999987, -2.4499999], [4.20000022, -1.29999972], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[150.98535530760824], [44.555182937195276], [44.8410948836504], [0], [0], [0], [0], [0], [0], [0]];[0.18551519,-0.6987714]
[0.17756583,-0.96640581];[1.41964360e-03,4.22299270e-04,-8.19080971e-01,5.73676015e-01];[[-0.52043277, -1.67355468], [4.20000022, -1.29999972], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3761.4674310658174], [44.22728312015106], [0], [0], [0], [0], [0], [0], [0], [0]];[-0.52043277,-1.67355468]
[-0.34625118,-1.47552994];[-1.77611209e-03,-1.13464543e-05,9.12611976e-01,-4.08822982e-01];[[5.04055904, -1.45554683], [-2.84999988, -3.09999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[45.64938347560719], [49.11934880462746], [0], [0], [0], [0], [0], [0], [0], [0]];[-2.84999988,-3.09999975]
[-2.65636022,-2.94959245];[-0.00313941,0.00129875,0.94663841,-0.32227964];[[5.22626832, -1.48387201], [-0.8000001, -0.10000009], [-3.30000014, -4.60000015], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[309.5075592730719], [500.57050588792885], [10.229670617315373], [0], [0], [0], [0], [0], [0], [0]];[-0.8000001,-0.10000009]
[-0.92329658,-0.31329668];[2.68939988e-04,-4.94327500e-03,5.01789240e-01,8.64975751e-01];[[5.41210195, -1.50263014], [-1.39999971, -3.90000014], [-4.99999976, -0.7000001], [-7.4999998, -4.10000015], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.192587484603715], [4.7835458470553816], [5.630606236776295], [4.539790263451145], [0], [0], [0], [0], [0], [0]];[5.41210195,-1.50263014]
[5.24724065,-1.4318721];[5.33731358e-04,1.05503745e-03,-2.09691908e-01,9.77766797e-01];[[5.10000039, 2.00000004], [4.50000038, -4.20000005], [3.29250121, -3.16500902], [-0.60765392, 1.41016138], [-1.39999971, -3.90000005], [-3.38269949, -0.28996426], [-3.68279076, -5.1096096], [-4.99999976, -0.7], [-7.4999998, -4.10000005], [0.0, 0.0]];[[200.19072627554485], [199.62290314951977], [209.88565524939904], [905.9473325319059], [182.6022620498813], [305.7176605022607], [183.01047156684527], [962.0296312518595], [987.3230120175153], [0]];[-7.4999998,-4.10000005]
[-7.68996924,-4.07028044];[-0.00614801,-0.0035211,0.98012978,-0.19823074];[[-6.19999959, 1.30000052], [5.50000059, 2.10000053], [3.40000055, -6.29999959], [2.59605742, -4.85150242], [-0.68490803, 1.40765131], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.562230817932688], [89.49106730777586], [12.319562699555794], [12.319562699555783], [30.796239352964715], [0], [0], [0], [0], [0]];[5.50000059,2.10000053]
[5.48278051,2.05740728];[4.03532667e-03,-2.97779012e-05,3.37392626e-01,9.41355368e-01];[[0.79974552, -3.76419312], [-1.63614638, -4.55154106], [-2.34718073, 2.40546611], [-5.52289289, -5.87560876], [4.60000057, 2.20000054], [3.50000056, -6.49999959], [-6.29999959, 2.60000054], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[20.70108925814729], [38.71155651157638], [20.701089258147302], [33.31894853342565], [21.808145482077965], [20.701089258147327], [20.182047756419653], [0], [0], [0]];[-1.63614638,-4.55154106]
