[0.31373732,-0.30737176];[5.56563803e-04,8.36558778e-04,-4.71345188e-01,8.81948242e-01];[[3.19752224, -0.04007792], [1.08064982, -0.43341328], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[23.20254819180803], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[3.19752224,-0.04007792]
[2.95481188,-0.06937835];[4.71622615e-04,3.26210910e-04,4.80946139e-02,9.98842620e-01];[[0.32505023, -0.62591692], [5.20000008, -1.79999998], [3.25153161, -1.2700504], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[30886.603898166064], [119.16503836129479], [119.49121406647019], [0], [0], [0], [0], [0], [0], [0]];[0.32505023,-0.62591692]
[0.5562482,-0.52262657];[-1.53846766e-03,7.94494523e-04,9.76183764e-01,-2.16938367e-01];[[4.32337063, -1.95606683], [-0.33333342, -0.79999996], [5.40000002, 1.60000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[98.37151150822623], [1059.9213282034998], [99.75231723124897], [0], [0], [0], [0], [0], [0], [0]];[-0.33333342,-0.79999996]
[-0.09197991,-0.70445752];[-3.26507180e-03,3.10762198e-04,9.83905082e-01,-1.78661774e-01];[[-0.84558757, -0.32271946], [5.39999995, 1.60000007], [5.09999995, -2.29999999], [2.99736929, -1.33918917], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11142.178712585377], [52.73092667844885], [56.90845596670488], [15581.568396676188], [0], [0], [0], [0], [0], [0]];[2.99736929,-1.33918917]
[3.12930734,-2.06131067];[0.00248293,0.00247988,0.97076613,-0.24000168];[[-1.5043052, -1.85663446], [5.10000033, 1.99999995], [0.05000026, -2.80000012], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[40.18209742119475], [32.66654616207225], [46.59391429777622], [0], [0], [0], [0], [0], [0], [0]];[0.05000026,-2.80000012]
[0.27068681,-2.74823837];[-0.00621243,0.00303355,0.99456063,-0.10392956];[[1.34662867, -6.01054352], [-1.49999976, -2.70000012], [6.30000035, -5.10000015], [5.10000033, 1.99999995], [4.93924189, -6.00236702], [0.50000027, -3.40000013], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.903368211317249], [15.778052255564765], [14.109856703284821], [271.9179028405843], [14.903368211317263], [38.82593424676199], [0], [0], [0], [0]];[5.10000033,1.99999995]
[4.9523538,1.80067036];[0.0032884,-0.00190924,0.49075138,0.87129136];[[-1.72904138, -3.23231379], [-2.23207275, 0.10840606], [6.20000035, -5.20000015], [3.40000031, 2.09999995], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1555.43853884171], [5256.460830454474], [625.0690976326038], [783.187485641195], [0], [0], [0], [0], [0], [0]];[-2.23207275,0.10840606]
[-1.96642737,0.12644495];[-5.71624828e-04,-4.21169283e-03,9.99972581e-01,6.06470420e-03];[[6.20000037, -5.20000015], [-4.79999979, 1.89999995], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[529.9926340424171], [562.9043661386283], [0], [0], [0], [0], [0], [0], [0], [0]];[-4.79999979,1.89999995]
[-5.23182578,0.5977892];[0.00210138,-0.00272114,0.54729786,0.83693085];[[-2.17517749, -3.47741775], [-5.59999958, 2.39999996], [6.2000006, -5.20000015], [-5.59999958, -2.10000011], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[19.254335384626252], [0.0], [17.68467386649816], [19.83036025139063], [0], [0], [0], [0], [0], [0]];[-5.59999958,-2.10000011]
[-5.57248658,-1.8480968];[0.00774361,-0.00181908,-0.74502293,0.66699143];[[-3.39999973, -3.95000014], [6.20000041, -5.20000015], [-5.49999976, -2.10000011], [-5.59999977, 3.59999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.54281358311234], [20.6182335142724], [0.0], [17.54281358311234], [0], [0], [0], [0], [0], [0]];[6.20000041,-5.20000015]
[6.35635554,-5.06159508];[-2.70923036e-04,1.19499203e-03,-4.74968091e-01,8.80002174e-01];[[-1.89999971, -5.49999958], [-5.69999977, 3.60000056], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.004508318305606088], [0.004259004633188806], [0], [0], [0], [0], [0], [0], [0], [0]];[-1.89999971,-5.49999958]
[-1.85382049,-5.45645671];[-4.61345071e-04,4.88552839e-03,9.92411415e-01,-1.22863710e-01];[[-5.04821108, 3.57991072], [0.09424909, 1.70623279], [-7.19610357, 4.08244896], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.18007739523916294], [0.20894337405574073], [0.1803998192507532], [0], [0], [0], [0], [0], [0], [0]];[0.09424909,1.70623279]
[0.00419262,1.48024843];[0.00165755,0.0015197,0.52539562,0.85085509];[[-2.04999965, 4.35000061], [-5.8999997, -7.79999958], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[-2.04999965,4.35000061]
