[4.31073955,-1.26920549];[2.56304589e-03,-2.30033698e-04,-1.26912729e-01,9.91910550e-01];[[3.32467956, -2.78779459], [5.60000026, 1.9000003], [0.20000018, -0.99999974], [4.80000025, -3.79999979], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.801304882356105], [5.471995253214598], [652.8741621036123], [5.482403567088252], [0], [0], [0], [0], [0], [0]];[0.20000018,-0.99999974]
[0.22356235,-1.03609157];[-0.00207865,0.00163245,0.99149944,0.13008418];[[6.3229649, -4.28672812], [3.25000027, -4.40000005], [-0.64999979, 1.55000004], [5.2000003, 2.00000004], [0.40000023, -1.30000001], [-3.39999978, -3.70000004], [-3.59999978, -0.39999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.496884216281792], [16.25361634223612], [17.039972066162523], [15.648911034641973], [203.21435410441035], [16.282876002810852], [16.33186173547997], [0], [0], [0]];[0.40000023,-1.30000001]
[0.56797387,-1.48719644];[-5.69032160e-04,-1.08298994e-03,-5.49017795e-01,8.35809765e-01];[[3.79691823, -4.20251828], [-0.74999983, 1.60000004], [5.20000026, 2.00000004], [-1.29999984, -2.10000002], [-3.39999987, -3.70000004], [-3.69999987, -0.5], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[16.958046935033465], [105.80526405321073], [16.309938040552048], [39.685619308951175], [16.92486699340274], [17.011876749704253], [0], [0], [0], [0]];[-0.74999983,1.60000004]
[-0.62382474,1.39591087];[-7.43397581e-04,7.25426095e-03,8.95716245e-01,4.44566360e-01];[[3.50000024, -4.79999977], [6.40000028, -3.89999976], [5.20000026, 2.00000033], [1.83284283e-07, 3.00000035], [-0.89999983, -5.19999977], [-3.19999986, -3.69999975], [-3.69999987, -0.4999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.914830255194392], [18.27027600045063], [14.018810549611915], [14.969457462372514], [14.012572855106775], [25.21820160608229], [14.504649736687156], [0], [0], [0]];[-3.19999986,-3.69999975]
[-3.08302076,-3.55306977];[0.0056772,0.00215436,0.91085022,-0.41269237];[[0.37385361, 2.71522985], [3.50000006, -4.79999957], [-2.90429394, 1.77896876], [5.20000008, 2.00000053], [-3.50000005, -5.09999957], [-3.70000005, -0.4999995], [-4.20000006, -2.59999954], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[27.99592954547472], [6.9556940177953654], [6.9556940177953654], [36.44357817873282], [7.40846964063354], [7.174878106520519], [7.408469640633536], [0], [0], [0]];[5.20000008,2.00000053]
[5.14675316,1.91847603];[0.00262612,-0.00442932,0.40280571,0.91527102];[[-2.73415673, 2.11367679], [0.35336258, 3.59207737], [-7.05000009, -5.09999957], [5.7000001, -2.79999954], [4.40000008, 2.20000054], [-4.30000004, -2.59999954], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[170.1232197701445], [174.77882543307982], [158.23288061613724], [175.30207315546548], [179.12946261247853], [619.6275239624478], [0], [0], [0], [0]];[-4.30000004,-2.59999954]
[-4.27645008,-2.62086187];[-0.00267474,0.00226867,0.99420493,-0.10744423];[[-3.00904706, 1.99747873], [-4.35381863, -0.60445187], [4.30000057, -4.19999956], [0.40000051, 3.20000055], [-7.29999961, -5.19999957], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[262.0078319682667], [267.90810064291287], [250.5634163097361], [256.06901000042257], [261.50391814405435], [0], [0], [0], [0], [0]];[-4.35381863,-0.60445187]
[-4.16211076,-0.60037488];[-0.00258778,-0.00744278,0.92244382,0.38605091];[[4.29999981, -4.19999956], [-3.70000031, 1.70000053], [-6.60000035, 5.03659248e-07], [-7.40000037, -4.69999957], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[837.2044548849443], [0.0], [271.53567324352855], [249.7334944038906], [0], [0], [0], [0], [0], [0]];[4.29999981,-4.19999956]
[4.07073132,-4.09114005];[0.00980791,-0.00265315,-0.21032387,0.97757897];[[-5.6708348, 2.2665433], [-7.32097984, -4.50696867], [3.14999979, -6.05000035], [0.14611456, 3.62195491], [-6.50000035, -0.20000026], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.059850854674263], [11.844834951840477], [12.74909405957659], [26.94308697941947], [12.059850854674258], [0], [0], [0], [0], [0]];[0.14611456,3.62195491]
[0.13832193,3.57361212];[0.00623769,-0.00522503,0.78268095,0.62236992];[[-5.667681, 2.2512878], [3.14999979, -6.04999959], [6.29999984, -5.79999958], [4.59999981, 2.20000054], [1.09999976, 2.50000054], [-6.50000035, -0.1999995], [-7.40000037, -4.69999957], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.0977594534799433], [2.062722650713555], [2.0348572249420265], [2.4055145915462295], [4.187273503668669], [2.0960395903921456], [2.034268506959862], [0], [0], [0]];[1.09999976,2.50000054]
