[0.56543973,-0.00521878];[3.38832083e-04,-4.96557407e-06,-1.10046935e-01,9.93926334e-01];[[0.58557566, -0.45453791], [4.30000006, -0.59999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[420.64561040644503], [26.072880239551665], [0], [0], [0], [0], [0], [0], [0], [0]];[0.58557566,-0.45453791]
[0.55846917,-0.56677669];[-4.57130877e-05,-5.21822092e-04,-6.07908094e-01,7.94007227e-01];[[5.59367256, -0.6263882], [0.32343116, 0.00221964], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.318995204900396], [5030.879279812261], [0], [0], [0], [0], [0], [0], [0], [0]];[0.32343116,0.00221964]
[0.18910757,0.23524265];[-3.52665866e-04,5.84029916e-04,7.77354825e-01,6.29061991e-01];[[0.70851926, -0.99492826], [6.00000009, -0.99999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1802.9905069976862], [455.7646754486934], [0], [0], [0], [0], [0], [0], [0], [0]];[0.70851926,-0.99492826]
[5.82530316,-1.02940762];[0.00173194,0.0022145,0.07362059,0.99728237];[[0.28609249, 3.66759527], [-1.05000002, -0.94999973], [5.50000008, 1.6000003], [4.50000006, -3.49999977], [0.60000001, -2.89999976], [-1.60000003, 1.70000031], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[975.3350166874856], [1724.224485132215], [12.17612137098125], [11.368306854109106], [11.368306854109106], [2268.8424004625613], [0], [0], [0], [0]];[-1.60000003,1.70000031]
[-1.37868941,1.61038818];[0.01040801,0.00581148,0.96710076,0.25411418];[[1.26631923, -3.25690266], [-0.30539378, -2.04350196], [6.70000038, -4.19999986], [5.50000036, 1.60000023], [4.70000035, -5.69999988], [0.50000029, 2.70000025], [-1.69999975, 1.60000023], [-2.79999976, 2.05636025e-07], [0.0, 0.0], [0.0, 0.0]];[[0.0], [219.9012472193275], [624.3091322775772], [8.765070317489512], [8.396064668282389], [9.604783661867373], [9.60478366186739], [515.2512125419827], [0], [0]];[6.70000038,-4.19999986]
[6.51223896,-4.03435043];[7.77359239e-04,2.78991370e-03,-3.65131880e-01,9.30951301e-01];[[-1.15028669, -1.70403228], [5.50000037, 2.00000033], [2.30000032, -6.39999979], [0.6000003, -3.49999975], [0.5000003, 2.60000034], [-5.19999979, 1.50000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[18.05920772484653], [3.827599699090092], [3.9664752349673416], [3.826706382108348], [3.695212417490448], [3.581542132382607], [0], [0], [0], [0]];[-1.15028669,-1.70403228]
[-0.92254881,-1.80336342];[0.0029928,0.00116452,0.96795581,0.25110005];[[-1.20036561, -1.80328716], [5.50000037, 2.00000033], [1.48967779, -6.32391644], [0.5000003, 2.60000034], [0.5000003, -3.49999975], [0.3067981, 4.59104109], [-3.13207364, -0.00702957], [-5.19999979, 1.50000032], [0.0, 0.0], [0.0, 0.0]];[[6.159328562392537], [74.97182162520468], [3.591449550423406], [22.280609104825093], [3.7073060130787825], [3.4823279327707986], [3.707291498753583], [3.4877710740531227], [0], [0]];[5.50000037,2.00000033]
[5.35090803,1.86177613];[0.00371809,-0.00171505,0.36947415,0.92923198];[[0.75399125, 2.5034226], [0.74303504, -3.94985595], [-1.15344491, -1.71316902], [4.60000036, 2.30000034], [-3.61061978, -0.01499611], [-5.19999979, 1.90000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.04999191351138822], [0.048689907520341996], [0.8089490365129863], [0.05127755026086177], [0.04740082296499828], [0.047432145529507426], [0], [0], [0], [0]];[-1.15344491,-1.71316902]
[-0.94117199,-1.57517904];[-0.0013507,0.00248983,0.94774746,-0.31900899];[[-3.24999976, -3.70000004], [0.7000003, 2.60000006], [-5.19999979, 1.90000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.012797379564926891], [0.07009521339289783], [0.008704874529443579], [0], [0], [0], [0], [0], [0], [0]];[0.7000003,2.60000006]
[0.58747857,2.37477633];[-0.00403912,0.00424977,0.49832755,0.86696902];[[-1.30724354, 4.74718819], [-3.04999976, -3.60000003], [4.70000036, 2.30000005], [2.10000032, 2.20000005], [1.60000031, 5.4000001], [1.28987646, -5.89061689], [0.7000003, -4.20000004], [-3.39999976, -1.0], [-5.19999979, 1.90000005], [0.0, 0.0]];[[48.144011730503266], [72.8086657357789], [120.30690023790063], [49.18642789545888], [48.1533595965014], [47.09509153034428], [47.116753876852414], [48.14401173050316], [48.14240405172505], [0]];[4.70000036,2.30000005]
[4.47411281,2.14013984];[-0.00301208,0.00894532,0.05136893,0.99863514];[[-3.04999976, -3.60000003], [-5.15060448, 2.25096009], [2.20000032, 1.70000004], [1.40000031, 5.00000009], [1.29000151, -5.89097881], [0.7000003, -4.20000004], [-1.49999973, 5.2000001], [-3.39999976, -1.0], [0.0, 0.0], [0.0, 0.0]];[[60.350581092935556], [122.74229719173114], [48.377256616116156], [46.420016326678535], [45.4784051438941], [46.433239156809805], [154.26843857352202], [55.59518795798864], [0], [0]];[-1.49999973,5.2000001]
[-1.4327903,5.11866164];[0.01097083,0.02561378,0.93678516,0.34879383];[[-3.05000004, -3.60000003], [-3.51273332, -0.50172812], [4.80000008, 2.50000006], [1.40000003, 5.00000009], [1.28916752, -5.88785934], [0.70000001, -4.20000004], [-5.30000007, 2.00000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[61.56035824766551], [20.656893141487526], [41.61789153905946], [21.014689739669127], [50.695126350211474], [56.10005821283529], [21.01468973966912], [0], [0], [0]];[-3.05000004,-3.60000003]
[-3.01575851,-3.57820556];[-0.02461759,-0.00325984,-0.8411968,0.54015857];[[-5.80142164, 5.94484091], [4.80000008, 2.50000025], [1.40000003, 5.00000029], [-3.40000004, -0.9999998], [-3.60000004, -3.39999984], [-5.40000007, 2.00000024], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[19.73682423197104], [30.43108025039894], [19.736824231971013], [20.67668498395986], [0.0], [20.042064283439657], [0], [0], [0], [0]];[4.80000008,2.50000025]
