[0.17700766,0.18754124];[-1.01525079e-03,5.19874743e-04,2.73172684e-01,9.61964338e-01];[[0.52736166, 0.01388053], [4.10000006, -0.19999996], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1603530.8190380917], [15.987350425045609], [0], [0], [0], [0], [0], [0], [0], [0]];[0.52736166,0.01388053]
[3.0500807,-0.26841327];[4.93525312e-04,7.24197005e-04,-5.42378644e-02,9.98527657e-01];[[5.50134873, -0.30443241], [4.10000006, -1.5], [0.50000001, -0.59999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[139.05265535668846], [139.54336751669928], [154006.24133130128], [0], [0], [0], [0], [0], [0], [0]];[0.50000001,-0.59999998]
[0.70854694,-0.46695996];[-0.00109259,-0.00166663,0.99747457,-0.07099657];[[5.37866705, -2.98513305], [0.01300514, -1.01541921], [5.5000001, 1.80000032], [2.35000005, -3.29999975], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.8810165076174749], [209.67528803578512], [0.9466778236451348], [0.9417624137696473], [0], [0], [0], [0], [0], [0]];[0.01300514,-1.01541921]
[0.2299274,-0.89454874];[-2.85119903e-03,8.87728017e-04,9.30495016e-01,-3.66292394e-01];[[5.69344008, -3.09415818], [-0.12063302, -0.5853263], [2.40161626, -3.19774909], [5.50000012, 1.80000032], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.9040237226630977], [2145.4633491015006], [0.9761828027231092], [0.8969856196306761], [0], [0], [0], [0], [0], [0]];[-0.12063302,-0.5853263]
[-0.24514048,-0.42905919];[-0.00165751,-0.00237222,0.97124456,0.23806643];[[0.62805188, -3.23741953], [5.43289756, -2.99905862], [5.50000008, 1.80000032], [2.50000003, -3.39999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.007894035935968], [6.045543711641668], [0.8508645273424822], [0.9206686723611304], [0], [0], [0], [0], [0], [0]];[5.43289756,-2.99905862]
[5.224708,-2.86959328];[0.00100341,0.00158345,-0.29955791,0.95407628];[[4.79639172, 1.75385607], [0.0999999, -2.20000029], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.760838374289817], [349.6246666826994], [0], [0], [0], [0], [0], [0], [0], [0]];[0.0999999,-2.20000029]
[0.35611057,-2.27258075];[-0.00204012,-0.00158551,0.9852807,0.17092472];[[4.80338244, 1.80390011], [0.9981586, -4.55614774], [-0.90000002, -1.39999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[15.332143772524713], [17.051773339413167], [17.051773339413145], [0], [0], [0], [0], [0], [0], [0]];[0.9981586,-4.55614774]
[0.97587545,-4.59504586];[0.00197728,-0.00255595,-0.49572443,0.86847386];[[5.50000008, 2.00000034], [3.39032412, 1.40591812], [-0.90000002, -1.59999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.658364613772864], [14.658364613772948], [15.373445447474793], [0], [0], [0], [0], [0], [0], [0]];[-0.90000002,-1.59999971]
[0.97597932,-4.59510198];[0.0017179,-0.00217707,-0.49632645,0.86813154];[[5.50000008, 2.00000034], [0.11133295, 1.11009729], [-0.90000002, -1.59999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.22729207602497], [34.13145369018158], [14.901155645465108], [0], [0], [0], [0], [0], [0], [0]];[0.11133295,1.11009729]
[0.97159418,-4.58591839];[0.00163739,-0.00188265,-0.49473819,0.86903849];[[5.39503245, 2.00813477], [3.41947055, 1.4033761], [-0.90000002, -1.59999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.22729207602497], [302.80346956133565], [38.73889982966424], [0], [0], [0], [0], [0], [0], [0]];[3.41947055,1.4033761]
