[0.31684552,-0.27225805];[1.56129297e-03,6.26536840e-04,-4.91907962e-01,8.70645579e-01];[[6.00000009, -1.29999999], [0.40000001, -0.59999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.938760308486853], [76353.36801022987], [0], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,-0.59999998]
[0.31734235,-0.35509264];[1.40746482e-03,5.09703451e-04,-5.43322136e-01,8.39522970e-01];[[0.59091076, -1.27366553], [3.9328532, -1.2053916], [5.80000009, -1.19999998], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.604315841340528], [4.938760308486851], [4.938760308486851], [0], [0], [0], [0], [0], [0], [0]];[0.59091076,-1.27366553]
[0.51490992,-1.03566115];[6.30979885e-04,5.22017092e-04,-5.92503735e-01,8.05567288e-01];[[4.31692172, -1.19267137], [0.73438748, -1.65337628], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.891501102171669], [133128.3846836073], [0], [0], [0], [0], [0], [0], [0], [0]];[0.73438748,-1.65337628]
[0.65098748,-1.41220017];[6.94602746e-04,3.20468628e-04,-5.81223136e-01,8.13743863e-01];[[3.76888942, -1.10488373], [0.09616631, -1.03861149], [5.80000011, -1.20000012], [4.4426403, 0.31064701], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[181.4257447520913], [355730.70685447106], [165.79527486212692], [178.95283013851244], [0], [0], [0], [0], [0], [0]];[0.09616631,-1.03861149]
[-0.06776688,-0.92268794];[-3.61287795e-04,1.23229015e-04,9.84039106e-01,1.77951938e-01];[[4.60979165, -1.26516688], [-0.14574537, -0.40611056], [-1.00000003, -5.79999978], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[201.9023830958611], [25444.57337583886], [204.44901721016328], [0], [0], [0], [0], [0], [0], [0]];[-0.14574537,-0.40611056]
[-0.09238267,-0.47585755];[-1.69947756e-03,7.50508708e-04,8.32973220e-01,5.53310175e-01];[[3.91877692, -1.20163405], [5.80000036, -1.19999972], [-1.09999974, 0.1000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[188.77044784989238], [22338.143979630782], [3733.4038098716237], [0], [0], [0], [0], [0], [0], [0]];[5.80000036,-1.19999972]
[5.54857371,-1.15270312];[-0.00381354,-0.00104539,-0.11082007,0.99383261];[[-0.18482981, 1.90112459], [5.50000035, 1.60000033], [1.61717188, -2.98309612], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2892.8577292674804], [196.85702343216602], [198.24578250000744], [0], [0], [0], [0], [0], [0], [0]];[-0.18482981,1.90112459]
[-0.43813618,1.91647345];[0.00296139,0.01337637,0.99071613,0.1352548];[[5.08620514, 1.55609426], [6.50000029, -5.39999978], [3.30000024, -3.59999975], [0.8000002, 2.50000034], [-1.99999984, 5.00000038], [-3.59999986, -0.59999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.947093580333027], [4.632377476990705], [4.783826747076286], [5.123514979376052], [4.947093580333027], [4.947093580333023], [0], [0], [0], [0]];[0.8000002,2.50000034]
[0.79274324,2.45799563];[-0.01035688,0.01210879,0.33947011,0.94048187];[[1.06666687, 5.73333372], [1.60000021, 2.15000033], [-2.69999985, 4.75000037], [6.50000029, -5.39999978], [5.50000027, 1.60000033], [4.83592033, -4.90663719], [3.30000024, -3.59999975], [-0.69999982, 6.00000039], [-3.59999986, -0.59999971], [0.0, 0.0]];[[7.346377570703179], [7.592558667312362], [7.346377570703173], [6.899239938757989], [7.346377570703181], [6.899239938757999], [7.115709717881439], [7.346377570703167], [7.346377570703167], [0]];[1.60000021,2.15000033]
[5.25693095,1.62229123];[-0.00695704,0.00658429,-0.02847848,0.99954851];[[6.50000029, -5.39999978], [4.50000026, 2.00000033], [3.30000024, -3.59999975], [-0.69999982, 6.10000039], [-2.69999985, 4.70000037], [-3.59999986, -0.59999971], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.6767647344417088], [0.713977741122454], [0.6983850773547364], [0.6595291495150666], [0.6793352428670353], [12.084517410704418], [0], [0], [0], [0]];[-3.59999986,-0.59999971]
[-3.38611346,-0.73610018];[0.00699514,0.01138512,0.99989628,-0.00537461];[[6.80041184, -5.36262282], [-2.85930934, 5.14781742], [4.87949181, -4.91309786], [3.50000024, -3.79999975], [-0.69999982, 6.10000039], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.102472685646894], [7.038125097307432], [6.8755917422892745], [7.038125097307413], [24.757920569469178], [0], [0], [0], [0], [0]];[-0.69999982,6.10000039]
[-0.95602985,6.15489954];[-0.01031202,0.01339053,0.44613986,0.89480365];[[0.72499975, 6.3000004], [5.00654078, 2.3044981], [-3.70000031, -3.89999976], [6.59999984, -5.39999978], [3.39999979, -3.69999975], [-3.90000031, 4.60000037], [-6.20000035, -2.69999974], [-7.10000036, -1.49999972], [0.0, 0.0], [0.0, 0.0]];[[6.705805951116873], [6.309362361917836], [6.293329096404898], [18.18554014234935], [6.185661635137201], [6.569013027812259], [6.307864946996427], [6.304121328566314], [0], [0]];[6.59999984,-5.39999978]
[6.6418263,-5.64635435];[-0.01734144,0.00511897,-0.5661274,0.82411944];[[5.54705644, 2.36027122], [-3.70000031, -3.90000004], [1.29999976, 5.3000001], [-3.90000031, 4.60000009], [-6.20000035, -2.70000002], [-7.10000036, -1.5], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.2210946032773484], [1.1982870122693479], [2.599835090398539], [1.169880950482174], [1.1872239301851084], [1.7245114761851692], [0], [0], [0], [0]];[1.29999976,5.3000001]
