[0.18681895,0.22815747];[-1.00763425e-03,5.73325640e-04,2.92984626e-01,9.56116453e-01];[[0.68203412, -0.10885691], [3.40000005, -0.19999996], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[185767.4884907737], [82.4837707727247], [0], [0], [0], [0], [0], [0], [0], [0]];[0.68203412,-0.10885691]
[1.58121483,-0.42201816];[3.79692575e-04,2.63186284e-05,-1.78515407e-01,9.83937045e-01];[[0.69015285, -0.70586526], [6.00157356, -0.90529925], [4.20000006, -1.39999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[152913.41961505418], [9.724968220846213], [9.724968220846213], [0], [0], [0], [0], [0], [0], [0]];[0.69015285,-0.70586526]
[0.67349429,-0.43699922];[-8.31710498e-05,-5.35357456e-04,9.66839321e-01,-2.55384866e-01];[[3.79993668, -1.21412156], [2.45000004, -3.14999979], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.043452712717036], [2.4255538914651327], [0], [0], [0], [0], [0], [0], [0], [0]];[3.79993668,-1.21412156]
[3.99522671,-1.20483822];[6.46945468e-04,1.37333343e-03,-2.09908079e-01,9.77719949e-01];[[4.90000007, 1.90000028], [0.89870661, -1.37063956], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.756672880834352], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[4.90000007,1.90000028]
[4.7970967,1.66372838];[0.00723543,-0.00376441,0.51324379,0.8582041];[[1.76503167, -4.13777442], [6.30000009, -6.19999979], [3.40000005, 2.10000033], [0.22829133, 0.51081854], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.469853474101169], [1.4572786325665994], [1.6432205649437754], [13.856199772796053], [0], [0], [0], [0], [0], [0]];[0.22829133,0.51081854]
[-0.116409,0.23948457];[0.00098754,0.00224847,-0.83698279,0.54722367];[[6.40000014, -6.19999959], [2.40000008, -5.59999958], [0.10000004, -1.89999952], [-1.59999998, 1.80000053], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[22.40472666543981], [23.361929307712195], [169.5549120029781], [25.48928006472157], [0], [0], [0], [0], [0], [0]];[0.10000004,-1.89999952]
[0.07377839,-1.65195918];[6.34310010e-04,2.56853238e-03,-6.76679661e-01,7.36272803e-01];[[6.62982022, -6.03651159], [0.44560979, -2.64988762], [-1.79615024, -2.40453363], [2.40000032, -5.59999958], [-1.69999974, 2.00000053], [-3.69999977, -3.99999956], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[22.31327024317916], [117.90963708520741], [45.454620930669336], [23.239821028369597], [23.23982102836957], [23.23982102836961], [0], [0], [0], [0]];[0.44560979,-2.64988762]
[0.34609819,-2.43212746];[0.00136266,0.00318153,-0.56304098,0.82642174];[[6.40000038, -6.19999959], [-1.83749893, -2.45315118], [-1.69999974, 2.00000053], [-3.69999977, -3.99999956], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[21.86150771649726], [23.702077614029122], [179.41382614789964], [22.751276885106687], [0], [0], [0], [0], [0], [0]];[-1.69999974,2.00000053]
[-1.72668708,2.14175329];[0.00217759,0.00336945,0.89362754,0.4487914];[[6.40000038, -6.19999959], [3.40000034, 2.10000053], [2.50000032, -5.99999959], [0.40000029, 3.20000055], [-2.19999975, -3.19999954], [-2.29999975, 1.80000053], [-3.69999977, -3.99999956], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.42497382194923805], [1.7247596780073617], [0.44411891288565186], [0.4868946058986563], [2.3547161363749436], [0.48791945728728947], [0.4559127074170019], [0], [0], [0]];[-2.19999975,-3.19999954]
[-2.14923228,-3.06111044];[-5.69502935e-05,-2.28740426e-03,-8.12714055e-01,5.82658238e-01];[[0.61066214, 3.09127556], [6.40000038, -6.19999959], [2.68187873, -6.15321639], [-3.59999977, -3.94999956], [0.19777592, -6.17327118], [-2.29999975, 1.80000053], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.3053519080182356], [0.38202900089419595], [1.230890794337611], [0.0], [0.4063333516238296], [1.9073878103860364], [0], [0], [0], [0]];[-2.29999975,1.80000053]
