[0.51831654,-0.01680285];[-4.14230308e-05,-1.86321300e-04,-1.23482517e-01,9.92346728e-01];[[3.48580745, -0.19291693], [1.11964786, -0.43645683], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[89.59870947519742], [30366.330330637014], [0], [0], [0], [0], [0], [0], [0], [0]];[1.11964786,-0.43645683]
[0.90657193,-0.29809753];[-7.17875381e-04,-8.86801341e-04,-2.64639342e-01,9.64346777e-01];[[4.04894074, -1.20666911], [0.51729488, -0.51374167], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[23.292876290537777], [2546.8330406309806], [0], [0], [0], [0], [0], [0], [0], [0]];[0.51729488,-0.51374167]
[0.33082061,-0.55891665];[2.57925483e-05,2.15229492e-03,9.39327826e-01,-3.43013998e-01];[[4.39553527, -1.25651846], [0.65191446, -3.16132321], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.7042922171624575], [8.603817145978127], [0], [0], [0], [0], [0], [0], [0], [0]];[0.65191446,-3.16132321]
[0.61709265,-2.92167391];[-7.15149986e-04,-4.79659099e-04,-6.52374481e-01,7.57896286e-01];[[-0.16179955, -0.47407082], [3.91035947, -1.20646922], [6.40692282, -0.09472579], [6.35412836, -1.71815681], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8070.350705522943], [7.583267294904892], [6.9573058261891445], [7.5832672949048865], [0], [0], [0], [0], [0], [0]];[-0.16179955,-0.47407082]
[-0.09499513,-0.7092222];[0.0010206,0.00161165,0.78644374,0.61765896];[[-0.70140241, -0.47937095], [6.39749146, -1.70114338], [6.42789793, -0.0970163], [4.10000032, -1.29999972], [3.60000031, -4.99999977], [-0.99999976, -4.79999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[522.3667378113457], [6.2108980703596535], [6.210898070359653], [1134.5907910071455], [6.653190210508651], [12.54972758300198], [0], [0], [0], [0]];[4.10000032,-1.29999972]
[4.22383611,-1.27836788];[0.00313709,0.00246684,-0.17170497,0.98514034];[[5.40000024, 1.60000033], [5.30000024, -3.19999975], [3.60000021, -4.99999977], [2.21209836, -2.43097448], [0.10000016, 2.00000033], [-0.99999985, -1.19999972], [-0.99999985, -4.79999977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.232907999071247], [6.5719417350164795], [6.232907999071247], [472.0995609345117], [34.87249757184402], [162.86635587505603], [8.691833260663113], [0], [0], [0]];[2.21209836,-2.43097448]
[2.43309533,-2.31121899];[-0.00232909,-0.01092679,0.96433605,-0.26444501];[[5.63214977, 1.70610799], [3.70000022, -5.90000017], [0.10000016, 1.99999995], [-0.99999985, -1.2000001], [-0.99999985, -4.80000015], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.985776183051341], [5.985776183051341], [5.721153031379339], [9.20515442427542], [5.721153031379344], [0], [0], [0], [0], [0]];[-0.99999985,-1.2000001]
[-0.79428108,-1.31161834];[1.39112207e-04,1.75385498e-03,9.61068827e-01,2.76303483e-01];[[-0.37965802, 2.1012516], [6.10000035, -3.49999984], [5.40000034, 1.60000024], [2.5000003, -6.09999988], [-0.99999976, -4.79999986], [-1.39999976, -1.69999981], [-2.10264349, -0.30861604], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.217872525985387], [5.950401280882225], [117.72279522967267], [6.217872525985389], [6.217872525985387], [6.511929219537198], [28.117780981110606], [0], [0], [0]];[5.40000034,1.60000024]
[5.26041262,1.4879413];[-8.16030688e-05,1.77324615e-03,3.35507247e-01,9.42035947e-01];[[4.65000023, 2.20000025], [-1.76407856, -1.60533834], [6.00000025, -3.49999984], [2.5000002, -5.99999988], [0.10000016, 2.10000024], [-0.99999985, -4.79999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1372.8921513413102], [904.4702552931717], [478.5859874782621], [463.9199147244448], [479.8690670291465], [794.1176806117911], [0], [0], [0], [0]];[4.65000023,2.20000025]
[4.74037786,2.02953258];[0.00201347,0.00188395,0.85312617,0.52169737];[[4.55000023, 2.20000025], [0.36220626, 2.25438433], [6.00000025, -3.49999984], [5.1439805, -5.37459755], [2.5000002, -5.99999988], [-0.99999985, -4.79999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[132.70921873585905], [27.315697829826423], [27.2763895316745], [26.40145158077021], [26.38594570769753], [63.37880067237142], [0], [0], [0], [0]];[4.55000023,2.20000025]
