[0.5968876,-0.08035727];[5.02924311e-04,-1.34320952e-04,-1.66362987e-01,9.86064445e-01];[[2.47022468, -0.50778597], [0.16716681, 0.14608426], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[980.2756930837342], [892970.4442880185], [0], [0], [0], [0], [0], [0], [0], [0]];[0.16716681,0.14608426]
[-0.07414879,0.08480302];[-5.03516411e-04,1.95349873e-04,4.83018585e-02,9.98832640e-01];[[0.82807135, -2.40199965], [4.4380545, -1.401775], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12699.929037292795], [2.545743073581241], [0], [0], [0], [0], [0], [0], [0], [0]];[0.82807135,-2.40199965]
[0.59554088,-1.89868624];[-4.86226319e-04,-1.69708644e-04,-5.50735722e-01,8.34679522e-01];[[-2.22533754, -3.07668549], [4.96578126, -1.19172226], [-1.00056982, -0.99852943], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.8972737734977256], [2221.330269466512], [10389.08600065986], [0], [0], [0], [0], [0], [0], [0]];[-1.00056982,-0.99852943]
[-0.77005273,-1.10575302];[-8.65821671e-04,7.77655028e-04,9.80017783e-01,1.98906487e-01];[[5.3659258, -1.20585273], [-2.53792169, -3.68023864], [-0.54710484, 0.05297872], [2.30000032, -2.89999953], [-0.89999973, -5.29999957], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[21030.688100576906], [12.328331408890953], [1636.2814616309638], [12.328331408890946], [12.328331408890953], [0], [0], [0], [0], [0]];[5.3659258,-1.20585273]
[2.61885933,-0.60496593];[8.20636181e-04,-3.82085777e-03,1.07559467e-02,9.99934515e-01];[[4.96289328, -1.14367214], [-2.75000269, -3.58460077], [2.30000032, -2.89999953], [-0.39999972, 1.30000053], [-0.89999973, -5.29999957], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[10.550732174952794], [269.3723739427958], [10.5507321749528], [962.8889254434905], [9.489185166552794], [0], [0], [0], [0], [0]];[-0.39999972,1.30000053]
[0.06468811,0.03650367];[1.78868194e-04,1.25960659e-03,2.37150127e-01,9.71472184e-01];[[0.20000028, 3.03333389], [-2.70073989, -3.14501835], [5.10000035, -1.69999951], [2.30000031, -2.89999953], [-1.49999975, 1.70000054], [-3.99999979, -0.39999949], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.82027535704164], [12.820275357041645], [12.820275357041645], [12.820275357041655], [13.373425600891421], [12.82027535704164], [0], [0], [0], [0]];[-1.49999975,1.70000054]
[-1.56183793,1.81525091];[9.57730412e-05,2.77237224e-03,9.50641860e-01,3.10277875e-01];[[2.44252337, -3.52337829], [0.56801283, 3.00227657], [-2.74999977, 1.80000054], [-3.34999978, -3.49999954], [-0.99999974, -5.49999957], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[56.73802458960553], [61.38629594722262], [61.20735754189636], [85.91458835618448], [71.429381385898], [0], [0], [0], [0], [0]];[-3.34999978,-3.49999954]
[-3.24115487,-3.3029616];[0.00489373,0.00629381,0.87728348,-0.47990638];[[2.71633434, 3.11971402], [2.59358681, -3.30370183], [4.10000033, -1.49999951], [-3.19999977, 1.80000054], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.095209399017783], [2.282873729091817], [159.14817537341162], [2.2902053329314067], [0], [0], [0], [0], [0], [0]];[4.10000033,-1.49999951]
[4.21863123,-1.3428054];[-0.00660748,0.00995301,0.03642708,0.99926491];[[3.00882731, -3.85394832], [5.60000059, 1.50000053], [-3.19999954, 1.80000054], [-4.29999955, -5.39999957], [-4.59999956, -2.29999952], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.0233229321548563], [2.01791635757794], [1.9733392804227408], [4.292304730585516], [74.74904464210293], [0], [0], [0], [0], [0]];[-4.59999956,-2.29999952]
[-4.35825288,-2.28563295];[0.00835146,0.01527881,0.99951355,-0.02587427];[[5.82638999, -3.37112151], [2.90000055, -2.99999953], [2.71091795, 3.18593669], [2.44382286, -4.90028143], [-3.29999954, 1.80000054], [-4.39999955, -5.59999957], [-5.49999957, -1.59999951], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.7564661529913057], [2.207402929833233], [13.889638368542306], [1.7889156496474699], [1.8267599571912265], [1.823927496994552], [1.8622132805698202], [0], [0], [0]];[2.71091795,3.18593669]
