[0.16470128,0.21312982];[-7.11687585e-04,5.45762137e-04,2.85039864e-01,9.58515247e-01];[[3.00000005, 0.60000001], [2.70000004, -1.10000002], [1.60000002, 1.70000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[13.041586936275602], [12.892549624633551], [12.990863823384103], [0], [0], [0], [0], [0], [0], [0]];[3.00000005,0.60000001]
[2.7587294,0.56003595];[-5.73595681e-04,-1.71549167e-03,7.97381045e-02,9.96814205e-01];[[3.95351936, -0.07730605], [1.10000002, 2.90000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.370078996118398], [9.370078996118398], [0], [0], [0], [0], [0], [0], [0], [0]];[3.95351936,-0.07730605]
[3.71583481,0.03599346];[2.48374653e-04,2.17522322e-04,-2.17238646e-01,9.76118467e-01];[[3.29359419, -2.72543628], [1.10000002, 2.90000028], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [24.569868212663913], [0], [0], [0], [0], [0], [0], [0], [0]];[1.10000002,2.90000028]
[1.26209456,2.71362908];[1.72691927e-04,1.39237721e-03,9.09891720e-01,4.14843439e-01];[[0.51074039, -0.75614744], [5.79999997, -2.80000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1329.0144609194087], [209.6547165169732], [0], [0], [0], [0], [0], [0], [0], [0]];[0.51074039,-0.75614744]
[0.57029828,-0.50768008];[-1.50640695e-03,5.75410057e-04,-7.89283816e-01,6.14026425e-01];[[3.50418365, -3.99273403], [5.75000007, -2.80000004], [8.80000011, 2.20000003], [7.16105604, -2.10926533], [1.90000001, -4.70000007], [-1.70000004, -0.40000001], [-1.70000004, -2.00000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.968944265478665], [20.985825010751462], [11.639887855538614], [18.835413003186837], [12.96894426547867], [54.925489926970904], [35.85945890798946], [0], [0], [0]];[-1.70000004,-0.40000001]
[-1.45677421,-0.40803331];[1.48569976e-04,1.46906269e-03,9.99690120e-01,2.48492976e-02];[[-1.09999974, -3.85000006], [-3.54999978, -1.10000002], [8.8000004, 2.20000003], [5.70000036, -2.80000004], [3.00000032, -4.10000006], [-1.79999975, -1.50000003], [-3.79999978, 1.20000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.928391041879768], [3.070502729860038], [9.481865738376172], [2.7866582102865247], [12.36819582204309], [3.073856394703568], [3.0744224155288333], [0], [0], [0]];[3.00000032,-4.10000006]
[3.05800671,-4.1111505];[-0.00119524,-0.00230672,-0.44440465,0.89582239];[[-4.83081218, 0.00453903054], [6.4000003, -2.90000005], [-1.09999981, -3.85000006], [8.60000033, 2.10000003], [1.40000023, -4.20000007], [-1.79999982, -1.50000003], [-4.39999986, 2.10000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[35.0725513950595], [27.729013492595765], [27.93599306249373], [26.673805588633837], [28.951746198545205], [26.723914560031343], [31.044478248824383], [0], [0], [0]];[-4.83081218e+00,4.53903054e-03]
[-4.62179452,-0.12326872];[0.00152709,-0.00098598,0.95549881,0.29498932];[[6.15000063, -2.80000004], [0.65000054, -4.15000006], [8.60000066, 2.10000003], [-1.79999949, -1.50000003], [-8.29999959, -1.50000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[64.07170885625308], [22.683235608880423], [52.54429729422351], [23.26093428076114], [23.297686081164244], [0], [0], [0], [0], [0]];[6.15000063,-2.80000004]
[5.9158933,-2.71773528];[5.96562350e-04,1.20230797e-03,-1.87805971e-01,9.82205232e-01];[[0.60000036, -4.09999977], [8.70000048, 2.20000032], [-1.79999968, -1.49999973], [-8.29999978, -1.39999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0]];[0.60000036,-4.09999977]
[0.82927823,-4.03130221];[-1.81190573e-04,-2.08470758e-04,9.84964860e-01,-1.72754576e-01];[[8.70000048, 2.20000032], [-1.79999968, -1.49999973], [-8.19999977, -1.39999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[130.86380665738028], [89.68141803621904], [31.422105489084316], [0], [0], [0], [0], [0], [0], [0]];[8.70000048,2.20000032]
