[0.15201125,0.20252118];[-5.88558728e-04,4.13903667e-04,2.78542996e-01,9.60423487e-01];[[3.00000005, 0.70000001], [2.00000003, 2.20000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.936759873381911], [7.907726378301166], [0], [0], [0], [0], [0], [0], [0], [0]];[3.00000005,0.70000001]
[2.75909643,0.64790098];[-5.83111213e-04,-2.12234912e-03,1.06011498e-01,9.94362460e-01];[[2.4416006, -1.52147507], [4.75347565, 1.66035434], [1.20000002, 2.80000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[110.83912499330258], [111.16738530699628], [111.43973761498923], [0], [0], [0], [0], [0], [0], [0]];[1.20000002,2.80000004]
[1.34537581,2.60159947];[-0.00176891,-0.00145853,0.89398453,0.44809195];[[5.32813473, -0.20583246], [2.61670959, -1.80865002], [0.55745727, -0.60975718], [-1.69999998, 2.80000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[82.8347620505006], [83.57864369911287], [82.92118482197819], [81.66207775440964], [0], [0], [0], [0], [0], [0]];[2.61670959,-1.80865002]
[2.66372641,-2.07615772];[0.00221169,-0.00107368,-0.50528069,0.86295155];[[5.75000014, -2.49999974], [-0.69999995, -3.99999976], [-1.69999997, -1.09999972], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[47.9352609653466], [48.04332854787445], [48.18454658585666], [0], [0], [0], [0], [0], [0], [0]];[-1.69999997,-1.09999972]
[-1.66879788,-1.13296027];[-0.00149238,0.00232664,0.97789811,0.20906376];[[7.51700202, -3.26373536], [-3.8400002, 0.52000002], [-0.60077008, -4.67159326], [-4.00000022, -4.05000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[22.16207964890914], [22.008069371285572], [21.134505118555044], [21.134505118555015], [0], [0], [0], [0], [0], [0]];[7.51700202,-3.26373536]
[7.28577467,-3.16365407];[-3.54714441e-07,-2.99301053e-04,-2.30829895e-01,9.72994075e-01];[[-3.77368379, 1.35255058], [-0.80000027, -4.30000005], [-4.10000032, -4.30000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[70.01767126190181], [36.18023648584454], [33.92047888193932], [0], [0], [0], [0], [0], [0], [0]];[-3.77368379,1.35255058]
[-3.77226866,1.3216808];[-1.92830386e-03,-4.19657006e-04,9.49301445e-01,3.14361030e-01];[[-3.94799304, -4.03727884], [-3.45000029, 2.70000005], [-7.65000036, 1.75000004], [8.58797932, 0.40539905], [-0.80000025, -4.30000005], [-1.60000027, -3.00000003], [-4.1000003, 0.20000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[52.765662174226684], [54.257423300027945], [57.673655854374516], [119.90428992274718], [51.334771838405096], [52.76566217422655], [72.36189092342147], [0], [0], [0]];[8.58797932,0.40539905]
[8.61730154,0.37494196];[3.24577713e-04,1.64236212e-03,8.98072995e-02,9.95957750e-01];[[-4.24444309, -4.82588856], [-1.39999969, -3.60000004], [8.20000045, 1.90000004], [-4.29999973, 0.20000001], [-7.29999978, 2.20000004], [-8.49999979, 1.00000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[60.73276647863584], [69.64876706755062], [63.505880452204465], [57.79597917446387], [65.5969162015324], [79.52503080245647], [0], [0], [0], [0]];[-8.49999979,1.00000003]
[-8.25184583,0.95641628];[3.46261586e-03,8.22926358e-04,9.95400640e-01,9.57334508e-02];[[-4.24901005, -4.26431577], [-7.6870173, -2.53580593], [-1.40000025, -3.60000014], [8.09999989, 2.19999995], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.653567649541852], [20.159182282820918], [39.75519468124717], [34.69368150046927], [0], [0], [0], [0], [0], [0]];[-1.40000025,-3.60000014]
[-1.45937186,-3.51347945];[3.75896504e-04,-8.04296590e-04,-4.06328627e-01,9.13726574e-01];[[8.05924153, 2.25323887], [-1.45000025, -3.80000014], [-3.90000028, -4.15000015], [-7.70000034, -2.60000012], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[36.31344667122612], [21.171004395506483], [18.229920767008583], [26.78846411046408], [0], [0], [0], [0], [0], [0]];[8.05924153,2.25323887]
