[0.16330404,0.21144136];[-1.01215600e-04,4.88542008e-04,2.92266830e-01,9.56336684e-01];[[3.20000005, 1.00000011], [2.10000003, 2.10000013], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.925484086900358], [13.692989573132152], [0], [0], [0], [0], [0], [0], [0], [0]];[2.10000003,2.10000013]
[1.93075697,1.92750226];[7.92825506e-04,1.57986291e-04,3.65597205e-01,9.30772813e-01];[[3.59303732, -1.16417231], [3.69482421, 1.32455701], [1.58202434, 4.29800463], [0.90000001, 2.90000014], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[30.536139315561893], [34.02439296957521], [34.023774195175484], [34.20795730539092], [0], [0], [0], [0], [0], [0]];[0.90000001,2.90000014]
[1.08659531,2.71397261];[-0.00133334,-0.00156889,0.91983126,0.39230884];[[4.08935941, 1.2435238], [3.38130128, -1.19601596], [0.2, 2.50000013], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[81.90775056938422], [1141.8931959294132], [90.25831396939407], [0], [0], [0], [0], [0], [0], [0]];[3.38130128,-1.19601596]
[3.24431702,-0.97622626];[0.00437281,-0.00319823,-0.49159546,0.87080684];[[4.27315726, 0.16559444], [6.05000009, -4.85000012], [5.00000007, -2.45000008], [0.3, -4.40000011], [-0.80000001, -1.50000007], [-1.70000003, -0.10000005], [7.40000011, -3.90000015], [5.08347988, 2.62691259], [0.0, 0.0], [0.0, 0.0]];[[178.23629255581977], [166.59456281377336], [178.616845917461], [168.22881357423017], [1709.3892205886145], [1978.7792927101152], [166.78372905580824], [167.9158744726971], [0], [0]];[-1.70000003,-0.10000005]
[-1.44746251,-0.13743943];[-0.0038994,-0.00332681,0.99758423,0.06927789];[[-1.00150281, -3.84563729], [-2.42554644, -1.01545525], [-0.26884115, 4.12704033], [5.50000016, -2.80000004], [5.08346891, 2.62215471], [4.40000015, 0.10000001], [6.39956474, -0.58989644], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[19.533001807708203], [0.0], [13.55586099071846], [80.21564450744702], [12.897858494036626], [52.64078871931338], [12.897858494036615], [0], [0], [0]];[5.50000016,-2.80000004]
[5.31196329,-2.68834827];[4.27979796e-04,2.76537173e-03,-2.84440546e-01,9.58689596e-01];[[6.05722924, -0.50312638], [-1.0999997, -3.65000005], [-3.84999974, 0.70000001], [-1.89999971, -1.60000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.9012720490882516], [0.8398266580937753], [4.5987538965111865], [3.787462896006019], [0], [0], [0], [0], [0], [0]];[-3.84999974,0.70000001]
[-3.61754711,0.62070059];[2.92568071e-03,-4.70528408e-04,9.83761755e-01,1.79454770e-01];[[-1.10000026, -3.75000005], [-4.43997217, 0.10008181], [5.39999984, -0.5], [-3.30000029, 2.60000004], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.7314756705406283], [0.5917547556296163], [1.1945515851576107], [0.46917140064284246], [0], [0], [0], [0], [0], [0]];[5.39999984,-0.5]
[5.14492775,-0.4605579];[0.00438862,0.0019492,-0.09153206,0.99579056];[[-1.10000026, -3.75000005], [-4.30000031, 0.20000001], [-7.50000035, 2.30000004], [-8.10000036, -0.5], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[33.82663183627365], [94.5565315290346], [141.01902397562856], [42.59622512506972], [0], [0], [0], [0], [0], [0]];[-7.50000035,2.30000004]
[-7.64030425,1.08193018];[0.00544142,0.00165339,0.86942929,0.49402469];[[-0.90000024, -4.50000006], [-7.30000034, -2.70000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[87.51411780442426], [83.19105996662232], [0], [0], [0], [0], [0], [0], [0], [0]];[-0.90000024,-4.50000006]
[-0.76383138,-4.02328314];[0.00678304,-0.00146653,0.30318212,0.95290737];[[-1.10000024, -4.20000005], [-7.30000034, -2.70000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[61.16960143184067], [86.85913651245404], [0], [0], [0], [0], [0], [0], [0], [0]];[-7.30000034,-2.70000003]
[-7.09977789,-2.69226331];[0.00534441,-0.0109424,0.99982531,-0.01417933];[[-1.11033976, -4.49853397], [-4.79999972, -4.00000005], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[66.36039650980346], [82.27067753545928], [0], [0], [0], [0], [0], [0], [0], [0]];[-4.79999972,-4.00000005]
