[0.17980694,0.22736485];[-1.15223210e-04,5.21900218e-04,2.94759595e-01,9.55571287e-01];[[3.10000005, 0.55000001], [3.10000005, -2.00000003], [1.60000002, 1.70000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.618359867053028], [8.599978721321767], [9.28852578633573], [0], [0], [0], [0], [0], [0], [0]];[1.60000002,1.70000002]
[1.43197019,1.52441569];[-1.06091624e-03,-5.05311330e-04,3.95224256e-01,9.18583919e-01];[[3.46350123, -1.6521974], [4.27972388, 1.56067955], [0.90000001, -1.00000002], [0.40000001, 2.20000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[85.11583946469462], [92.80342504944971], [11331.966927952919], [92.89595150981307], [0], [0], [0], [0], [0], [0]];[0.90000001,-1.00000002]
[0.94112499,-0.75214729];[0.00084301,-0.00184196,-0.77070176,0.63719283];[[3.16826864, -1.43649129], [4.00000007, 4.7500003], [0.25000002, 1.65000025], [1.09891665, 4.11405897], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.653749816512587], [4.694457799882468], [5.65374981651259], [5.124249346816012], [0], [0], [0], [0], [0], [0]];[0.25000002,1.65000025]
[0.3353885,1.40550287];[-0.00134451,0.00123057,0.8150032,0.57945355];[[3.2780311, -2.15491132], [-1.63204996, -0.10258682], [4.00000008, 4.80000006], [1.70000004, -4.70000008], [0.99081582, 3.93644786], [-0.29999999, 2.20000002], [-0.39999999, -4.00000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.179805389492394], [5.589414317189062], [5.179805389492394], [4.831652499122083], [5.589414317189064], [0.0], [4.831652499122083], [0], [0], [0]];[0.99081582,3.93644786]
[0.9311664,3.69248157];[-1.19787021e-03,-5.94741950e-04,6.20635132e-01,7.84098366e-01];[[3.43763112, -2.46438941], [-1.43315548, -0.37038728], [4.00000006, 4.80000006], [1.70000002, -4.70000008], [-0.40000001, -4.00000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[4.717872707426665], [51.047705071310624], [5.0377418208015845], [4.441253072610815], [27.545518237503934], [0], [0], [0], [0], [0]];[-1.43315548,-0.37038728]
[-1.30737818,-0.15403534];[0.00103151,-0.00475238,-0.86477082,0.50214319];[[2.67018946, -2.10488912], [-2.9701983, 0.0692223], [4.44068766, -0.21504861], [1.70000031, -4.70000008], [-0.39999972, -4.00000007], [-1.79999974, -1.50000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[61.73327882061461], [64.8247174256778], [62.09099485746134], [59.469277693989035], [61.650178648989], [64.43736043468085], [0], [0], [0], [0]];[-2.9701983,0.0692223]
[-2.71209754,0.03369857];[6.99362370e-04,5.16080983e-03,9.97534529e-01,6.99838426e-02];[[3.70408224, -2.52763168], [5.68264246, -0.20355111], [1.70000053, -4.79999979], [-0.2999995, -4.09999978], [-1.69999952, 5.20000036], [-1.79999952, -1.49999974], [-3.29999955, -4.19999978], [-3.99999956, -0.09999972], [0.0, 0.0], [0.0, 0.0]];[[321.2519675172835], [335.01577640461954], [65.39809392532112], [67.76678966315761], [68.27103221996329], [181.65738974846607], [67.91592246816077], [70.75389604463047], [0], [0]];[5.68264246,-0.20355111]
[5.45023264,-0.1902214];[7.49572445e-04,-1.18006263e-03,-2.91541398e-02,9.99573945e-01];[[1.84999978, -4.59999979], [8.09999987, 0.20000028], [7.59999986, 4.00000034], [4.49999982, -3.59999977], [-0.40000025, -4.09999978], [-1.80000028, -1.49999974], [-3.3000003, -3.69999977], [-6.00000034, 0.40000029], [0.0, 0.0], [0.0, 0.0]];[[0.9794530222486496], [1.1622941422634065], [1.0752094463442057], [0.9787863401500804], [1.073628019364757], [8.03200436269111], [0.8332689351042891], [0.8344037155853671], [0], [0]];[-1.80000028,-1.49999974]
[-2.01821484,-1.48704468];[1.73994579e-03,5.45896417e-04,9.81696731e-01,-1.90442104e-01];[[8.09999987, 2.8666669], [-0.24509776, -4.35391835], [7.94059467, -0.18719265], [6.99999986, -4.09999987], [-4.20000031, -3.69999986], [-6.00000034, 0.4000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.015629329034504827], [0.01653175054994642], [0.015599795617277132], [0.017118756525095], [0.016528179517195], [0.01656766522736018], [0], [0], [0], [0]];[6.99999986,-4.09999987]
[6.78658829,-4.00174208];[4.65139073e-04,4.40135469e-04,-2.59504037e-01,9.65741809e-01];[[0.03879923, -4.34422288], [-4.70000032, -3.64999977], [-7.35000036, 0.8000003], [8.59999988, 1.90000032], [-4.20000031, 0.10000029], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.5654023187012345], [3.3642737796877653], [3.283736448510937], [3.564159516807194], [7.825174722551077], [0], [0], [0], [0], [0]];[-4.20000031,0.10000029]
[-3.95196921,0.04780674];[1.29896461e-03,-2.65789065e-04,9.98523971e-01,5.42966363e-02];[[-4.76502361, -4.02318146], [8.49999989, 2.70000033], [-0.40000025, -4.29999978], [-6.40000034, 0.5000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.255136965182827], [1.8952538763576494], [2.0416273502811815], [2.0975159367860607], [0], [0], [0], [0], [0], [0]];[-4.76502361,-4.02318146]
[-4.74144126,-4.03675735];[-1.68346655e-03,-4.78192886e-04,-8.43125588e-01,5.37713865e-01];[[8.49999989, 2.70000033], [-8.10000035, -0.19999972], [-8.80000037, 2.60000033], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[71.1695825166015], [133.5644355152815], [54.09951902327658], [0], [0], [0], [0], [0], [0], [0]];[-8.10000035,-0.19999972]
