[0.16858543,0.22121291];[-2.29594194e-04,5.24315414e-04,2.95034382e-01,9.55486468e-01];[[3.40000005, 1.00000001], [2.00000003, 2.50000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[11.736803133069978], [12.491917189134103], [0], [0], [0], [0], [0], [0], [0], [0]];[2.00000003,2.50000003]
[1.83778613,2.30650331];[1.42736631e-03,4.00181979e-05,4.19787061e-01,9.07621497e-01];[[3.24598443, 0.28711131], [0.58354429, 2.63579368], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[34.348817983810534], [34.75040290275996], [0], [0], [0], [0], [0], [0], [0], [0]];[0.58354429,2.63579368]
[0.82730333,2.55462351];[-0.00339201,-0.00284211,0.98051,0.19641934];[[2.99682846, 0.84635784], [4.70772839, 1.83022797], [3.55590391, -1.08745289], [-1.30000003, 4.50000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.5739386988150414], [0.5173545132124732], [0.5171292768826018], [0.5061082046710571], [0], [0], [0], [0], [0], [0]];[2.99682846,0.84635784]
[2.81201869,1.00304266];[0.00711056,-0.00228862,-0.33372977,0.9426392];[[4.32265005, 1.62258324], [6.80000026, -0.49999991], [3.90000022, -1.99999993], [-1.39999986, -0.0999999], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.095210598265106], [1.0394485472303145], [1.0308492848345998], [43.38362761642392], [0], [0], [0], [0], [0], [0]];[-1.39999986,-0.0999999]
[-1.15511521,-0.02052003];[-0.00466478,-0.00299767,0.98807104,-0.15389887];[[-1.07532083, 4.45141666], [-2.521163, -0.91741997], [4.65428794, 1.91688499], [-1.49999989, -2.09999975], [8.60000026, 1.2000003], [4.5000002, -2.89999976], [1.20000015, -4.49999979], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.828389661747886], [36.39525723871343], [33.7864823629128], [40.3940500552572], [25.73592763196566], [9.335828457821624], [9.335828457821624], [0], [0], [0]];[-1.49999989,-2.09999975]
[-1.46047868,-1.86916967];[4.61088776e-03,-5.39861377e-04,-7.72657421e-01,6.34806262e-01];[[4.15101796, -2.55961628], [-2.80491924, -0.08289158], [-3.19999976, -4.04999978], [8.60000042, 1.2000003], [1.20000031, -4.49999979], [-0.99999973, 4.20000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.636011501123454], [10.695493080932689], [10.139972978990201], [9.17731724123854], [10.139972978990196], [9.63601150112345], [0], [0], [0], [0]];[-2.80491924,-0.08289158]
[-2.6503074,-0.26954295];[-0.00167944,-0.00343933,0.90175774,0.43222485];[[-3.25492092, -0.58923377], [4.17380391, -2.55677814], [-0.79580154, -3.55390738], [8.60000004, 1.20000031], [7.40114594, -2.10187936], [4.29999997, 1.50000031], [1.19999993, -4.49999978], [-1.00000011, 4.20000035], [-3.20000014, -3.89999977], [0.0, 0.0]];[[11.517263372085534], [42.21315746451503], [10.96154725293005], [28.63112284644328], [9.986958386306219], [77.53531885636029], [10.45321544878322], [10.961547252930044], [10.96154725293005], [0]];[4.29999997,1.50000031]
[4.04953884,1.45284358];[2.18086149e-04,-6.31976000e-04,9.70669240e-02,9.95277631e-01];[[7.38462734, -2.1064105], [-1.09541444, -4.71600888], [-3.94999976, 0.7500003], [8.60000042, 1.20000031], [4.50000036, -2.89999976], [1.20000031, -4.49999978], [-1.19999972, 4.70000036], [-3.19999975, -3.89999977], [-5.59999979, -1.89999974], [0.0, 0.0]];[[18.710836891630485], [42.79622467288389], [62.75868212259336], [18.71083689163048], [18.710836891630485], [17.987989009009773], [17.987989009009762], [17.31120260558075], [58.67999510376289], [0]];[-3.94999976,0.7500003]
[-3.93451903,0.72167241];[-0.00276465,-0.00410431,0.99695049,0.07787956];[[-4.58844756, 0.21827722], [8.60000065, 1.20000031], [4.50000059, -2.89999976], [3.80913949, -4.24659443], [1.20000054, -4.49999978], [-0.79999949, 4.50000035], [-0.99999949, -4.19999977], [-2.39999951, 5.10000036], [-3.29999952, -4.09999977], [0.0, 0.0]];[[39.38055798086148], [37.02256668637981], [23.10222800728333], [46.05005830185933], [23.910404016530318], [23.910404016530318], [24.765735251635725], [49.53212825556586], [65.06281989196361], [0]];[-3.29999952,-4.09999977]
[-3.28241526,-3.96034533];[4.89257713e-03,-3.98520659e-04,-7.47918454e-01,6.63772473e-01];[[8.60000066, 1.20000022], [4.5000006, -2.89999985], [-0.89999948, 4.60000027], [-5.39999955, -3.49999985], [-6.19999956, 0.4000002], [-7.69999958, -2.39999984], [-7.99999959, -0.49999981], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[68.69517646009534], [26.16198692104819], [18.3324845042949], [84.63856504163539], [39.61671915296472], [59.26434230792922], [41.161925210128885], [0], [0], [0]];[-5.39999955,-3.49999985]
