[0.16673772,0.22294595];[-1.02440369e-04,5.89247246e-04,2.94822028e-01,9.55551997e-01];[[3.20000005, 0.55000001], [1.60000002, 2.10000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[9.702343676667192], [10.347135252538783], [0], [0], [0], [0], [0], [0], [0], [0]];[1.60000002,2.10000003]
[1.43610518,1.90259591];[-6.05481778e-04,2.14264702e-03,4.36453860e-01,8.99723882e-01];[[3.62360775, 1.57778191], [3.3382373, -1.0705772], [0.30000001, 2.20000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[57.29330038484626], [52.69048737967085], [58.051213407184015], [0], [0], [0], [0], [0], [0], [0]];[0.30000001,2.20000003]
[0.53016593,2.10492049];[-1.91581081e-05,3.55041393e-03,9.77833356e-01,2.09354562e-01];[[3.1889731, -1.18014444], [-0.02664837, 2.17556876], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[494.19440751584045], [59.46234201469802], [0], [0], [0], [0], [0], [0], [0], [0]];[3.1889731,-1.18014444]
[3.03291541,-0.98556682];[-0.00201838,-0.0011137,-0.42351673,0.90588535];[[4.3986083, -3.99458406], [4.50304142, -2.06759773], [7.40000015, -0.30000001], [4.40000011, 1.20000001], [0.60000005, -3.80000006], [-0.59999997, -2.30000004], [-1.39999998, 0.5], [-1.49999998, 2.50000003], [0.0, 0.0], [0.0, 0.0]];[[2.602193698693142], [2.7970932893288425], [2.617555239361915], [2.800210903880118], [2.6235426580256633], [26.859128326601574], [84.17111784124404], [2.6268967580827076], [0], [0]];[-1.39999998,0.5]
[-1.16886849,0.42963004];[-0.0018623,0.00257803,0.99112601,0.13288763];[[0.04327194, -3.97312182], [-2.90512912, 0.0165652], [5.89999999, 2.80000004], [4.69999997, -2.20000004], [4.39999997, 1.20000001], [-2.00000013, -2.10000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[238.42657302372348], [252.5041508125044], [228.19656142735025], [230.07093317158365], [240.607038402361], [251.01079850615952], [0], [0], [0], [0]];[-2.90512912,0.0165652]
[-2.64991065,0.07881844];[5.36026840e-04,3.70555989e-03,9.93886807e-01,-1.10340362e-01];[[7.63755178, -0.1873427], [5.90000001, 2.80000004], [4.91526365, -4.05868721], [4.69999999, -2.20000004], [4.39999999, 1.20000001], [-0.30000008, -3.80000006], [-2.00000011, -2.10000003], [-3.50000013, -0.50000001], [0.0, 0.0], [0.0, 0.0]];[[616.9908874552698], [223.733818732027], [651.0965672866139], [235.62795000162856], [552.3227899471785], [242.79997370483727], [256.4576339600663], [0.0], [0], [0]];[4.91526365,-4.05868721]
[4.77793738,-3.94054275];[-0.00170825,-0.00258495,-0.36524408,0.93090663];[[5.10000039, 2.09999994], [0.34630833, -4.5312516], [-2.16581964, -1.90075803], [-3.99999975, -0.10000009], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.6334004795929533], [0.6611662325721027], [2.840982564996964], [1.5933717263425395], [0], [0], [0], [0], [0], [0]];[-2.16581964,-1.90075803]
[-2.29489688,-1.89528682];[-0.00102805,0.00172248,0.97084734,0.23969023];[[-3.87499975, 0.70000001], [5.10000039, 2.10000003], [7.42749262, -0.18446755], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.189897046172845], [2.5226056160665413], [2.2488077018811863], [0], [0], [0], [0], [0], [0], [0]];[5.10000039,2.10000003]
[4.98528042,1.99414328];[-0.00115798,0.00199042,0.35949622,0.9331437];[[-4.99727531, 0.03309855], [8.60000044, 0.90000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.343287279062147], [1.2684049977194054], [0], [0], [0], [0], [0], [0], [0], [0]];[-4.99727531,0.03309855]
[-4.7571488,0.05706152];[-1.32502633e-04,6.99579494e-04,9.98900405e-01,-4.68772380e-02];[[8.50000026, 2.00000003], [-8.14999999, 0.85000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[17.720114405442768], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[8.50000026,2.00000003]
[8.24341603,1.9975432];[-0.00157202,0.00145688,-0.04747989,0.9988699];[[-8.01366468, -2.15075755], [-2.7189467, -1.90523338], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.402578224769146], [14.269548452213044], [0], [0], [0], [0], [0], [0], [0], [0]];[-2.7189467,-1.90523338]
[-2.63246311,-1.83917264];[-0.00163364,0.00161438,0.95849288,-0.28510723];[[-4.13333362, -3.50000015], [-4.9000003, -5.10000018], [-6.20000032, -2.20000013], [-8.00000035, -2.20000013], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.3406976128940107], [0.0], [9.286230418665134], [3.2916262720184126], [0], [0], [0], [0], [0], [0]];[-6.20000032,-2.20000013]
