[0.17742556,0.2352975];[-6.46357807e-04,2.06112698e-04,3.05345389e-01,9.52241425e-01];[[3.25000005, 0.60000001], [2.30000004, -1.40000002], [1.60000002, 1.70000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.378872200797604], [13.010207605945125], [13.227794805562986], [0], [0], [0], [0], [0], [0], [0]];[1.60000002,1.70000002]
[1.43101236,1.52474719];[4.14429188e-04,2.60683057e-04,3.86606111e-01,9.22244806e-01];[[3.51216976, -1.19924498], [4.45853151, 0.8865876], [1.0784259, 3.15133004], [5.00165844, 2.73000646], [3.90000006, 4.00000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[37.63060772435608], [38.00939749546302], [41.65665102529102], [37.9265763951873], [37.789341116153125], [0], [0], [0], [0], [0]];[1.0784259,3.15133004]
[1.12175624,2.89768183];[0.00119019,0.00080572,0.7657134,0.64318031];[[1.42288255, -0.70254209], [4.03208494, -1.80096102], [3.60000007, 0.90000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [15.709914749172556], [15.399694757420399], [0], [0], [0], [0], [0], [0], [0]];[4.03208494,-1.80096102]
[3.88832916,-1.58505918];[0.00193764,0.00098254,-0.47666197,0.87908398];[[4.20447313, 1.24916437], [-0.000944954902, 4.85455502], [7.10000016, -0.49999982], [5.20000013, -3.19999986], [0.50000006, -4.19999987], [-0.69999995, -1.69999983], [-1.69999997, -0.19999981], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.453547777745325], [6.587433549314644], [6.993292051135643], [7.453547777745322], [6.993292051135643], [141.50920930389245], [41.556517720722816], [0], [0], [0]];[-0.69999995,-1.69999983]
[-0.70510513,-3.44308825];[-0.00126057,-0.00116197,-0.11762123,0.99305704];[[4.19770869, 1.14206442], [-0.62849931, 4.85082578], [-1.25049998, -4.10508082], [5.8000001, -3.19999985], [-3.90000005, -0.39999981], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.261207012258251], [5.106897704615795], [2.4407799784451827], [2.2475530010714486], [2.3330408408204377], [0], [0], [0], [0], [0]];[-0.62849931,4.85082578]
[-0.59996783,4.86980136];[0.002348,-0.00392683,0.78564655,0.61865868];[[-3.80000004, 2.0666669], [4.50092849, 0.20731614], [8.57393742, -4.11262417], [5.8000001, -3.19999985], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.8953662577149004], [1.9016824475290162], [1.7805967391342288], [1.8379924594593615], [0], [0], [0], [0], [0], [0]];[4.50092849,0.20731614]
[4.31016168,0.35541615];[8.98937711e-03,4.75956485e-04,-3.39379139e-01,9.40606597e-01];[[6.07546953, -3.23606006], [-3.80000004, 2.50000024], [-4.29868562, 0.10257922], [8.90000014, 2.20000023], [7.30000012, 2.10000023], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.067345206362693], [4.102968829437483], [3.8122870441891203], [2.063933619162366], [2.0658215492280534], [0], [0], [0], [0], [0]];[-3.80000004,2.50000024]
[-4.31635056,2.46519225];[-2.95515530e-04,-1.37426882e-03,9.99368289e-01,3.55113551e-02];[[8.20000065, 2.10000023], [5.80000061, -3.19999985], [-3.99999953, 0.1000002], [-7.69999959, -0.39999981], [-8.5999996, 2.20000023], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.019157974407952253], [0.03848948414242924], [0.027718846930024164], [0.020413919379247702], [0.020056155893206706], [0], [0], [0], [0], [0]];[5.80000061,-3.19999985]
[5.62049188,-3.06147126];[6.53586791e-04,1.09288997e-03,-3.28693814e-01,9.44435690e-01];[[8.9999999, 1.70000022], [-4.00000029, 0.1000002], [-9.00000037, 2.00000023], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.5689124968859988], [0.6780600405350841], [0.8117758172614161], [0], [0], [0], [0], [0], [0], [0]];[-9.00000037,2.00000023]
[-8.2055156,2.36926512];[0.00321078,-0.00098508,0.97520291,0.22128716];[[8.58842606, 2.50098097], [5.01411915, 5.17996073], [-6.39999956, -3.59999986], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.2469273002892867], [4.817570412323307], [2.839905487242637], [0], [0], [0], [0], [0], [0], [0]];[5.01411915,5.17996073]
