[0.17708616,0.23066845];[-5.23454290e-04,3.56023651e-04,2.98510526e-01,9.54406135e-01];[[2.60000004, -0.1], [2.10000003, 2.30000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[230.23384920537632], [226.3159552359395], [0], [0], [0], [0], [0], [0], [0], [0]];[2.60000004,-0.1]
[2.35626913,-0.07275305];[-3.37743967e-04,3.86033653e-04,-6.58224951e-02,9.97831213e-01];[[3.54791733, -1.78267794], [1.20000002, 2.90000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[28.98557441741699], [26.05019718682577], [0], [0], [0], [0], [0], [0], [0], [0]];[3.54791733,-1.78267794]
[3.44354457,-1.56144257];[0.00725779,0.00386151,-0.45879944,0.88850182];[[4.7064028, -1.63292399], [0.89310588, 2.22284219], [2.10000003, -3.10000006], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[32.20966689471301], [29.076145137750224], [232.9863346982296], [0], [0], [0], [0], [0], [0], [0]];[2.10000003,-3.10000006]
[2.28054961,-2.92248444];[-2.88020685e-03,2.15021169e-04,9.11476610e-01,-4.11341751e-01];[[1.94810661, -2.94357331], [5.20000008, -0.70000002], [5.10199833, -4.39605951], [4.70000007, -2.80000005], [1.20000002, 2.90000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[38.54712622998239], [34.92729140013214], [34.99349750208293], [38.58922113382761], [32.08944330559892], [0], [0], [0], [0], [0]];[4.70000007,-2.80000005]
[4.49857722,-2.81601032];[-6.48187107e-04,-1.43487069e-05,2.88629476e-02,9.99583172e-01];[[1.39119254, 3.23523302], [5.70000009, -2.99999985], [0.90000001, -2.89999985], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[19.11332658914804], [22.746218175064758], [135.88566882067875], [0], [0], [0], [0], [0], [0], [0]];[0.90000001,-2.89999985]
[1.17602456,-3.17374616];[-6.53095993e-04,1.93802991e-03,7.61666945e-01,6.47965489e-01];[[1.4199348, -4.25043376], [0.64141743, 2.01903446], [8.60000017, 2.10000022], [-1.89999999, -1.59999983], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[229.4660314705795], [207.4499137340547], [215.88703982272654], [217.17261519503023], [0], [0], [0], [0], [0], [0]];[1.4199348,-4.25043376]
[1.42065712,-4.50766843];[-0.00390211,-0.00143657,-0.55853976,0.82946733];[[1.42186039, -4.25312456], [8.50000017, 1.90000022], [0.80000005, 2.30000023], [-0.1639702, 1.00352383], [-1.89999999, -1.59999983], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0]];[1.42186039,-4.25312456]
[1.31767522,-4.03555968];[-1.11607230e-04,1.40315424e-03,8.05843776e-01,5.92126534e-01];[[8.62305596, 1.97382788], [0.84286925, 2.33391222], [-1.84603477, -1.4986886], [-0.50629807, 0.93813401], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0]];[8.62305596,1.97382788]
[8.57208406,1.87612298];[8.44244104e-05,6.98786994e-05,4.29269242e-01,9.03176572e-01];[[0.79777456, 2.40581645], [-0.41987535, 1.10569376], [1.10000006, -4.09999987], [-1.89999999, -1.59999983], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0]];[0.79777456,2.40581645]
[1.03660638,2.3697295];[-0.00163535,-0.00113031,0.99285842,0.11928205];[[-2.10000003, -0.99999982], [2.29949069, 4.9798193], [1.10000001, -4.09999987], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0], [0]];[-2.10000003,-0.99999982]
