[0.19957748,0.25198805];[-3.26049174e-04,7.20488677e-04,3.12837239e-01,9.49806416e-01];[[1.70797829, -0.69538868], [3.00000005, 0.70000001], [2.30000004, 2.30000003], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[77.82445252773908], [81.66577580947241], [81.90181193862567], [0], [0], [0], [0], [0], [0], [0]];[2.30000004,2.30000003]
[2.12555597,2.13064282];[-0.00110814,0.00198447,0.38149591,0.92436773];[[4.45744777, 1.99767449], [2.94129863, -0.20654084], [0.5421475, 2.35171493], [3.60000005, 4.70000007], [2.53796601, -1.80477059], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[12.726820035823701], [338.6227132077542], [12.7039335329927], [11.442098349103556], [342.3555180888765], [0], [0], [0], [0], [0]];[2.53796601,-1.80477059]
[2.54109074,-1.55586588];[0.00127614,-0.00113688,-0.74799118,0.66370647];[[0.13205223, 0.543627], [4.65000006, -1.69999975], [6.80000009, 1.4000003], [1.09776771, 4.03884315], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.15159620207384583], [0.16878928074235863], [0.1380172833402588], [0.1521481028786934], [0], [0], [0], [0], [0], [0]];[4.65000006,-1.69999975]
[4.40939088,-1.68969441];[7.86634735e-04,-7.60646377e-04,-1.10645405e-02,9.99938188e-01];[[7.5000001, -0.29999972], [5.70000007, -2.89999976], [1.08427429, 3.95390582], [-1.04308129e-08, -0.199999715], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[76.38227586813336], [83.21968665189776], [71.8935249074839], [987.5840194416098], [0], [0], [0], [0], [0], [0]];[-1.04308129e-08,-1.99999715e-01]
[0.24346747,-0.2389607];[-1.15426109e-03,6.04743565e-04,9.99372695e-01,3.53909210e-02];[[-0.70350103, -4.57841919], [-2.60304949, -0.02589699], [8.20000017, 1.80000031], [-1.89999998, -3.09999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[14.04815330160182], [32.37123936534293], [14.048153301601813], [14.836839981778533], [0], [0], [0], [0], [0], [0]];[-2.60304949,-0.02589699]
[-2.3712023,-0.05217853];[1.11499050e-03,-7.15429545e-04,9.99008380e-01,4.45028396e-02];[[8.20000041, 1.80000031], [-0.69999972, -4.19999977], [-2.99999976, -0.29999972], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[26.978539997278805], [15.999698266983149], [16.853019186110377], [0], [0], [0], [0], [0], [0], [0]];[8.20000041,1.80000031]
[8.16860943,1.81787075];[-0.00133523,-0.00154183,-0.03261201,0.99946601];[[-0.69999971, -4.19999977], [-0.99999971, 3.70000034], [-1.39999972, -2.49999975], [-3.89999976, 2.50000032], [-3.89999976, 0.10000029], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.10595620470430817], [0.1057525775549411], [0.19134164516817967], [0.10154412985031257], [0.10201799970023004], [0], [0], [0], [0], [0]];[-1.39999972,-2.49999975]
[-1.69854597,-2.61213594];[-3.31051840e-03,-4.91420051e-04,9.93000403e-01,1.18063522e-01];[[-0.99999951, 3.69999996], [-3.89999955, 2.49999994], [-3.99999956, 0.19999991], [-5.99999959, -2.20000013], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.1102792379646581], [0.11335848822554977], [0.11357235388467986], [0.11361158462000293], [0], [0], [0], [0], [0], [0]];[-5.99999959,-2.20000013]
[-5.7532138,-2.22774499];[1.77069688e-05,9.83355652e-05,9.97977626e-01,6.35661841e-02];[[-1.20068997, 3.86984556], [-3.6999996, 2.40000004], [-3.9999996, 0.10000001], [-4.29999961, -4.00000006], [-7.94999966, -0.6], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[33.766300901150046], [93.64128982026448], [34.68375327541167], [126.33934423237761], [36.792255510535306], [0], [0], [0], [0], [0]];[-4.29999961,-4.00000006]
[-4.43872999,-3.80533094];[4.11938453e-04,-1.72580044e-03,-4.30842119e-01,9.02425572e-01];[[-3.78746675, 2.60547096], [-0.99999949, 3.70000006], [-3.99999953, 0.10000001], [-7.89999959, -0.5], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.2024768908662546], [0.4990246312522408], [0.20747822126001575], [0.31942517162874173], [0], [0], [0], [0], [0], [0]];[-0.99999949,3.70000006]
[-1.0901515,3.46964427];[1.58124770e-03,6.39403905e-04,5.87484079e-01,8.09233914e-01];[[-8.3246703, -0.47595581], [-3.99999953, 0.1000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.04163558544606215], [0.0531925036556027], [0], [0], [0], [0], [0], [0], [0], [0]];[-3.99999953,0.1000002]
[-4.05936105,-0.01179995];[-1.57886908e-03,-4.82136462e-04,9.47580478e-01,-3.19512969e-01];[[-5.74999975, 0.3500002], [-8.36857451, -0.4735562], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0], [0], [0], [0], [0], [0], [0], [0]];[-5.74999975,0.3500002]
