[0.18020906,0.23480609];[-2.87779518e-04,6.57819951e-04,3.06737716e-01,9.51793812e-01];[[3.40000005, 0.9], [3.20000005, 4.60000005], [2.70000004, -1.10000003], [1.40000002, 2.80000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[60.19385835626995], [59.971861437102795], [60.46471917424079], [61.86433450925782], [0], [0], [0], [0], [0], [0]];[1.40000002,2.80000002]
[1.28843462,2.58330334];[0.00144035,0.00099144,0.51945852,0.85449387];[[1.65693709, 3.04662878], [2.78407085, 4.14564256], [3.07022928, -0.00361641], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[49.34940939926089], [49.84983575493332], [47.53124947499124], [0], [0], [0], [0], [0], [0], [0]];[2.78407085,4.14564256]
[3.67608197,0.70868248];[1.45806561e-04,-2.34782397e-04,-5.25027087e-01,8.51085468e-01];[[4.45000008, -2.29999987], [1.60000004, -3.34999987], [-0.19999999, 1.05000018], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.22663177950342608], [0.2207116883238313], [0.22326699413227358], [0], [0], [0], [0], [0], [0], [0]];[4.45000008,-2.29999987]
[4.38371329,-2.05745898];[-0.00123505,-0.00244358,-0.59675519,0.80241869];[[4.50000008, 1.40000023], [0.20000001, -4.19999986], [-0.29999999, 1.20000022], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[3.7141268469579223], [3.710866107595484], [3.709259596961816], [0], [0], [0], [0], [0], [0], [0]];[4.50000008,1.40000023]
[4.4877914,1.16759812];[2.96139865e-04,1.22234705e-03,6.59412727e-01,7.51780076e-01];[[8.60000014, 1.70000023], [0.20000001, -4.29999986], [-0.29999999, 1.10000022], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[19.241410822193416], [18.257606744304], [19.24141082219344], [0], [0], [0], [0], [0], [0], [0]];[-0.29999999,1.10000022]
[-0.07424432,1.09616495];[2.11922971e-03,6.98756011e-04,9.99959319e-01,-8.73978321e-03];[[-1.94999987, -0.6999998], [8.60000029, 1.70000023], [0.20000016, -4.29999986], [-0.31789342, 5.19772577], [-0.69999985, 3.60000026], [-2.39999987, -2.69999983], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[140.84050217668326], [68.93178000701126], [71.83557073833884], [74.86698022363207], [78.08854990081664], [74.73369509072582], [0], [0], [0], [0]];[-1.94999987,-0.6999998]
[-1.79791492,-0.56028698];[1.98405348e-03,-2.52035574e-04,9.27030324e-01,-3.74981033e-01];[[-0.2059651, -3.43288955], [-2.9132117, 0.12489759], [-4.40575245, -0.11936598], [8.60000033, 1.70000023], [-0.6999998, 3.60000026], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[100.76994015501683], [79.84077979137085], [94.08939904313624], [171.30170875617605], [90.98069670625733], [0], [0], [0], [0], [0]];[8.60000033,1.70000023]
[8.633607,1.73134062];[-2.48612403e-03,9.24727193e-04,-1.51458999e-02,9.99881775e-01];[[-0.00153615773, -4.34016892], [-4.38062761, -0.24991629], [-0.69999971, 3.50000035], [-1.89999973, -1.49999972], [-6.16390657, -0.68597424], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[26.145689842169617], [46.49936192051732], [26.145689842169627], [60.201128449242226], [40.6901919550743], [0], [0], [0], [0], [0]];[-1.89999973,-1.49999972]
[8.15807357,1.79546012];[-0.00115758,-0.00254134,-0.17469421,0.98461878];[[-0.1999997, -3.94999976], [-4.85327551, -0.4425697], [-0.31487972, 5.28314543], [-0.69999971, 3.50000035], [-1.89999973, -1.49999972], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[27.76257004784062], [45.007265860155485], [27.762570047840597], [27.762570047840633], [47.77361981132692], [0], [0], [0], [0], [0]];[-1.89999973,-1.49999972]
[-2.02913187,-1.51210227];[0.00155978,0.00168274,0.96751302,-0.25281079];[[-4.36688531, 0.23376399], [-0.1999997, -4.30000016], [-0.69999971, 3.49999996], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[7.597478484622406], [6.799975035370941], [5.9834500006454645], [0], [0], [0], [0], [0], [0], [0]];[-4.36688531,0.23376399]
