[0.15237815,0.20530424];[-5.68579882e-05,6.73751819e-04,2.84974474e-01,9.58534866e-01];[[3.30000005, 1.00000001], [2.30000004, -1.30000002], [1.60000002, 1.70000002], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[485.0200195761003], [456.6939029136816], [464.93323693055595], [0], [0], [0], [0], [0], [0], [0]];[3.30000005,1.00000001]
[3.04472872,0.93240628];[7.08656111e-05,-2.31042990e-03,1.43406747e-01,9.89661132e-01];[[3.69026259, -0.77255423], [1.49850788, 3.1968347], [3.90000006, 5.30000008], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[74.55540588587347], [75.5428217186356], [68.01850823956072], [0], [0], [0], [0], [0], [0], [0]];[1.49850788,3.1968347]
[1.64657833,2.97484665];[-7.51801402e-05,7.31181833e-04,8.80836935e-01,4.73419222e-01];[[5.83043792, 0.07929288], [8.50000022, 1.80000002], [-0.9190557, 1.3445555], [-1.69999993, 5.00000007], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[50.99160731764521], [17.375065213532242], [19.044104364334956], [19.01556256849488], [0], [0], [0], [0], [0], [0]];[5.83043792,0.07929288]
[5.60802667,0.2120755];[-4.97136743e-05,9.79067863e-04,-2.65974133e-01,9.63979666e-01];[[1.00981782, -1.17184101], [8.45000021, 1.65000021], [7.36527586, -2.01066804], [4.40000015, -2.09999985], [-0.49999992, 4.50000025], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[2.034684182191004], [0.0], [1.0918807531010004], [1.0990589831684396], [0.949044547479621], [0], [0], [0], [0], [0]];[1.00981782,-1.17184101]
[1.03149283,-1.13126249];[-0.00100688,0.0013435,0.96545318,-0.26057116];[[-1.32499997, -3.29999977], [8.26477012, 1.32803965], [-1.66666664, -1.39999974], [2.84055574, -4.85711402], [5.70000013, -5.3999998], [1.00000006, -3.99999978], [-0.49999996, 4.50000035], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.0324609940748524], [0.9885285466636837], [3.415616862913721], [1.0268490362540337], [0.9877158853811615], [2.080865761309087], [0.9834924256878376], [0], [0], [0]];[-1.66666664,-1.39999974]
[-1.61159619,-1.42023536];[2.47880058e-04,2.77145471e-03,9.98055639e-01,6.22671729e-02];[[8.26288466, 1.33284856], [-2.2022238, 5.35362514], [-3.35118159, 0.13539994], [5.69999984, -5.3999998], [-0.50000026, 4.60000035], [-0.60000026, -4.49999979], [-1.90000028, -2.79999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[24.448390484856933], [20.74861730266693], [39.546651794825664], [19.9081210511281], [20.748617302666897], [21.649743342262095], [22.61739819772983], [0], [0], [0]];[-3.35118159,0.13539994]
[-3.15494737,-0.02196347];[-8.62410807e-04,2.02807268e-03,9.32316693e-01,3.61636172e-01];[[-4.12760269, 0.76568531], [8.45000045, 1.90000031], [-1.04999969, -4.04999978], [5.70000041, -5.3999998], [-0.49999968, 4.60000035], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[22.3000106630268], [18.9109279129788], [21.363036108990173], [19.673740457010915], [21.36303610899015], [0], [0], [0], [0], [0]];[-4.12760269,0.76568531]
[-3.91898167,0.58844619];[-0.00311871,0.0030142,0.94058236,0.33953794];[[8.44999988, 1.90000031], [-1.05000026, -4.04999978], [-1.94476618, 5.4371663], [-4.23976079, 0.44581818], [5.69999984, -5.3999998], [-0.50000025, 4.60000035], [-6.40000034, 2.70000032], [-8.40000037, -0.99999973], [0.0, 0.0], [0.0, 0.0]];[[39.30515527246774], [21.419159492952957], [20.554099644962115], [22.34614395772745], [19.74562442156517], [20.5540996449621], [20.554099644962083], [21.41915949295299], [0], [0]];[8.44999988,1.90000031]
[8.24840233,1.91795839];[-3.04376296e-04,-4.03728296e-03,-7.34654372e-02,9.97289546e-01];[[-1.10000026, -4.14999978], [-4.1000003, 0.80000029], [-6.20347073, 2.54667432], [5.69999984, -5.3999998], [-8.00000036, -0.99999973], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[33.42436045419457], [50.061106437250025], [60.87965760254282], [31.062766663964762], [66.97362421017176], [0], [0], [0], [0], [0]];[-8.00000036,-0.99999973]
[-7.7751604,-0.93272849];[6.24001655e-03,-3.51720963e-04,9.86905773e-01,-1.61176715e-01];[[1.9999998, -4.59999979], [-1.10000024, -4.14999978], [5.69999986, -5.3999998], [-0.30000023, 4.50000035], [-7.30000034, 3.30000033], [-7.50000034, -2.69999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.6616800990719275], [0.8136000575165909], [0.9641910243086471], [0.7451915820468454], [0.6971408829392594], [0.9003344171643178], [0], [0], [0], [0]];[5.69999986,-5.3999998]
[5.00678179,-4.07441183];[-1.56997405e-03,3.15011237e-04,-2.29842758e-02,9.99734545e-01];[[-0.30000023, 4.49999997], [-2.00000026, 5.29999998], [-5.50000031, -3.70000015], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[1.0820833570344723], [0.6452668267101344], [0.7622112430857595], [0], [0], [0], [0], [0], [0], [0]];[-0.30000023,4.49999997]
